Jersey,Player,GP,GS,MIN,MIN_AVG,FG,FGA,FG_PCT,3FG,3FGA,3FG_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,REB_AVG,PF,DQ,AST,TO,BLK,STL,PTS,PTS_AVG
25,"McNulty, Summer",26,26,688,26.5,129,295,0.437,31,90,0.344,68,80,0.85,30,66,96,3.7,35,1,74,67,1,31,357,13.7
34,"Renno, DaniRae",27,27,634,23.5,145,248,0.585,0,0,0,33,45,0.733,88,118,206,7.6,42,0,35,41,41,8,323,12
2,"Mummert, Makenna",28,21,608,21.7,106,198,0.535,24,56,0.429,33,37,0.892,22,29,51,1.8,53,0,61,54,11,16,269,9.6
4,"Wilson, Cyleigh",28,8,576,20.6,91,193,0.472,65,141,0.461,22,26,0.846,5,41,46,1.6,27,0,50,50,1,17,269,9.6
31,"Kennedy, Allyia",28,3,507,18.1,102,172,0.593,6,18,0.333,47,53,0.887,38,99,137,4.9,46,0,48,59,20,36,257,9.2
30,"King, Jess",28,28,636,22.7,89,170,0.524,0,2,0,36,48,0.75,55,178,233,8.3,57,0,32,34,29,25,214,7.6
3,"Boyd, Lindsay",27,3,408,15.1,42,107,0.393,22,62,0.355,16,26,0.615,18,51,69,2.6,50,0,35,32,9,18,122,4.5
5,"Gordon, Ella",26,24,633,24.3,34,112,0.304,20,79,0.253,14,20,0.7,3,32,35,1.3,33,0,58,34,3,21,102,3.9
11,"Mengel, Kamryn",14,0,105,7.5,18,42,0.429,4,11,0.364,12,19,0.632,4,8,12,0.9,7,0,13,16,0,8,52,3.7
40,"O'Connor, Grace",27,0,384,14.2,32,72,0.444,3,13,0.231,12,22,0.545,25,58,83,3.1,37,0,49,35,13,22,79,2.9
24,"Fasick, Ellie",16,0,102,6.4,12,26,0.462,0,0,0,12,18,0.667,12,22,34,2.1,12,0,8,8,3,2,36,2.3
14,"Chapman, Ava",14,0,42,3,6,18,0.333,1,7,0.143,2,4,0.5,3,3,6,0.4,2,0,3,5,0,2,15,1.1
35,"Houlihan, Peyton",13,0,40,3.1,7,18,0.389,0,0,0,0,0,0,4,8,12,0.9,3,0,3,2,2,2,14,1.1
15,"Wilhelm, Kiley",15,0,52,3.5,4,14,0.286,0,1,0,8,12,0.667,3,5,8,0.5,8,0,3,7,0,4,16,1.1
21,"Adamson, Ashley",15,0,52,3.5,5,16,0.313,3,11,0.273,2,2,1,1,6,7,0.5,7,0,3,9,1,2,15,1
22,"Gonzalez, Alex",12,0,28,2.3,4,9,0.444,3,6,0.5,0,0,0,1,1,2,0.2,3,0,2,5,0,1,11,0.9
10,"Anderson, Cadence",16,0,64,4,4,11,0.364,2,5,0.4,2,2,1,0,10,10,0.6,1,0,3,7,0,2,12,0.8
20,"Elias, Mallory",4,0,16,4,1,3,0.333,1,1,1,0,0,0,2,1,3,0.8,0,0,3,1,0,1,3,0.8
12,"Pronchick, Jess",10,0,24,2.4,1,3,0.333,0,0,0,1,2,0.5,5,7,12,1.2,6,0,1,3,0,0,3,0.3
13,"Elias, Megan",2,0,1,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
