##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,"Edmond,Orianna",*,25,5-15,0-0,3-4,4-7,11,0,0,2,0,0,13,Albright,Albright_Goucher_11-11-2023
23,"Zakovitch,Julia",*,18,5-9,0-0,3-4,4-2,6,0,1,2,0,2,13,Albright,Albright_Goucher_11-11-2023
13,"Apistar,CJ",*,20,2-7,1-3,4-4,3-1,4,1,3,2,0,3,9,Albright,Albright_Goucher_11-11-2023
01,"Dover,Mackenzie",*,22,3-9,1-2,1-2,1-4,5,0,5,3,0,0,8,Albright,Albright_Goucher_11-11-2023
33,"Dorsey,Kamyra",*,15,0-4,0-3,0-0,1-0,1,2,2,2,0,1,0,Albright,Albright_Goucher_11-11-2023
03,"Serrano,Gigi",,22,7-14,0-1,0-0,10-3,13,1,1,3,1,1,14,Albright,Albright_Goucher_11-11-2023
15,"Parmelee,Julia",,16,4-5,2-2,1-4,3-2,5,0,1,1,0,1,11,Albright,Albright_Goucher_11-11-2023
10,"Abbas,Saidat",,13,3-7,0-1,0-1,0-4,4,3,0,0,1,0,6,Albright,Albright_Goucher_11-11-2023
02,"Petruno,Jacey",,13,2-5,1-3,0-0,0-1,1,2,3,2,0,1,5,Albright,Albright_Goucher_11-11-2023
44,"Heck-Hoppes,Jayden",,9,1-3,1-2,1-2,0-2,2,3,1,1,0,0,4,Albright,Albright_Goucher_11-11-2023
00,"Mayo,Shakyla",,16,1-4,0-0,0-0,1-1,2,3,2,1,0,1,2,Albright,Albright_Goucher_11-11-2023
24,"Cooper,Kenedy",,11,0-1,0-1,0-0,0-1,1,0,1,2,0,3,0,Albright,Albright_Goucher_11-11-2023
03,"Villanueva,Maiya",*,29,4-12,2-4,0-0,1-2,3,3,2,8,0,1,10,Goucher,Albright_Goucher_11-11-2023
22,"Turner,Merci",*,26,4-8,0-2,1-2,2-6,8,3,1,2,0,0,9,Goucher,Albright_Goucher_11-11-2023
12,"Haggins,Briyah",*,34,2-9,2-5,2-2,1-3,4,1,2,5,1,4,8,Goucher,Albright_Goucher_11-11-2023
05,"Johnson,Brianna",*,26,3-7,1-1,0-0,0-3,3,4,0,3,0,2,7,Goucher,Albright_Goucher_11-11-2023
04,"Cavoli,Julia",*,25,2-4,2-4,1-2,0-2,2,4,1,2,0,0,7,Goucher,Albright_Goucher_11-11-2023
21,"Holmes,Savannah",,25,2-5,0-0,1-2,0-3,3,3,1,4,0,1,5,Goucher,Albright_Goucher_11-11-2023
44,"McCoy,Zion",,14,1-2,0-0,0-2,1-1,2,2,0,1,0,0,2,Goucher,Albright_Goucher_11-11-2023
10,"Lavaux,Louise",,10,0-3,0-3,1-2,1-2,3,2,0,6,0,1,1,Goucher,Albright_Goucher_11-11-2023
34,"Sherman,Darby",,11,0-3,0-1,0-2,0-2,2,0,1,1,0,0,0,Goucher,Albright_Goucher_11-11-2023
