##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Dover,Mackenzie",*,34,4-12,1-5,2-2,0-0,0,2,1,3,0,1,11,Albright,Albright_Scranton_11-20-2023
22,"Edmond,Orianna",*,13,1-4,0-0,4-4,2-2,4,3,0,3,0,1,6,Albright,Albright_Scranton_11-20-2023
23,"Zakovitch,Julia",*,30,2-5,0-0,0-4,0-2,2,1,0,2,0,1,4,Albright,Albright_Scranton_11-20-2023
13,"Apistar,CJ",*,16,1-2,0-1,0-0,0-1,1,2,0,2,0,1,2,Albright,Albright_Scranton_11-20-2023
33,"Dorsey,Kamyra",*,12,0-3,0-0,0-0,1-0,1,1,0,0,0,0,0,Albright,Albright_Scranton_11-20-2023
02,"Petruno,Jacey",,19,2-5,0-0,2-2,2-2,4,0,2,2,0,0,6,Albright,Albright_Scranton_11-20-2023
10,"Abbas,Saidat",,16,1-4,1-3,2-3,1-2,3,1,0,2,0,1,5,Albright,Albright_Scranton_11-20-2023
00,"Mayo,Shakyla",,19,1-5,1-2,1-2,2-3,5,2,0,1,0,0,4,Albright,Albright_Scranton_11-20-2023
24,"Cooper,Kenedy",,18,1-5,1-2,1-2,0-2,2,1,2,3,0,2,4,Albright,Albright_Scranton_11-20-2023
03,"Serrano,Gigi",,16,0-2,0-2,1-2,0-2,2,0,1,2,0,1,1,Albright,Albright_Scranton_11-20-2023
20,"Harris,Juliana",,5,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Albright,Albright_Scranton_11-20-2023
15,"Parmelee,Julia",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Albright,Albright_Scranton_11-20-2023
44,"Heck-Hoppes,Jayden",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Albright,Albright_Scranton_11-20-2023
01,"Romanowski,Kaeli",*,18,5-6,3-4,2-4,1-2,3,1,0,1,0,4,15,Scranton,Albright_Scranton_11-20-2023
11,"Kranson,Kaci",*,18,5-8,0-0,0-2,1-3,4,1,2,2,0,2,10,Scranton,Albright_Scranton_11-20-2023
21,"Ryan,Maddy",*,19,3-6,0-0,0-0,2-0,2,2,1,2,0,2,6,Scranton,Albright_Scranton_11-20-2023
13,"Hartnett,Maddie",*,15,3-9,0-3,0-0,0-0,0,1,0,0,2,0,6,Scranton,Albright_Scranton_11-20-2023
00,"Angelini,Hannah",*,16,0-1,0-1,0-0,0-4,4,1,1,0,0,1,0,Scranton,Albright_Scranton_11-20-2023
20,"Lamanna,Meghan",,13,4-8,3-6,0-0,0-3,3,1,1,0,0,1,11,Scranton,Albright_Scranton_11-20-2023
10,"Lynch,Allie",,13,2-4,2-4,2-2,0-2,2,2,0,2,0,0,8,Scranton,Albright_Scranton_11-20-2023
14,"Stoupakis,Natalie",,7,2-2,0-0,3-4,0-0,0,0,0,0,0,1,7,Scranton,Albright_Scranton_11-20-2023
44,"Toomey,Victoria",,11,2-4,0-0,0-2,4-0,4,2,2,1,0,1,4,Scranton,Albright_Scranton_11-20-2023
15,"Bennett,Elizabeth",,9,2-6,0-0,0-0,3-2,5,1,0,0,0,0,4,Scranton,Albright_Scranton_11-20-2023
22,"Nolan,Leah",,9,2-3,0-0,0-0,0-0,0,0,2,0,0,1,4,Scranton,Albright_Scranton_11-20-2023
03,"Brewer,Morgan",,8,1-1,1-1,0-2,0-1,1,0,2,0,0,1,3,Scranton,Albright_Scranton_11-20-2023
12,"Sloan,Jenna",,11,1-1,0-0,0-0,0-1,1,3,5,0,0,0,2,Scranton,Albright_Scranton_11-20-2023
30,"Steele,Mackenzie",,9,1-2,0-0,0-0,2-5,7,0,0,1,0,0,2,Scranton,Albright_Scranton_11-20-2023
05,"Gorski,Katie",,8,1-2,0-1,0-0,0-1,1,1,1,0,0,0,2,Scranton,Albright_Scranton_11-20-2023
33,"Quigley,Kyra",,8,1-1,0-0,0-0,3-2,5,3,2,2,2,0,2,Scranton,Albright_Scranton_11-20-2023
02,"Bender,Ashlyn",,8,0-3,0-2,0-0,1-0,1,0,0,0,2,1,0,Scranton,Albright_Scranton_11-20-2023
