##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Dover,Mackenzie",*,19,6-13,1-5,3-3,0-4,4,4,4,3,0,2,16,Albright,Albright_Wilkes_11-9-2024
03,"Serrano,Gigi",*,23,5-11,2-4,2-4,0-4,4,1,4,1,0,1,14,Albright,Albright_Wilkes_11-9-2024
13,"Apistar,CJ",*,28,3-7,0-1,0-0,4-3,7,2,2,1,0,1,6,Albright,Albright_Wilkes_11-9-2024
23,"Zakovitch,Julia",*,20,2-3,0-0,2-3,1-2,3,3,0,0,0,1,6,Albright,Albright_Wilkes_11-9-2024
22,"Edmond,Orianna",*,14,2-6,0-0,0-0,1-2,3,2,1,3,0,0,4,Albright,Albright_Wilkes_11-9-2024
05,"Jones,Chrisdin",,12,3-7,1-2,2-3,0-3,3,3,0,2,0,0,9,Albright,Albright_Wilkes_11-9-2024
00,"Mayo,Shakyla",,18,3-6,0-2,1-2,0-1,1,2,0,2,0,0,7,Albright,Albright_Wilkes_11-9-2024
15,"Parmelee,Julia",,11,3-4,1-1,0-0,0-2,2,4,1,0,0,5,7,Albright,Albright_Wilkes_11-9-2024
14,"Gibbs,Ciarra",,19,3-4,0-0,0-0,2-2,4,1,0,3,0,1,6,Albright,Albright_Wilkes_11-9-2024
33,"Sherman,Dani",,10,1-1,0-0,0-0,0-3,3,0,0,0,0,0,2,Albright,Albright_Wilkes_11-9-2024
02,"Petruno,Jacey",,11,0-3,0-3,0-0,1-1,2,0,0,1,0,0,0,Albright,Albright_Wilkes_11-9-2024
24,"Cooper,Kenedy",,8,0-6,0-2,0-0,1-1,2,5,1,1,0,1,0,Albright,Albright_Wilkes_11-9-2024
12,"Sonzogni,Devon",,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Albright,Albright_Wilkes_11-9-2024
20,"Harris,Juliana",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Albright,Albright_Wilkes_11-9-2024
44,"Hoffman,Natalie",,2,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Albright,Albright_Wilkes_11-9-2024
11,"Matos,Yamirelis",*,34,7-11,0-1,6-10,1-6,7,3,2,5,0,2,20,Wilkes,Albright_Wilkes_11-9-2024
13,"Holden,Reagan",*,26,2-6,0-2,6-6,0-1,1,1,1,2,0,0,10,Wilkes,Albright_Wilkes_11-9-2024
01,"Warren,Maliyah",*,26,1-7,1-2,2-4,1-2,3,3,1,3,1,0,5,Wilkes,Albright_Wilkes_11-9-2024
10,"Evanosky,Nadia",*,29,1-2,0-0,1-2,0-6,6,3,0,3,0,2,3,Wilkes,Albright_Wilkes_11-9-2024
30,"Bogdan,Delaney",*,14,1-4,0-1,0-0,0-1,1,2,0,1,0,1,2,Wilkes,Albright_Wilkes_11-9-2024
21,"Olguin,Madison",,20,2-7,1-6,2-2,0-1,1,2,0,4,0,3,7,Wilkes,Albright_Wilkes_11-9-2024
22,"Stout,Emma",,11,1-2,1-2,0-0,0-1,1,1,0,0,0,0,3,Wilkes,Albright_Wilkes_11-9-2024
05,"Lundy,Carolyn",,18,1-3,0-2,0-0,0-1,1,3,0,1,0,0,2,Wilkes,Albright_Wilkes_11-9-2024
04,"Robel,Madison",,13,0-3,0-1,2-2,0-1,1,2,0,1,2,0,2,Wilkes,Albright_Wilkes_11-9-2024
15,"Wartzenluft,Dana",,5,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,Wilkes,Albright_Wilkes_11-9-2024
02,"Viglone,Elizabeth",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Wilkes,Albright_Wilkes_11-9-2024
14,"McCance,Kyleen",,2,0-1,0-1,0-2,1-0,1,0,0,1,0,0,0,Wilkes,Albright_Wilkes_11-9-2024
