##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Karmonick,Jordan",*,28,6-12,2-4,8-10,3-4,7,3,2,1,0,1,22,Alvernia,Alvernia_Wilkes_12-30-2023
22,"Williams,Kayla",*,35,4-17,0-3,6-11,2-10,12,2,1,4,3,1,14,Alvernia,Alvernia_Wilkes_12-30-2023
02,"Malone,Taliyah",*,35,2-10,2-6,2-2,0-4,4,3,1,4,0,2,8,Alvernia,Alvernia_Wilkes_12-30-2023
01,"Bradford,Kylie",*,15,2-3,0-0,1-1,1-1,2,3,1,2,0,0,5,Alvernia,Alvernia_Wilkes_12-30-2023
03,"Wessels,Tamia",*,31,1-13,1-6,0-0,0-4,4,1,2,0,0,2,3,Alvernia,Alvernia_Wilkes_12-30-2023
05,"Poole,Ryleigh",,16,1-2,1-2,0-0,2-3,5,3,1,0,0,0,3,Alvernia,Alvernia_Wilkes_12-30-2023
25,"Janeski,Morgan",,3,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Alvernia,Alvernia_Wilkes_12-30-2023
23,"Ingelido,Jordyn",,24,0-6,0-2,0-0,1-2,3,1,2,0,1,0,0,Alvernia,Alvernia_Wilkes_12-30-2023
12,"Miskar,Madison",,8,0-3,0-0,0-0,2-0,2,0,0,3,0,1,0,Alvernia,Alvernia_Wilkes_12-30-2023
14,"Ruth,Meghan",,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Alvernia,Alvernia_Wilkes_12-30-2023
00,"Brantley,Ky",,2,0-1,0-0,0-0,0-1,1,0,0,1,0,0,0,Alvernia,Alvernia_Wilkes_12-30-2023
05,"Babcock,Brenna",*,31,5-7,0-0,7-9,2-4,6,4,0,2,0,1,17,Wilkes,Alvernia_Wilkes_12-30-2023
11,"Matos,Yamirelis",*,33,5-19,2-10,3-4,3-5,8,5,0,8,0,3,15,Wilkes,Alvernia_Wilkes_12-30-2023
21,"Shober,Erin",*,31,6-12,0-3,1-2,3-9,12,4,1,5,5,1,13,Wilkes,Alvernia_Wilkes_12-30-2023
12,"Simpson,Taylor",*,23,1-6,0-2,0-0,0-1,1,1,1,1,0,0,2,Wilkes,Alvernia_Wilkes_12-30-2023
02,"Marino,Julia",*,31,0-2,0-0,0-0,1-7,8,1,3,1,1,1,0,Wilkes,Alvernia_Wilkes_12-30-2023
22,"Stout,Emma",,14,2-4,1-3,0-0,0-2,2,2,0,1,0,0,5,Wilkes,Alvernia_Wilkes_12-30-2023
13,"Holden,Reagan",,15,0-0,0-0,1-2,0-1,1,0,0,0,0,0,1,Wilkes,Alvernia_Wilkes_12-30-2023
00,"Askins,Julianna",,13,0-4,0-3,0-0,1-2,3,1,0,2,0,1,0,Wilkes,Alvernia_Wilkes_12-30-2023
04,"Robel,Madison",,9,0-3,0-0,0-0,1-3,4,2,0,1,1,1,0,Wilkes,Alvernia_Wilkes_12-30-2023
