##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
13,"Bell,Delaney",*,36,4-11,0-5,0-2,2-7,9,1,3,2,1,1,8,Arcadia,Arcadia_Juniata_11-22-2022
11,"Weaver,Mara",*,35,2-11,1-9,3-4,2-2,4,2,3,1,3,2,8,Arcadia,Arcadia_Juniata_11-22-2022
05,"Glasser-Nehls,Scarle",*,38,2-10,1-6,0-0,4-5,9,4,0,2,0,2,5,Arcadia,Arcadia_Juniata_11-22-2022
02,"Beam,Abby",*,34,2-9,0-4,1-2,2-1,3,2,2,3,0,0,5,Arcadia,Arcadia_Juniata_11-22-2022
01,"Tully,Maria",*,13,0-2,0-0,0-0,0-1,1,0,1,1,1,0,0,Arcadia,Arcadia_Juniata_11-22-2022
21,"Rhoades,Hanna",,25,4-11,4-10,2-2,0-3,3,3,0,2,0,1,14,Arcadia,Arcadia_Juniata_11-22-2022
10,"Meredith,Kylie",,14,0-0,0-0,2-4,1-3,4,1,0,1,1,0,2,Arcadia,Arcadia_Juniata_11-22-2022
04,"Zolty,Ally",,5,0-0,0-0,0-0,1-0,1,1,0,1,0,0,0,Arcadia,Arcadia_Juniata_11-22-2022
03,"Miller, Kynnedy",*,34,6-10,3-5,2-4,2-3,5,2,4,3,0,0,17,Juniata,Arcadia_Juniata_11-22-2022
13,"Sherman, Haily",*,27,4-12,2-3,1-2,3-2,5,2,0,1,0,1,11,Juniata,Arcadia_Juniata_11-22-2022
21,"Bodtorf, Bri",*,29,3-8,1-2,0-0,4-5,9,1,5,2,0,3,7,Juniata,Arcadia_Juniata_11-22-2022
05,"Emert, Steph",*,26,2-6,1-1,2-4,0-5,5,2,0,0,0,0,7,Juniata,Arcadia_Juniata_11-22-2022
35,"Betts, Sarah",*,22,2-5,0-2,2-3,2-1,3,2,2,0,0,1,6,Juniata,Arcadia_Juniata_11-22-2022
44,"McCann, Emily",,22,1-7,0-1,1-4,0-8,8,1,1,0,0,1,3,Juniata,Arcadia_Juniata_11-22-2022
34,"Scipioni, Dani",,11,1-1,1-1,0-0,0-0,0,3,0,2,0,0,3,Juniata,Arcadia_Juniata_11-22-2022
24,"Coolidge, Emma",,17,1-7,0-3,0-0,1-1,2,0,0,1,0,0,2,Juniata,Arcadia_Juniata_11-22-2022
40,"Nonemaker, Emelie",,12,0-1,0-0,0-0,2-3,5,2,0,1,0,0,0,Juniata,Arcadia_Juniata_11-22-2022
