##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Smith,Samantha",*,32,7-13,0-0,5-6,3-5,8,2,4,1,1,3,19,Babson,Babson_Scranton_3-5-2022
23,"Bauman,Megan",*,40,5-12,2-6,0-0,1-3,4,4,7,1,0,0,12,Babson,Babson_Scranton_3-5-2022
11,"Walsh,Kelly",*,35,4-14,2-11,0-0,2-2,4,1,1,1,0,0,10,Babson,Babson_Scranton_3-5-2022
12,"McMenemy,Rachel",*,23,2-5,0-0,0-0,3-1,4,1,1,3,0,0,4,Babson,Babson_Scranton_3-5-2022
03,"Davis,Kiara",*,19,0-1,0-0,0-0,3-3,6,4,1,0,0,0,0,Babson,Babson_Scranton_3-5-2022
30,"Odam,Madison",,14,2-8,1-3,1-2,2-4,6,2,2,2,1,0,6,Babson,Babson_Scranton_3-5-2022
33,"Silk,Camilla",,16,1-1,0-0,0-0,1-0,1,1,0,1,0,0,2,Babson,Babson_Scranton_3-5-2022
10,"Chinthakunta,Anika",,14,0-2,0-1,0-0,0-2,2,1,1,2,0,0,0,Babson,Babson_Scranton_3-5-2022
04,"Miller,Abby",,7,0-3,0-3,0-0,1-1,2,0,0,1,0,0,0,Babson,Babson_Scranton_3-5-2022
24,"Monaghan,Bridget",*,39,10-17,5-8,0-0,0-3,3,0,2,2,0,2,25,Scranton,Babson_Scranton_3-5-2022
01,"Anderson,Abby",*,38,6-16,1-6,4-4,1-6,7,0,7,2,0,1,17,Scranton,Babson_Scranton_3-5-2022
00,"Angelini,Hannah",*,25,1-5,1-1,4-4,0-1,1,1,0,0,0,1,7,Scranton,Babson_Scranton_3-5-2022
33,"Quigley,Kyra",*,27,2-3,0-0,0-0,1-3,4,3,2,3,3,1,4,Scranton,Babson_Scranton_3-5-2022
20,"Shurina,Emily",*,25,1-2,1-1,0-0,0-4,4,4,1,0,0,0,3,Scranton,Babson_Scranton_3-5-2022
40,"McCurdy,Danielle",,16,2-3,0-0,0-0,0-2,2,2,1,1,2,2,4,Scranton,Babson_Scranton_3-5-2022
25,"Duerr,Emma",,5,1-1,1-1,0-0,0-0,0,1,0,1,0,0,3,Scranton,Babson_Scranton_3-5-2022
13,"Hartnett,Maddie",,25,1-4,0-2,0-0,0-1,1,3,0,0,0,0,2,Scranton,Babson_Scranton_3-5-2022
