##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
14,Makenzee Mason,*,30,7-17,5-12,1-2,2-7,9,4,0,3,0,2,20,Bethany,Bethany_Juniata_12-17-2022
11,Sophie Morey,*,28,1-3,0-0,0-0,2-2,4,3,4,3,1,0,2,Bethany,Bethany_Juniata_12-17-2022
12,Bella Skobel,*,20,0-8,0-2,2-2,1-2,3,2,1,4,1,2,2,Bethany,Bethany_Juniata_12-17-2022
01,Alexis Reed,*,29,0-4,0-3,0-2,2-2,4,3,3,3,0,0,0,Bethany,Bethany_Juniata_12-17-2022
22,Alexis Heap,*,25,0-5,0-0,0-2,3-3,6,1,1,1,1,3,0,Bethany,Bethany_Juniata_12-17-2022
15,Alyssa Serensky,,17,2-8,1-6,0-0,0-1,1,2,0,2,0,0,5,Bethany,Bethany_Juniata_12-17-2022
23,Amelia Ferguson,,11,1-2,0-0,1-3,2-0,2,3,0,1,0,1,3,Bethany,Bethany_Juniata_12-17-2022
21,Marisa Malone,,3,1-1,0-0,1-1,0-0,0,0,0,0,0,0,3,Bethany,Bethany_Juniata_12-17-2022
04,Taylor Dusenberry,,17,0-5,0-4,2-4,0-8,8,1,0,3,1,0,2,Bethany,Bethany_Juniata_12-17-2022
00,Francesca Mulas,,11,1-3,0-1,0-0,0-0,0,1,1,4,0,0,2,Bethany,Bethany_Juniata_12-17-2022
10,Aliaksandra Savetava,,4,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Bethany,Bethany_Juniata_12-17-2022
42,Samaria Murry,,3,0-0,0-0,0-0,0-2,2,1,0,0,1,0,0,Bethany,Bethany_Juniata_12-17-2022
35,Macy Chenot,,1,0-0,0-0,0-2,0-0,0,0,0,0,0,0,0,Bethany,Bethany_Juniata_12-17-2022
21,"Bodtorf, Bri",*,29,5-15,1-6,0-0,4-2,6,1,2,1,0,1,11,Juniata,Bethany_Juniata_12-17-2022
03,"Miller, Kynnedy",*,25,2-10,1-4,4-6,1-3,4,3,1,2,0,1,9,Juniata,Bethany_Juniata_12-17-2022
13,"Sherman, Haily",*,26,3-12,0-3,1-4,1-7,8,1,1,1,0,2,7,Juniata,Bethany_Juniata_12-17-2022
35,"Betts, Sarah",*,24,2-4,1-2,2-2,0-2,2,3,1,3,1,0,7,Juniata,Bethany_Juniata_12-17-2022
05,"Emert, Steph",*,31,3-8,0-2,0-2,2-6,8,0,5,3,1,4,6,Juniata,Bethany_Juniata_12-17-2022
24,"Coolidge, Emma",,14,2-5,0-1,4-4,3-3,6,3,0,1,0,0,8,Juniata,Bethany_Juniata_12-17-2022
40,"Nonemaker, Emelie",,16,1-2,0-0,3-6,1-4,5,2,0,1,1,0,5,Juniata,Bethany_Juniata_12-17-2022
44,"McCann, Emily",,15,1-2,0-0,0-0,1-3,4,1,0,1,0,0,2,Juniata,Bethany_Juniata_12-17-2022
11,"Berg, Olivia",,9,1-2,0-1,0-0,0-0,0,1,0,1,0,0,2,Juniata,Bethany_Juniata_12-17-2022
34,"Scipioni, Dani",,6,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Juniata,Bethany_Juniata_12-17-2022
22,"Eisenberg, Aleya",,5,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Bethany_Juniata_12-17-2022
