##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
32,"James,Ericka",*,35,7-14,3-8,0-2,0-3,3,2,1,5,2,0,17,Brooklyn,Brooklyn_Drew_12-6-2022
05,"Gotti,Gianna",*,35,3-13,0-1,2-2,2-3,5,2,4,4,0,6,8,Brooklyn,Brooklyn_Drew_12-6-2022
01,"Pham,Nancy",*,32,2-7,2-7,2-2,1-1,2,3,3,2,1,0,8,Brooklyn,Brooklyn_Drew_12-6-2022
21,"Rafat,Aleah",*,31,2-9,1-6,1-2,2-2,4,2,1,1,0,1,6,Brooklyn,Brooklyn_Drew_12-6-2022
11,"Goodman,Dasha",*,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Brooklyn,Brooklyn_Drew_12-6-2022
04,"Diaz,Sandra",,3,2-3,2-2,0-0,0-0,0,0,0,0,0,0,6,Brooklyn,Brooklyn_Drew_12-6-2022
02,"James,Sarah",,33,0-8,0-5,4-4,4-5,9,3,0,6,0,1,4,Brooklyn,Brooklyn_Drew_12-6-2022
10,"Dorsey,Dior",,16,1-2,0-0,1-6,4-3,7,1,1,1,1,2,3,Brooklyn,Brooklyn_Drew_12-6-2022
03,"Gutierrez,Brianna",,10,0-0,0-0,1-2,0-0,0,1,0,0,0,0,1,Brooklyn,Brooklyn_Drew_12-6-2022
31,"Castellano,Cheyenne",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Brooklyn,Brooklyn_Drew_12-6-2022
23,"Meyers,Joey",*,32,9-16,1-5,2-2,3-6,9,1,4,5,0,1,21,Drew,Brooklyn_Drew_12-6-2022
25,"Struble,Jamie",*,31,6-10,0-0,1-2,2-2,4,1,4,1,0,0,13,Drew,Brooklyn_Drew_12-6-2022
12,"Morgan,Madelyn",*,30,5-10,1-5,0-0,4-5,9,2,3,3,0,3,11,Drew,Brooklyn_Drew_12-6-2022
22,"Hezel,Gracie",*,25,4-6,0-0,1-2,2-2,4,3,1,2,1,2,9,Drew,Brooklyn_Drew_12-6-2022
02,"Alberici,Gwen",*,25,2-4,1-1,2-2,0-4,4,4,5,1,0,2,7,Drew,Brooklyn_Drew_12-6-2022
13,"Mann,Kyra",,11,2-4,1-3,0-0,0-3,3,0,0,1,0,1,5,Drew,Brooklyn_Drew_12-6-2022
04,"Wojtowicz,Katrina",,10,1-4,0-0,0-0,3-1,4,2,0,3,0,0,2,Drew,Brooklyn_Drew_12-6-2022
42,"Pica,Gianna",,6,1-4,0-0,0-0,0-1,1,0,0,0,0,0,2,Drew,Brooklyn_Drew_12-6-2022
05,"Wood,Ryane",,2,1-2,0-1,0-0,0-0,0,0,1,0,0,0,2,Drew,Brooklyn_Drew_12-6-2022
03,"Lalo,Izzy",,4,0-0,0-0,1-2,0-0,0,1,0,0,0,0,1,Drew,Brooklyn_Drew_12-6-2022
11,"Dobrich,Beth",,2,0-0,0-0,1-2,0-1,1,2,0,1,0,0,1,Drew,Brooklyn_Drew_12-6-2022
33,"Beyer,Maddie",,11,0-1,0-1,0-0,0-1,1,0,2,0,0,1,0,Drew,Brooklyn_Drew_12-6-2022
20,"Hezel,Brenna",,8,0-2,0-0,0-0,1-1,2,3,1,1,0,0,0,Drew,Brooklyn_Drew_12-6-2022
10,"Graff,Carlye",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Brooklyn_Drew_12-6-2022
50,"Antin,Sam",,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Drew,Brooklyn_Drew_12-6-2022
