##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
42,"Bracker-Sturm,Daphne",*,23,6-8,0-0,2-4,4-9,13,5,0,3,3,0,14,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
01,"Smith,Jessica",*,14,1-7,0-1,2-2,1-3,4,1,1,8,0,0,4,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
05,"Jiang,Michelle",*,1,1-1,1-1,0-0,0-0,0,0,0,1,0,0,3,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
13,"Pasia,Kris",*,21,1-4,0-2,0-0,0-0,0,1,1,2,0,0,2,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
04,"Govert,Hannah",*,20,0-4,0-2,0-0,1-5,6,4,2,11,0,1,0,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
15,"Kaper-Dale,Sena",,17,6-8,0-0,2-2,3-2,5,3,0,1,0,1,14,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
11,"Binder,Hannah",,19,1-1,0-0,4-4,3-3,6,2,0,6,0,0,6,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
21,"Stoudt,Allison",,20,1-5,0-0,3-6,1-1,2,2,3,7,0,0,5,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
10,"Richter,Cameron",,27,1-8,1-4,0-0,2-6,8,0,2,7,0,0,3,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
23,"Mack,Hannah",,23,0-8,0-6,0-0,0-3,3,2,1,6,0,1,0,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
03,"Spencer,Kayla",,15,0-1,0-0,0-0,1-0,1,1,3,0,0,2,0,Bryn Mawr,Bryn Mawr_Goucher_11-16-2024
25,"Knox,Sanai",*,16,6-12,0-0,0-2,9-0,9,1,1,1,0,3,12,Goucher,Bryn Mawr_Goucher_11-16-2024
02,"Boykin,Meona",*,14,5-12,0-2,1-3,4-3,7,2,0,2,0,6,11,Goucher,Bryn Mawr_Goucher_11-16-2024
22,"Turner,Merci",*,16,3-13,2-6,2-2,2-5,7,2,0,2,0,3,10,Goucher,Bryn Mawr_Goucher_11-16-2024
31,"Edens,Nia",*,15,2-7,0-3,0-0,1-2,3,5,4,1,0,3,4,Goucher,Bryn Mawr_Goucher_11-16-2024
03,"Villanueva,Maiya",*,13,0-6,0-3,0-0,0-0,0,0,2,0,0,2,0,Goucher,Bryn Mawr_Goucher_11-16-2024
20,"Whitaker,Amira",,19,2-9,1-3,12-12,5-1,6,2,2,1,1,1,17,Goucher,Bryn Mawr_Goucher_11-16-2024
23,"Towns,Lauryn",,15,4-8,1-2,1-1,0-2,2,3,0,1,0,3,10,Goucher,Bryn Mawr_Goucher_11-16-2024
04,"Igwe,Chi",,14,3-10,0-0,0-2,2-3,5,2,1,4,0,3,6,Goucher,Bryn Mawr_Goucher_11-16-2024
12,"Haggins,Briyah",,13,2-5,1-3,0-0,3-1,4,1,3,1,0,2,5,Goucher,Bryn Mawr_Goucher_11-16-2024
21,"Holmes,Savannah",,7,2-5,1-1,0-0,2-1,3,0,1,3,0,3,5,Goucher,Bryn Mawr_Goucher_11-16-2024
10,"Townsend,Leila",,11,1-5,1-2,1-2,4-0,4,1,1,1,0,1,4,Goucher,Bryn Mawr_Goucher_11-16-2024
15,"George,Nia",,12,1-2,1-2,0-0,1-0,1,0,2,0,0,1,3,Goucher,Bryn Mawr_Goucher_11-16-2024
44,"McCoy,Zion",,4,1-2,0-0,1-2,0-0,0,0,0,0,0,0,3,Goucher,Bryn Mawr_Goucher_11-16-2024
05,"Johnson,Brianna",,11,1-7,0-2,0-2,0-3,3,0,0,2,0,2,2,Goucher,Bryn Mawr_Goucher_11-16-2024
06,"Vaselaros,Kiara",,11,0-1,0-0,0-0,1-0,1,1,1,0,0,1,0,Goucher,Bryn Mawr_Goucher_11-16-2024
34,"Sherman,Darby",,6,0-1,0-1,0-0,1-0,1,0,0,0,0,0,0,Goucher,Bryn Mawr_Goucher_11-16-2024
08,"Washington,Kayley",,3,0-1,0-0,0-0,0-0,0,0,0,0,0,1,0,Goucher,Bryn Mawr_Goucher_11-16-2024
