##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Foberg,Charlotte",*,40,3-7,2-2,0-0,2-13,15,1,1,1,3,2,8,CCNY,CCNY_Drew_12-11-2021
01,"Craig,Leondra",*,36,2-12,1-5,2-2,1-1,2,1,3,9,0,0,7,CCNY,CCNY_Drew_12-11-2021
04,"Nantoume,Fatoumata",*,32,3-13,1-9,0-0,0-1,1,3,0,1,0,0,7,CCNY,CCNY_Drew_12-11-2021
02,"Magretta,Nicole",*,32,0-2,0-0,0-0,0-3,3,2,1,4,0,0,0,CCNY,CCNY_Drew_12-11-2021
30,"Luna,Theresa",*,31,0-10,0-9,0-0,0-3,3,1,0,3,0,0,0,CCNY,CCNY_Drew_12-11-2021
20,"Guillen,Jackeline",,25,0-1,0-0,0-0,0-0,0,2,0,5,0,1,0,CCNY,CCNY_Drew_12-11-2021
50,"Knowles ,Tyishia",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,CCNY,CCNY_Drew_12-11-2021
23,"Meyers,Joey",*,15,5-7,1-3,1-1,2-1,3,0,6,0,0,1,12,Drew,CCNY_Drew_12-11-2021
20,"Frederick,Erin",*,18,4-7,0-0,2-2,1-2,3,1,1,0,0,2,10,Drew,CCNY_Drew_12-11-2021
13,"Mann,Kyra",*,16,4-10,1-3,0-0,4-0,4,0,0,1,0,1,9,Drew,CCNY_Drew_12-11-2021
25,"Struble,Jamie",*,15,2-3,0-0,0-0,1-2,3,2,3,0,0,1,4,Drew,CCNY_Drew_12-11-2021
02,"Alberici,Gwen",*,14,1-5,0-2,0-0,1-2,3,0,4,0,0,1,2,Drew,CCNY_Drew_12-11-2021
22,"Timinski,Brooke",,19,5-12,2-7,0-0,2-4,6,1,5,1,0,0,12,Drew,CCNY_Drew_12-11-2021
03,"Lalo,Izzy",,21,4-10,0-3,0-0,1-2,3,0,0,3,0,1,8,Drew,CCNY_Drew_12-11-2021
04,"Wojtowicz,Katrina",,15,3-6,2-5,0-0,1-2,3,0,1,1,4,0,8,Drew,CCNY_Drew_12-11-2021
15,"Kracht,Cecelia",,18,1-1,0-0,1-4,1-5,6,0,0,2,2,4,3,Drew,CCNY_Drew_12-11-2021
50,"Antin,Sam",,15,1-2,0-0,0-0,1-2,3,1,0,1,2,0,2,Drew,CCNY_Drew_12-11-2021
05,"Genua,Micela",,20,0-5,0-4,0-0,4-3,7,0,4,0,0,1,0,Drew,CCNY_Drew_12-11-2021
10,"Graff,Carlye",,14,0-7,0-0,0-0,1-4,5,3,0,0,0,0,0,Drew,CCNY_Drew_12-11-2021
