##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,Kasia Morrison,*,31,1-9,1-7,2-3,1-1,2,3,2,4,1,0,5,CCNY,CCNY_Moravian University_12-30-2022
33,Monae Laing,*,27,2-11,1-1,0-4,4-5,9,3,0,3,0,1,5,CCNY,CCNY_Moravian University_12-30-2022
02,Joscelyn Ramos,*,37,0-8,0-1,0-2,0-3,3,1,1,9,1,2,0,CCNY,CCNY_Moravian University_12-30-2022
01,Leondra Craig,*,32,0-4,0-2,0-0,0-1,1,1,0,6,0,0,0,CCNY,CCNY_Moravian University_12-30-2022
30,Noemy Santana,*,21,0-3,0-1,0-0,1-2,3,2,0,4,0,1,0,CCNY,CCNY_Moravian University_12-30-2022
04,Fatoumata Nantoume,,20,2-9,0-3,0-0,0-5,5,2,0,3,0,0,4,CCNY,CCNY_Moravian University_12-30-2022
12,Renaldine Compere,,16,0-1,0-0,0-0,0-2,2,5,0,3,0,0,0,CCNY,CCNY_Moravian University_12-30-2022
22,Senait Douglas,,8,0-3,0-2,0-0,0-0,0,0,0,1,0,0,0,CCNY,CCNY_Moravian University_12-30-2022
34,Noor Emerch,,8,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,CCNY,CCNY_Moravian University_12-30-2022
2,Kayla Yoegel,*,22,5-14,1-2,3-4,4-3,7,1,2,1,1,1,14,Moravian University,CCNY_Moravian University_12-30-2022
20,Tessa Zamolyi,*,19,5-7,0-1,2-3,2-7,9,0,1,0,1,1,12,Moravian University,CCNY_Moravian University_12-30-2022
1,Sam Osorio,*,17,5-14,0-0,1-2,5-5,10,3,0,1,2,5,11,Moravian University,CCNY_Moravian University_12-30-2022
24,Morgan Amy,*,17,3-4,2-3,0-0,0-1,1,0,9,1,0,1,8,Moravian University,CCNY_Moravian University_12-30-2022
5,Emily Markowski,*,16,3-3,0-0,2-2,1-2,3,0,2,2,0,4,8,Moravian University,CCNY_Moravian University_12-30-2022
10,Brielle Guarente,,21,6-9,0-0,2-2,1-4,5,1,6,2,1,1,14,Moravian University,CCNY_Moravian University_12-30-2022
4,Jayda Cartagena,,20,5-6,1-1,2-4,0-3,3,1,3,1,0,2,13,Moravian University,CCNY_Moravian University_12-30-2022
15,Sarah Miniter,,20,2-4,1-1,4-6,1-0,1,0,3,2,0,3,9,Moravian University,CCNY_Moravian University_12-30-2022
12,Mikayla Anderson,,22,3-5,0-0,0-0,2-5,7,0,3,2,0,0,6,Moravian University,CCNY_Moravian University_12-30-2022
25,Ashley Robinson,,15,2-5,0-0,1-2,3-2,5,1,2,1,0,0,5,Moravian University,CCNY_Moravian University_12-30-2022
13,Nicole Rendina,,11,1-5,0-0,0-0,0-5,5,3,0,2,0,1,2,Moravian University,CCNY_Moravian University_12-30-2022
