##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Perkins,Samaree",*,29,5-7,0-0,5-12,1-10,11,3,0,2,0,0,15,Capital,Capital_Moravian_12-30-2023
21,"Weiland,Maddi",*,30,3-4,1-2,2-2,1-7,8,0,0,5,6,3,9,Capital,Capital_Moravian_12-30-2023
23,"O'Connor,Bri",*,29,1-8,0-1,7-10,2-4,6,3,5,3,1,2,9,Capital,Capital_Moravian_12-30-2023
13,"Brewer,Demi",*,33,4-9,0-2,0-1,2-2,4,1,3,3,0,1,8,Capital,Capital_Moravian_12-30-2023
05,"Murphy,Laney",*,26,1-6,1-5,4-4,1-0,1,4,0,2,0,2,7,Capital,Capital_Moravian_12-30-2023
15,"Weiland,Kenzie",,11,2-3,0-0,2-2,1-1,2,0,0,1,0,0,6,Capital,Capital_Moravian_12-30-2023
03,"Spreen,Kendall",,12,1-3,1-3,0-0,0-2,2,0,1,0,0,0,3,Capital,Capital_Moravian_12-30-2023
35,"Rouser,Olivia",,2,1-2,1-1,0-0,0-0,0,1,0,1,0,0,3,Capital,Capital_Moravian_12-30-2023
34,"Dougoud,Maddie",,2,1-1,0-0,0-0,0-0,0,1,0,0,0,0,2,Capital,Capital_Moravian_12-30-2023
30,"Horsley,Jenna",,10,0-3,0-3,0-0,0-0,0,0,0,1,1,1,0,Capital,Capital_Moravian_12-30-2023
22,"Burke,Katie",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Capital,Capital_Moravian_12-30-2023
02,"Ray,Aly",,3,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Capital,Capital_Moravian_12-30-2023
20,"Rodriguez,Izzy",,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Capital,Capital_Moravian_12-30-2023
01,"Ellis,Tahirah",,2,0-1,0-0,0-0,2-1,3,0,1,1,0,0,0,Capital,Capital_Moravian_12-30-2023
11,"Blatnik,Skylar",,2,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Capital,Capital_Moravian_12-30-2023
31,"Cashell,Kiersten",,2,0-0,0-0,0-0,0-0,0,0,0,0,1,0,0,Capital,Capital_Moravian_12-30-2023
04,"Cartagena,Jayda",*,24,3-13,1-2,3-6,0-0,0,3,2,4,0,1,10,Moravian,Capital_Moravian_12-30-2023
24,"Lustig,Lizzie",*,32,4-8,0-1,0-0,1-3,4,2,2,1,1,3,8,Moravian,Capital_Moravian_12-30-2023
01,"Osorio,Sam",*,21,3-10,0-0,1-2,3-4,7,4,0,2,1,0,7,Moravian,Capital_Moravian_12-30-2023
10,"Guarente,Brielle",*,31,3-13,0-0,0-0,2-3,5,3,0,2,0,2,6,Moravian,Capital_Moravian_12-30-2023
14,"Flannery,Reganne",*,33,1-5,1-4,0-0,0-1,1,0,4,2,0,0,3,Moravian,Capital_Moravian_12-30-2023
22,"Vassallo,Juliana",,18,2-6,0-2,5-5,2-4,6,2,0,3,0,1,9,Moravian,Capital_Moravian_12-30-2023
21,"Steffen,Grace",,18,1-4,0-0,0-0,2-5,7,5,1,0,2,0,2,Moravian,Capital_Moravian_12-30-2023
12,"Anderson,Mikayla",,12,0-0,0-0,0-0,0-1,1,0,0,1,2,0,0,Moravian,Capital_Moravian_12-30-2023
00,"Altmire,Emma",,4,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Moravian,Capital_Moravian_12-30-2023
11,"Fernandez,Yarian",,4,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0,Moravian,Capital_Moravian_12-30-2023
20,"Herbert,Lanie",,3,0-0,0-0,0-0,1-0,1,2,0,1,0,0,0,Moravian,Capital_Moravian_12-30-2023
