##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
33,"Douglas,Keegan",*,39,11-16,2-3,4-4,0-5,5,2,2,3,0,1,28,Catholic,Catholic_Bridgewater (VA)_11-12-2023
10,"Flaherty,Kerry",*,29,5-12,1-6,3-3,0-1,1,0,3,1,0,4,14,Catholic,Catholic_Bridgewater (VA)_11-12-2023
13,"Scoblick,Anna",*,31,4-6,0-0,0-1,2-4,6,4,2,3,1,4,8,Catholic,Catholic_Bridgewater (VA)_11-12-2023
22,"Mulvaney,Carly",*,35,2-10,0-3,3-4,3-4,7,1,3,0,1,2,7,Catholic,Catholic_Bridgewater (VA)_11-12-2023
05,"White,Sarah",*,24,1-5,1-3,0-0,1-0,1,3,1,3,0,2,3,Catholic,Catholic_Bridgewater (VA)_11-12-2023
11,"Kennedy,Amelia",,11,1-5,1-3,0-0,0-1,1,1,0,1,0,0,3,Catholic,Catholic_Bridgewater (VA)_11-12-2023
15,"Aromando,Molly",,10,1-4,0-2,0-0,0-0,0,0,0,2,0,0,2,Catholic,Catholic_Bridgewater (VA)_11-12-2023
51,"Dragone,Angelina",,7,1-2,0-0,0-0,1-1,2,1,0,1,0,0,2,Catholic,Catholic_Bridgewater (VA)_11-12-2023
30,"Fernandez,Tori",,9,0-2,0-0,0-0,1-0,1,0,0,0,0,1,0,Catholic,Catholic_Bridgewater (VA)_11-12-2023
45,"Cusack,Delaney",,5,0-1,0-0,0-0,0-1,1,0,1,0,0,1,0,Catholic,Catholic_Bridgewater (VA)_11-12-2023
05,"Corcoran,Riley",*,31,6-12,0-0,1-2,3-2,5,1,1,4,0,3,13,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
23,"Alsberry,Jaden",*,24,4-10,0-0,0-0,2-5,7,2,5,4,1,0,8,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
01,"Green,My'la",*,20,1-6,0-0,2-2,0-1,1,3,0,2,0,0,4,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
20,"Freeman,Abby",*,16,2-3,0-0,0-0,0-1,1,3,1,1,0,0,4,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
13,"Maynard,Reagan",*,6,0-2,0-1,0-0,0-1,1,0,1,2,0,1,0,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
02,"Ford,Kayla",,19,3-6,1-2,0-0,0-2,2,0,0,5,0,0,7,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
31,"Polston,Jaiden",,19,3-3,0-0,1-2,3-3,6,2,1,2,1,1,7,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
22,"Garcia,Jay",,21,3-7,0-0,0-0,3-6,9,1,2,2,0,2,6,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
10,"Humpherys,Aylin",,7,2-3,1-1,0-0,0-1,1,0,0,0,0,0,5,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
12,"Edmonds,Alexis",,27,1-2,0-0,0-0,0-2,2,2,1,1,0,3,2,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
04,"Luna,Vanessa",,10,0-1,0-0,0-0,0-1,1,2,1,3,0,1,0,Bridgewater (VA),Catholic_Bridgewater (VA)_11-12-2023
