##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Bussanich,Rachel",*,37,7-14,0-0,4-8,2-3,5,3,3,3,0,2,18,Catholic,Catholic_Drew_2-5-2022
25,"Doherty,Erin",*,27,7-12,0-3,0-0,0-2,2,0,2,3,0,2,14,Catholic,Catholic_Drew_2-5-2022
23,"Johnson,Amanda",*,33,3-9,2-2,2-2,2-6,8,2,3,0,0,3,10,Catholic,Catholic_Drew_2-5-2022
22,"Mulvaney,Carly",*,21,1-6,1-3,0-0,0-1,1,1,0,1,0,2,3,Catholic,Catholic_Drew_2-5-2022
10,"Baldo,Amelia",*,25,0-1,0-0,1-2,0-2,2,3,1,2,0,2,1,Catholic,Catholic_Drew_2-5-2022
35,"Mamula,Luca",,25,4-8,0-1,0-0,3-0,3,1,1,3,1,5,8,Catholic,Catholic_Drew_2-5-2022
04,"Thompson,Erin",,15,1-2,1-1,0-0,0-0,0,0,1,0,0,1,3,Catholic,Catholic_Drew_2-5-2022
12,"McCarter,Sammie",,15,0-3,0-2,2-2,1-0,1,0,2,1,0,1,2,Catholic,Catholic_Drew_2-5-2022
15,"Aromando,Molly",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Catholic,Catholic_Drew_2-5-2022
23,"Meyers,Joey",*,36,4-13,0-6,6-7,2-2,4,1,3,6,0,1,14,Drew,Catholic_Drew_2-5-2022
02,"Alberici,Gwen",*,35,3-8,2-4,2-2,0-7,7,2,4,4,0,0,10,Drew,Catholic_Drew_2-5-2022
20,"Frederick,Erin",*,31,5-8,0-0,0-0,2-1,3,5,1,3,1,0,10,Drew,Catholic_Drew_2-5-2022
13,"Mann,Kyra",*,18,4-7,1-4,0-0,0-1,1,3,3,2,0,0,9,Drew,Catholic_Drew_2-5-2022
15,"Kracht,Cecelia",*,31,0-1,0-0,0-0,5-4,9,1,1,3,3,2,0,Drew,Catholic_Drew_2-5-2022
22,"Timinski,Brooke",,3,1-2,1-2,0-0,0-0,0,2,0,1,0,0,3,Drew,Catholic_Drew_2-5-2022
04,"Wojtowicz,Katrina",,25,1-5,0-2,0-0,0-1,1,0,1,2,0,1,2,Drew,Catholic_Drew_2-5-2022
25,"Struble,Jamie",,16,1-3,0-0,0-0,1-1,2,1,1,1,2,0,2,Drew,Catholic_Drew_2-5-2022
05,"Genua,Micela",,5,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Drew,Catholic_Drew_2-5-2022
