##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,Amanda Johnson,*,30,4-13,1-3,3-3,2-5,7,3,5,0,2,0,12,Catholic,Catholic_Elizabethtown_2-23-2022
10,Amelia Baldo,*,33,3-8,0-0,3-4,4-7,11,2,2,1,0,2,9,Catholic,Catholic_Elizabethtown_2-23-2022
35,Luca Mamula,*,18,3-6,1-1,0-0,2-2,4,3,1,4,2,1,7,Catholic,Catholic_Elizabethtown_2-23-2022
25,Erin Doherty,*,21,3-12,0-2,0-0,1-3,4,3,0,3,0,1,6,Catholic,Catholic_Elizabethtown_2-23-2022
04,Erin Thompson,*,27,1-4,0-1,2-2,0-1,1,0,3,0,0,0,4,Catholic,Catholic_Elizabethtown_2-23-2022
22,Carly Mulvaney,,23,4-9,2-4,6-6,1-8,9,3,1,0,0,0,16,Catholic,Catholic_Elizabethtown_2-23-2022
01,Rachel Bussanich,,29,5-13,0-0,4-6,3-6,9,1,1,1,0,1,14,Catholic,Catholic_Elizabethtown_2-23-2022
12,Sammie McCarter,,10,1-2,0-0,0-0,2-0,2,0,0,1,0,1,2,Catholic,Catholic_Elizabethtown_2-23-2022
05,Sarah White,,6,0-1,0-1,0-0,0-0,0,2,1,0,0,0,0,Catholic,Catholic_Elizabethtown_2-23-2022
34,Maggie Bednarek,,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_Elizabethtown_2-23-2022
22,Veronica Christ,*,38,7-22,1-7,0-1,2-5,7,2,2,3,0,1,15,Elizabethtown,Catholic_Elizabethtown_2-23-2022
10,Summer McNulty,*,37,4-18,1-5,0-1,4-4,8,4,2,4,2,1,9,Elizabethtown,Catholic_Elizabethtown_2-23-2022
30,Jessica King,*,24,4-10,0-0,1-2,3-7,10,1,2,0,5,0,9,Elizabethtown,Catholic_Elizabethtown_2-23-2022
34,DaniRae Renno,*,26,1-3,0-0,1-2,3-4,7,3,0,0,3,0,3,Elizabethtown,Catholic_Elizabethtown_2-23-2022
04,Cyleigh Wilson,*,22,1-4,1-4,0-0,0-0,0,3,1,2,0,0,3,Elizabethtown,Catholic_Elizabethtown_2-23-2022
21,Emily Prowell,,30,4-11,2-6,1-2,3-3,6,2,2,1,1,0,11,Elizabethtown,Catholic_Elizabethtown_2-23-2022
05,Jillian Nagy,,17,1-3,0-1,0-0,0-0,0,2,0,1,0,1,2,Elizabethtown,Catholic_Elizabethtown_2-23-2022
13,Taylor Huyck,,5,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Elizabethtown,Catholic_Elizabethtown_2-23-2022
33,Clare Marchese,,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Elizabethtown,Catholic_Elizabethtown_2-23-2022
