##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
35,"Mamula,Luca",*,24,7-11,1-2,2-2,8-4,12,2,0,4,0,3,17,Catholic,Catholic_Goucher_1-26-2022
01,"Bussanich,Rachel",*,20,4-6,0-0,5-6,2-3,5,2,0,4,0,1,13,Catholic,Catholic_Goucher_1-26-2022
25,"Doherty,Erin",*,19,3-12,1-3,0-0,1-4,5,0,1,0,0,2,7,Catholic,Catholic_Goucher_1-26-2022
23,"Johnson,Amanda",*,21,2-7,1-4,0-0,0-1,1,1,3,3,1,0,5,Catholic,Catholic_Goucher_1-26-2022
10,"Baldo,Amelia",*,22,1-1,0-0,0-0,0-2,2,0,1,0,1,0,2,Catholic,Catholic_Goucher_1-26-2022
12,"McCarter,Sammie",,16,2-3,2-3,0-0,1-4,5,0,0,1,0,0,6,Catholic,Catholic_Goucher_1-26-2022
34,"Bednarek,Maggie",,13,1-3,1-2,2-2,2-1,3,0,1,0,0,0,5,Catholic,Catholic_Goucher_1-26-2022
20,"Beirne,Kaleigh",,11,2-5,0-2,1-2,2-1,3,0,1,0,0,1,5,Catholic,Catholic_Goucher_1-26-2022
05,"White,Sarah",,14,2-5,0-2,0-0,1-3,4,3,0,1,0,1,4,Catholic,Catholic_Goucher_1-26-2022
15,"Aromando,Molly",,12,1-5,0-2,0-0,1-2,3,0,0,2,0,0,2,Catholic,Catholic_Goucher_1-26-2022
22,"Mulvaney,Carly",,11,0-5,0-3,0-0,0-0,0,3,0,1,0,0,0,Catholic,Catholic_Goucher_1-26-2022
04,"Thompson,Erin",,9,0-4,0-0,0-0,1-1,2,1,0,0,0,1,0,Catholic,Catholic_Goucher_1-26-2022
02,"Torp,Ella",,8,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Catholic,Catholic_Goucher_1-26-2022
44,"Donahue,Shannon",,0+,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Catholic,Catholic_Goucher_1-26-2022
23,"Quarles,Kyani",*,25,6-7,0-0,5-6,7-0,7,4,0,0,0,1,17,Goucher,Catholic_Goucher_1-26-2022
21,"McFadden,Alayna",*,38,5-17,2-5,4-4,1-6,7,3,0,6,1,5,16,Goucher,Catholic_Goucher_1-26-2022
34,"Cavoli,Julia",*,31,2-6,1-4,0-0,1-0,1,3,1,2,0,0,5,Goucher,Catholic_Goucher_1-26-2022
10,"Carini,Belle",*,36,1-9,0-0,0-0,0-1,1,0,2,3,0,0,2,Goucher,Catholic_Goucher_1-26-2022
12,"Haggins,Briyah",*,30,1-7,0-2,0-0,1-7,8,0,5,5,1,0,2,Goucher,Catholic_Goucher_1-26-2022
30,"Cox,Ava",,3,1-2,0-0,0-0,1-0,1,0,0,0,0,0,2,Goucher,Catholic_Goucher_1-26-2022
05,"Gonzales,Serrena",,19,0-1,0-0,0-0,0-2,2,0,3,0,0,1,0,Goucher,Catholic_Goucher_1-26-2022
22,"Nwuli,Sydney",,18,0-8,0-0,0-0,2-2,4,4,0,2,1,0,0,Goucher,Catholic_Goucher_1-26-2022
