##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Johnson,Amanda",*,35,6-13,1-6,0-1,1-3,4,3,1,3,0,1,13,Catholic,Catholic_Ithaca_3-4-2022
35,"Mamula,Luca",*,22,3-8,0-0,6-8,3-4,7,3,0,4,1,1,12,Catholic,Catholic_Ithaca_3-4-2022
25,"Doherty,Erin",*,23,4-12,2-4,0-0,0-5,5,2,3,4,1,1,10,Catholic,Catholic_Ithaca_3-4-2022
04,"Thompson,Erin",*,28,3-8,1-2,0-0,1-1,2,1,1,1,0,1,7,Catholic,Catholic_Ithaca_3-4-2022
10,"Baldo,Amelia",*,29,0-7,0-1,0-0,2-3,5,2,0,2,1,3,0,Catholic,Catholic_Ithaca_3-4-2022
01,"Bussanich,Rachel",,30,4-10,0-0,10-12,2-3,5,1,0,1,0,2,18,Catholic,Catholic_Ithaca_3-4-2022
22,"Mulvaney,Carly",,20,1-5,0-3,1-2,3-2,5,1,1,1,0,0,3,Catholic,Catholic_Ithaca_3-4-2022
12,"McCarter,Sammie",,10,0-0,0-0,0-0,1-1,2,1,1,1,0,0,0,Catholic,Catholic_Ithaca_3-4-2022
15,"Aromando,Molly",,3,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_Ithaca_3-4-2022
04,"Cannon,Grace",*,28,5-11,0-0,4-4,3-3,6,3,3,5,3,5,14,Ithaca,Catholic_Ithaca_3-4-2022
33,"Volpe,Cara",*,33,4-9,0-0,3-4,0-9,9,0,5,3,1,3,11,Ithaca,Catholic_Ithaca_3-4-2022
24,"Albertelli,Lindsey",*,28,5-11,0-0,0-0,2-3,5,2,4,3,4,1,10,Ithaca,Catholic_Ithaca_3-4-2022
32,"Yawman,Megan",*,29,2-7,2-5,2-2,1-3,4,1,4,0,0,1,8,Ithaca,Catholic_Ithaca_3-4-2022
22,"Coffey,Camryn",*,19,2-9,2-7,2-2,0-2,2,2,0,1,0,0,8,Ithaca,Catholic_Ithaca_3-4-2022
21,"Dorn,Emily",,20,5-7,0-0,1-2,1-2,3,1,0,1,0,1,11,Ithaca,Catholic_Ithaca_3-4-2022
15,"Buxton,Melissa",,14,2-3,1-2,0-0,0-0,0,1,0,0,0,1,5,Ithaca,Catholic_Ithaca_3-4-2022
20,"Polce,Hannah",,10,2-2,1-1,0-0,1-2,3,2,0,1,0,0,5,Ithaca,Catholic_Ithaca_3-4-2022
10,"Smith,Natalie",,19,1-4,1-3,0-0,0-0,0,1,2,3,0,1,3,Ithaca,Catholic_Ithaca_3-4-2022
