##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Bussanich,Rachel",*,25,8-11,1-2,8-9,3-3,6,1,0,3,1,1,25,Catholic,Catholic_Juniata_2-15-2023
12,"McCarter,Sammie",*,19,3-8,1-3,1-2,2-3,5,1,1,0,0,0,8,Catholic,Catholic_Juniata_2-15-2023
25,"Doherty,Erin",*,16,3-6,0-1,1-4,0-1,1,0,0,1,0,0,7,Catholic,Catholic_Juniata_2-15-2023
04,"Thompson,Erin",*,20,1-8,0-4,2-2,0-0,0,2,2,0,0,0,4,Catholic,Catholic_Juniata_2-15-2023
10,"Baldo,Amelia",*,21,1-4,0-0,0-0,0-4,4,0,1,2,0,0,2,Catholic,Catholic_Juniata_2-15-2023
13,"Scoblick,Anna",,12,5-5,0-0,1-2,0-2,2,2,1,2,0,1,11,Catholic,Catholic_Juniata_2-15-2023
33,"Douglas,Keegan",,17,2-7,0-3,0-0,0-0,0,0,6,1,0,4,4,Catholic,Catholic_Juniata_2-15-2023
05,"White,Sarah",,9,1-5,0-0,2-2,5-1,6,3,1,2,0,1,4,Catholic,Catholic_Juniata_2-15-2023
22,"Mulvaney,Carly",,18,1-4,1-3,0-0,3-3,6,2,2,1,0,1,3,Catholic,Catholic_Juniata_2-15-2023
15,"Aromando,Molly",,10,1-5,0-1,0-0,1-2,3,0,0,1,0,0,2,Catholic,Catholic_Juniata_2-15-2023
20,"Beirne,Kaleigh",,8,0-3,0-1,2-4,0-1,1,1,1,0,0,0,2,Catholic,Catholic_Juniata_2-15-2023
34,"Bednarek,Maggie",,7,1-3,0-1,0-0,1-1,2,3,1,0,0,0,2,Catholic,Catholic_Juniata_2-15-2023
24,"Kenah,Alexa",,5,1-2,0-0,0-0,0-1,1,0,0,0,0,2,2,Catholic,Catholic_Juniata_2-15-2023
11,"Kennedy,Amelia",,8,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Catholic,Catholic_Juniata_2-15-2023
40,"Greenhut,Kathryn",,5,0-0,0-0,0-0,0-2,2,0,0,1,0,1,0,Catholic,Catholic_Juniata_2-15-2023
13,"Sherman,Haily",*,30,5-11,1-5,0-0,2-3,5,1,0,5,0,3,11,Juniata,Catholic_Juniata_2-15-2023
05,"Emert,Steph",*,33,3-11,1-5,3-4,1-4,5,2,4,3,0,0,10,Juniata,Catholic_Juniata_2-15-2023
40,"Nonemaker,Emelie",*,20,2-4,0-0,1-4,2-5,7,1,1,2,0,0,5,Juniata,Catholic_Juniata_2-15-2023
21,"Bodtorf,Bri",*,18,2-5,0-0,0-2,2-1,3,3,0,0,0,0,4,Juniata,Catholic_Juniata_2-15-2023
03,"Miller,Kynnedy",*,27,0-4,0-2,0-2,0-7,7,2,1,2,0,2,0,Juniata,Catholic_Juniata_2-15-2023
35,"Betts,Sarah",,15,2-3,0-1,2-2,0-3,3,4,0,1,0,0,6,Juniata,Catholic_Juniata_2-15-2023
24,"Coolidge,Emma",,14,3-5,0-0,0-0,1-1,2,1,0,4,0,0,6,Juniata,Catholic_Juniata_2-15-2023
22,"Eisenberg,Aleya",,15,0-1,0-1,0-0,0-0,0,0,1,4,0,0,0,Juniata,Catholic_Juniata_2-15-2023
44,"McCann,Emily",,14,0-6,0-4,0-0,1-2,3,3,2,7,0,0,0,Juniata,Catholic_Juniata_2-15-2023
11,"Berg,Olivia",,12,0-0,0-0,0-0,0-0,0,1,0,2,1,0,0,Juniata,Catholic_Juniata_2-15-2023
34,"Scipioni,Dani",,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Juniata,Catholic_Juniata_2-15-2023
