##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Flaherty,Kerry",*,27,5-15,4-10,2-2,1-4,5,2,2,1,2,0,16,Catholic,Catholic_Lycoming_2-17-2024
22,"Mulvaney,Carly",*,28,5-9,0-2,4-4,0-5,5,4,3,2,1,3,14,Catholic,Catholic_Lycoming_2-17-2024
05,"White,Sarah",*,25,5-11,1-6,0-0,3-1,4,3,3,1,0,2,11,Catholic,Catholic_Lycoming_2-17-2024
33,"Douglas,Keegan",*,30,3-11,2-6,2-2,0-2,2,2,2,1,0,1,10,Catholic,Catholic_Lycoming_2-17-2024
13,"Scoblick,Anna",*,28,4-7,0-0,1-2,3-6,9,0,5,2,2,1,9,Catholic,Catholic_Lycoming_2-17-2024
11,"Kennedy,Amelia",,22,3-4,0-1,0-0,1-3,4,1,4,1,0,2,6,Catholic,Catholic_Lycoming_2-17-2024
20,"Beirne,Kaleigh",,10,2-6,0-0,1-4,0-1,1,2,0,0,0,0,5,Catholic,Catholic_Lycoming_2-17-2024
24,"Kenah,Alexa",,17,1-3,0-1,1-2,1-5,6,0,2,0,0,5,3,Catholic,Catholic_Lycoming_2-17-2024
03,"Travieso,Sofia",,2,1-1,0-0,0-0,0-1,1,0,0,0,0,0,2,Catholic,Catholic_Lycoming_2-17-2024
30,"Fernandez,Tori",,9,0-0,0-0,0-0,0-1,1,2,1,3,0,2,0,Catholic,Catholic_Lycoming_2-17-2024
15,"Aromando,Molly",,2,0-0,0-0,0-0,0-0,0,0,0,0,1,1,0,Catholic,Catholic_Lycoming_2-17-2024
22,"Lockard,Emily",*,36,8-18,0-3,5-5,8-6,14,0,0,5,3,1,21,Lycoming,Catholic_Lycoming_2-17-2024
12,"Dufner,Meghan",*,30,1-6,1-5,2-2,0-5,5,3,2,6,0,0,5,Lycoming,Catholic_Lycoming_2-17-2024
21,"Yoh,Ashley",*,30,2-8,0-0,0-0,0-4,4,2,1,6,0,2,4,Lycoming,Catholic_Lycoming_2-17-2024
10,"Wetzel,Mya",*,26,1-7,1-7,0-2,0-3,3,2,3,1,0,3,3,Lycoming,Catholic_Lycoming_2-17-2024
25,"Goldenziel,Alicia",*,13,0-2,0-0,0-0,1-5,6,4,2,1,1,0,0,Lycoming,Catholic_Lycoming_2-17-2024
20,"Pumputis,Jillian",,20,2-7,2-6,0-0,0-1,1,0,0,0,0,1,6,Lycoming,Catholic_Lycoming_2-17-2024
02,"Abdo,Kami",,30,1-6,0-5,2-2,1-1,2,1,3,2,0,1,4,Lycoming,Catholic_Lycoming_2-17-2024
13,"Rudalavage,Mia",,9,1-2,0-1,0-2,0-1,1,0,0,1,0,0,2,Lycoming,Catholic_Lycoming_2-17-2024
15,"Hartman,Makenna",,3,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Lycoming,Catholic_Lycoming_2-17-2024
04,"Orich,Maddie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Catholic_Lycoming_2-17-2024
11,"Bena,Katie",,1,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Catholic_Lycoming_2-17-2024
24,"Fave,Isabella",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Catholic_Lycoming_2-17-2024
