##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,Amelia Baldo,*,37,6-10,2-3,3-4,0-4,4,1,1,2,0,3,17,Catholic,Catholic_Marymount (VA)_11-20-2021
01,Rachel Bussanich,*,23,5-11,0-2,4-4,3-3,6,4,0,2,1,2,14,Catholic,Catholic_Marymount (VA)_11-20-2021
22,Carly Mulvaney,*,21,2-8,0-3,2-2,1-1,2,5,1,2,0,0,6,Catholic,Catholic_Marymount (VA)_11-20-2021
23,Amanda Johnson,*,35,1-5,0-2,3-4,1-7,8,5,3,2,1,2,5,Catholic,Catholic_Marymount (VA)_11-20-2021
40,Kathryn Greenhut,*,17,1-2,0-1,0-0,1-0,1,3,0,1,0,0,2,Catholic,Catholic_Marymount (VA)_11-20-2021
25,Erin Doherty,,25,5-18,0-2,4-6,1-5,6,2,1,0,0,1,14,Catholic,Catholic_Marymount (VA)_11-20-2021
04,Erin Thompson,,14,2-2,0-0,3-4,0-2,2,2,0,1,0,0,7,Catholic,Catholic_Marymount (VA)_11-20-2021
15,Molly Aromando,,13,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_Marymount (VA)_11-20-2021
35,Luca Mamula,,12,0-2,0-0,0-0,1-2,3,4,0,2,1,0,0,Catholic,Catholic_Marymount (VA)_11-20-2021
34,Maggie Bednarek,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_Marymount (VA)_11-20-2021
24,Katie McShea,*,39,6-15,0-0,10-11,5-7,12,2,1,3,2,2,22,Marymount (VA),Catholic_Marymount (VA)_11-20-2021
23,Chandler Eddleton,*,20,3-8,0-0,4-5,1-0,1,4,1,3,0,1,10,Marymount (VA),Catholic_Marymount (VA)_11-20-2021
10,Symantha Shackelford,*,37,2-6,1-3,3-4,0-3,3,4,0,3,0,0,8,Marymount (VA),Catholic_Marymount (VA)_11-20-2021
21,Claire Smith,*,25,0-2,0-0,2-4,1-7,8,4,1,1,1,1,2,Marymount (VA),Catholic_Marymount (VA)_11-20-2021
03,Terra Dzambo,*,18,0-6,0-3,2-2,2-3,5,4,1,3,0,0,2,Marymount (VA),Catholic_Marymount (VA)_11-20-2021
02,Anna Schools,,25,3-6,1-3,0-2,0-0,0,4,1,1,0,0,7,Marymount (VA),Catholic_Marymount (VA)_11-20-2021
12,Kyla Treadwell,,20,1-10,0-5,0-0,0-2,2,0,0,2,0,0,2,Marymount (VA),Catholic_Marymount (VA)_11-20-2021
35,Grace Damato,,14,0-0,0-0,0-0,0-2,2,1,1,1,0,1,0,Marymount (VA),Catholic_Marymount (VA)_11-20-2021
33,Kelly Ceroll,,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Marymount (VA),Catholic_Marymount (VA)_11-20-2021
