##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Flaherty,Kerry",*,31,6-11,5-7,0-0,0-0,0,2,0,5,0,1,17,Catholic,Catholic_Moravian_2-1-2025
11,"Kennedy,Amelia",*,28,5-10,1-3,1-2,2-5,7,3,5,1,0,3,12,Catholic,Catholic_Moravian_2-1-2025
24,"Kenah,Alexa",*,30,4-11,0-3,3-4,5-1,6,2,2,1,0,2,11,Catholic,Catholic_Moravian_2-1-2025
13,"Scoblick,Anna",*,28,2-7,0-0,6-8,1-5,6,3,2,3,2,5,10,Catholic,Catholic_Moravian_2-1-2025
33,"Douglas,Keegan",*,25,2-6,2-4,0-0,1-3,4,3,3,0,0,0,6,Catholic,Catholic_Moravian_2-1-2025
41,"Blumenthal,Sam",,11,2-3,0-0,4-8,1-3,4,2,2,0,0,1,8,Catholic,Catholic_Moravian_2-1-2025
03,"Travieso,Sofia",,17,1-5,0-0,0-0,1-3,4,1,2,1,1,0,2,Catholic,Catholic_Moravian_2-1-2025
04,"McLaughlin,Molly",,3,0-0,0-0,2-2,0-0,0,0,0,1,0,0,2,Catholic,Catholic_Moravian_2-1-2025
34,"Hughes,Maggie",,9,0-1,0-1,0-0,0-0,0,2,0,1,0,0,0,Catholic,Catholic_Moravian_2-1-2025
02,"Guidetti,Raquel",,5,0-0,0-0,0-0,0-0,0,1,0,0,0,1,0,Catholic,Catholic_Moravian_2-1-2025
05,"Boccella,Olivia",,5,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_Moravian_2-1-2025
20,"Villa,Lia",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_Moravian_2-1-2025
40,"Kreinbrook,Anna",,2,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Catholic,Catholic_Moravian_2-1-2025
45,"Cusack,Delaney",,2,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Catholic,Catholic_Moravian_2-1-2025
15,"Iacone,Ella",,1,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_Moravian_2-1-2025
22,"Vassallo,Juliana",*,28,2-15,0-5,3-5,1-4,5,0,0,1,1,0,7,Moravian,Catholic_Moravian_2-1-2025
24,"Lustig,Lizzie",*,30,3-5,0-2,0-0,0-1,1,1,0,4,0,1,6,Moravian,Catholic_Moravian_2-1-2025
01,"Osorio,Sam",*,21,0-2,0-0,2-2,0-4,4,3,0,4,1,1,2,Moravian,Catholic_Moravian_2-1-2025
20,"Herbert,Lanie",*,17,0-0,0-0,0-2,2-2,4,2,0,3,0,0,0,Moravian,Catholic_Moravian_2-1-2025
12,"Anderson,Mikayla",*,13,0-0,0-0,0-0,2-0,2,3,0,1,0,0,0,Moravian,Catholic_Moravian_2-1-2025
04,"Cartagena,Jayda",,19,4-14,2-4,4-6,1-0,1,1,3,4,0,0,14,Moravian,Catholic_Moravian_2-1-2025
14,"Pukszyn,Emma",,20,2-3,0-0,0-0,1-1,2,2,1,0,1,0,4,Moravian,Catholic_Moravian_2-1-2025
05,"Wallbillich,Ellie",,20,1-3,0-1,1-1,1-4,5,2,0,2,0,0,3,Moravian,Catholic_Moravian_2-1-2025
30,"Elias,Mallory",,1,1-1,0-0,0-0,0-1,1,0,0,0,0,1,2,Moravian,Catholic_Moravian_2-1-2025
23,"Cabana,Kylie",,3,0-1,0-0,1-2,0-0,0,0,0,0,0,0,1,Moravian,Catholic_Moravian_2-1-2025
11,"Squizziato,Sofia",,8,0-0,0-0,0-0,0-1,1,1,0,3,0,0,0,Moravian,Catholic_Moravian_2-1-2025
00,"Altmire,Emma",,7,0-4,0-4,0-0,0-0,0,0,1,0,0,0,0,Moravian,Catholic_Moravian_2-1-2025
03,"Sena,Allie",,4,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0,Moravian,Catholic_Moravian_2-1-2025
25,"Lew,Bellisima",,4,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Catholic_Moravian_2-1-2025
42,"Ohlhoff,Brynn",,3,0-0,0-0,0-0,1-0,1,1,0,1,0,0,0,Moravian,Catholic_Moravian_2-1-2025
15,"Elias,Megan",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Catholic_Moravian_2-1-2025
34,"Donaldson,Kate",,1,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Moravian,Catholic_Moravian_2-1-2025
