##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
33,"Douglas,Keegan",*,36,7-15,3-6,0-1,2-2,4,3,3,1,0,2,17,Catholic,Catholic_Randolph-Macon_11-18-2023
05,"White,Sarah",*,31,5-15,4-11,2-2,0-3,3,1,2,1,0,3,16,Catholic,Catholic_Randolph-Macon_11-18-2023
22,"Mulvaney,Carly",*,35,5-10,2-5,1-3,2-6,8,4,1,1,1,1,13,Catholic,Catholic_Randolph-Macon_11-18-2023
10,"Flaherty,Kerry",*,26,2-6,1-3,2-2,0-4,4,1,3,4,0,0,7,Catholic,Catholic_Randolph-Macon_11-18-2023
13,"Scoblick,Anna",*,30,2-7,0-0,2-5,4-3,7,4,1,3,1,2,6,Catholic,Catholic_Randolph-Macon_11-18-2023
30,"Fernandez,Tori",,15,3-6,2-3,0-0,1-3,4,0,1,1,0,1,8,Catholic,Catholic_Randolph-Macon_11-18-2023
11,"Kennedy,Amelia",,10,1-2,0-1,0-0,0-2,2,1,0,1,0,2,2,Catholic,Catholic_Randolph-Macon_11-18-2023
15,"Aromando,Molly",,11,0-4,0-4,0-0,0-2,2,1,1,0,1,1,0,Catholic,Catholic_Randolph-Macon_11-18-2023
50,"Dragone,Angelina",,4,0-0,0-0,0-0,0-1,1,1,0,2,0,0,0,Catholic,Catholic_Randolph-Macon_11-18-2023
20,"Beirne,Kaleigh",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Catholic,Catholic_Randolph-Macon_11-18-2023
35,"Park,Juliana",*,28,5-7,4-5,1-2,0-4,4,3,0,2,0,1,15,Randolph-Macon,Catholic_Randolph-Macon_11-18-2023
25,"Elkins,Jane",*,28,6-17,0-0,0-0,5-14,19,3,1,3,0,1,12,Randolph-Macon,Catholic_Randolph-Macon_11-18-2023
23,"Ziegler,Marisa",*,32,3-9,0-2,0-0,0-2,2,0,6,3,0,0,6,Randolph-Macon,Catholic_Randolph-Macon_11-18-2023
21,"Miller,Morgan",*,28,2-5,1-2,0-0,1-2,3,2,1,5,0,1,5,Randolph-Macon,Catholic_Randolph-Macon_11-18-2023
01,"Smith,Sam",*,31,1-6,0-2,2-2,0-4,4,3,5,3,1,3,4,Randolph-Macon,Catholic_Randolph-Macon_11-18-2023
04,"Bruce,Bella",,23,3-12,2-9,0-0,0-4,4,2,0,0,1,0,8,Randolph-Macon,Catholic_Randolph-Macon_11-18-2023
02,"Byers,Emion",,12,0-1,0-1,2-6,1-2,3,0,0,0,0,0,2,Randolph-Macon,Catholic_Randolph-Macon_11-18-2023
12,"Velez,Cait",,10,0-1,0-1,0-0,0-0,0,1,0,3,0,3,0,Randolph-Macon,Catholic_Randolph-Macon_11-18-2023
34,"Davis,Lilly",,8,0-0,0-0,0-0,0-0,0,0,0,1,0,1,0,Randolph-Macon,Catholic_Randolph-Macon_11-18-2023
