##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,"Doherty, Erin",*,34+,8-18,3-3,2-7,1-5,6,4,2,3,0,4,21,Catholic,Catholic_Scranton_3-6-2021
23,"Johnson, Amanda",*,34+,7-14,3-6,1-3,1-5,6,3,3,3,4,1,18,Catholic,Catholic_Scranton_3-6-2021
1,"Bussanich, Rachel",*,26+,2-6,0-0,2-2,1-1,2,4,2,1,0,2,6,Catholic,Catholic_Scranton_3-6-2021
10,"Baldo, Amelia",*,36+,1-3,1-1,1-2,1-4,5,0,5,0,0,0,4,Catholic,Catholic_Scranton_3-6-2021
5,"White, Sarah",*,22+,1-7,0-1,0-0,1-3,4,1,0,1,0,2,2,Catholic,Catholic_Scranton_3-6-2021
12,"McCarter, Sammie",,22,0-2,0-0,2-2,0-1,1,1,0,0,0,0,2,Catholic,Catholic_Scranton_3-6-2021
24,"Quesada, Lauren",,17+,0-2,0-0,2-6,2-7,9,2,1,1,0,0,2,Catholic,Catholic_Scranton_3-6-2021
40,"Greenhut, Kathryn",,9+,0-3,0-1,0-0,1-0,1,0,0,0,0,0,0,Catholic,Catholic_Scranton_3-6-2021
13,"Hartnett, Maddie",*,30+,5-15,4-6,2-2,0-3,3,0,1,5,1,0,16,Scranton,Catholic_Scranton_3-6-2021
24,"Monaghan, Bridget",*,36+,5-9,2-3,0-0,0-5,5,2,3,1,0,1,12,Scranton,Catholic_Scranton_3-6-2021
20,"Shurina, Emily",*,28+,4-13,1-7,1-2,2-4,6,4,1,1,0,0,10,Scranton,Catholic_Scranton_3-6-2021
33,"Quigley, Kyra",*,25+,3-4,0-0,0-0,1-5,6,5,1,3,2,1,6,Scranton,Catholic_Scranton_3-6-2021
40,"McCurdy, Danielle",*,33+,1-4,0-0,0-0,0-7,7,1,5,2,3,0,2,Scranton,Catholic_Scranton_3-6-2021
0,"Angelini, Hannah",,27+,2-10,2-6,0-0,2-6,8,2,2,0,1,0,6,Scranton,Catholic_Scranton_3-6-2021
21,"Ryan, Maddy",,18+,1-3,0-0,2-6,1-2,3,1,0,1,1,0,4,Scranton,Catholic_Scranton_3-6-2021
5,"Heineman, Carly",,3+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Catholic_Scranton_3-6-2021
