##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
33,"Douglas,Keegan",*,23,4-10,1-2,2-2,1-4,5,1,2,2,0,2,11,Catholic,Catholic_St. Mary's (MD)_11-22-2022
25,"Doherty,Erin",*,21,4-14,0-3,0-0,3-4,7,2,0,1,0,2,8,Catholic,Catholic_St. Mary's (MD)_11-22-2022
22,"Mulvaney,Carly",*,21,2-5,1-1,1-2,2-7,9,0,0,2,1,0,6,Catholic,Catholic_St. Mary's (MD)_11-22-2022
01,"Bussanich,Rachel",*,18,2-10,0-0,0-0,0-3,3,2,0,5,0,3,4,Catholic,Catholic_St. Mary's (MD)_11-22-2022
04,"Thompson,Erin",*,11,1-5,0-1,0-0,2-0,2,2,0,0,0,0,2,Catholic,Catholic_St. Mary's (MD)_11-22-2022
13,"Scoblick,Anna",,22,5-7,1-1,2-4,3-3,6,2,4,1,0,3,13,Catholic,Catholic_St. Mary's (MD)_11-22-2022
10,"Baldo,Amelia",,27,5-6,1-1,0-0,1-3,4,1,4,0,1,2,11,Catholic,Catholic_St. Mary's (MD)_11-22-2022
12,"McCarter,Sammie",,20,2-3,0-1,0-0,0-1,1,2,1,1,0,0,4,Catholic,Catholic_St. Mary's (MD)_11-22-2022
20,"Beirne,Kaleigh",,5,1-2,0-0,0-0,0-0,0,0,0,1,0,0,2,Catholic,Catholic_St. Mary's (MD)_11-22-2022
11,"Kennedy,Amelia",,2,1-2,0-1,0-0,0-0,0,0,0,0,0,0,2,Catholic,Catholic_St. Mary's (MD)_11-22-2022
05,"White,Sarah",,11,0-3,0-1,0-0,1-1,2,2,0,1,0,0,0,Catholic,Catholic_St. Mary's (MD)_11-22-2022
15,"Aromando,Molly",,9,0-2,0-1,0-2,1-1,2,0,0,2,0,0,0,Catholic,Catholic_St. Mary's (MD)_11-22-2022
24,"Kenah,Alexa",,5,0-1,0-1,0-0,1-1,2,0,1,0,0,0,0,Catholic,Catholic_St. Mary's (MD)_11-22-2022
02,"Melchionni,Anna",,4,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Catholic,Catholic_St. Mary's (MD)_11-22-2022
35,"Hughes,Maggie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_St. Mary's (MD)_11-22-2022
25,"Blaylock,Samantha",*,37,6-13,3-7,0-0,0-2,2,3,2,2,0,1,15,St. Mary's (MD),Catholic_St. Mary's (MD)_11-22-2022
14,"Howell,Stephanie",*,35,2-15,0-1,1-4,2-11,13,1,3,4,2,1,5,St. Mary's (MD),Catholic_St. Mary's (MD)_11-22-2022
04,"Williams,Karon",*,34,2-14,0-2,1-4,1-2,3,2,2,8,2,3,5,St. Mary's (MD),Catholic_St. Mary's (MD)_11-22-2022
05,"Manning,Rachel",*,26,1-1,0-0,0-0,0-0,0,1,0,2,1,2,2,St. Mary's (MD),Catholic_St. Mary's (MD)_11-22-2022
13,"Jones,Madalyn",*,19,0-1,0-0,0-0,1-0,1,1,0,0,0,0,0,St. Mary's (MD),Catholic_St. Mary's (MD)_11-22-2022
22,"Aguilar,Melanie",,19,1-6,0-0,1-2,3-1,4,3,0,4,0,0,3,St. Mary's (MD),Catholic_St. Mary's (MD)_11-22-2022
03,"Sabatini,Kristin",,20,1-2,0-0,0-0,2-1,3,1,0,0,0,0,2,St. Mary's (MD),Catholic_St. Mary's (MD)_11-22-2022
21,"Kaplan,Skylar",,6,1-2,0-0,0-0,0-0,0,1,0,0,0,0,2,St. Mary's (MD),Catholic_St. Mary's (MD)_11-22-2022
32,"Shermeyer,Josie",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,St. Mary's (MD),Catholic_St. Mary's (MD)_11-22-2022
