##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,"Mulvaney,Carly",*,32,5-11,2-4,2-2,3-5,8,1,1,1,0,2,14,Catholic,Catholic_Susquehanna_12-4-2024
13,"Scoblick,Anna",*,29,5-12,0-0,2-5,3-2,5,1,4,4,0,7,12,Catholic,Catholic_Susquehanna_12-4-2024
10,"Flaherty,Kerry",*,28,3-8,2-5,0-0,0-3,3,1,0,3,0,0,8,Catholic,Catholic_Susquehanna_12-4-2024
33,"Douglas,Keegan",*,20,4-9,0-4,0-0,0-0,0,3,1,1,1,3,8,Catholic,Catholic_Susquehanna_12-4-2024
24,"Kenah,Alexa",*,19,2-6,0-1,1-2,0-1,1,1,1,0,1,0,5,Catholic,Catholic_Susquehanna_12-4-2024
11,"Kennedy,Amelia",,19,4-9,1-2,0-0,2-2,4,4,0,1,0,6,9,Catholic,Catholic_Susquehanna_12-4-2024
25,"Kraft,Lauren",,14,2-4,1-3,1-2,1-3,4,2,0,1,0,1,6,Catholic,Catholic_Susquehanna_12-4-2024
34,"Hughes,Maggie",,15,1-3,0-1,0-0,0-2,2,4,0,1,0,0,2,Catholic,Catholic_Susquehanna_12-4-2024
41,"Blumenthal,Sam",,7,1-2,0-0,0-0,1-0,1,0,0,0,0,1,2,Catholic,Catholic_Susquehanna_12-4-2024
03,"Travieso,Sofia",,5,0-2,0-0,0-0,0-0,0,3,0,0,0,0,0,Catholic,Catholic_Susquehanna_12-4-2024
02,"Guidetti,Raquel",,3,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0,Catholic,Catholic_Susquehanna_12-4-2024
15,"Iacone,Ella",,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Catholic,Catholic_Susquehanna_12-4-2024
05,"Boccella,Olivia",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_Susquehanna_12-4-2024
20,"Villa,Lia",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Catholic,Catholic_Susquehanna_12-4-2024
40,"Kreinbrook,Anna",,2,0-0,0-0,0-0,0-0,0,0,0,0,1,0,0,Catholic,Catholic_Susquehanna_12-4-2024
11,"Weyant,Sydney",*,23,2-5,2-4,6-7,1-4,5,0,1,4,0,0,12,Susquehanna,Catholic_Susquehanna_12-4-2024
03,"Selvaggi,Kenzie",*,25,4-10,2-5,0-0,0-2,2,2,2,4,0,0,10,Susquehanna,Catholic_Susquehanna_12-4-2024
12,"George,Carly",*,25,3-5,0-0,1-2,2-6,8,4,1,5,0,0,7,Susquehanna,Catholic_Susquehanna_12-4-2024
24,"Maffei,Zoie",*,27,2-7,0-0,0-0,3-2,5,1,1,2,1,1,4,Susquehanna,Catholic_Susquehanna_12-4-2024
00,"Pinckert,Julia",*,26,2-7,0-2,0-1,0-4,4,1,0,4,0,2,4,Susquehanna,Catholic_Susquehanna_12-4-2024
05,"Klein,Lauren",,22,4-6,0-1,4-4,1-4,5,2,0,3,0,4,12,Susquehanna,Catholic_Susquehanna_12-4-2024
14,"Meehan,Grace",,21,1-4,0-2,1-2,2-4,6,3,2,4,1,0,3,Susquehanna,Catholic_Susquehanna_12-4-2024
15,"Greek,Annie",,22,0-4,0-3,0-0,1-1,2,1,1,3,0,0,0,Susquehanna,Catholic_Susquehanna_12-4-2024
32,"Servitto,Greta",,5,0-2,0-0,0-2,0-0,0,0,0,0,0,0,0,Susquehanna,Catholic_Susquehanna_12-4-2024
25,"Pukszyn,Emma",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Catholic_Susquehanna_12-4-2024
