##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
33,"DOUGLAS,Keegan",*,25,9-12,1-1,1-1,0-3,3,1,2,1,0,4,20,Catholic,Catholic_Trinity Washington_11-8-2023
13,"SCOBLICK,Anna",*,25,3-5,0-0,2-2,2-3,5,2,2,0,1,1,8,Catholic,Catholic_Trinity Washington_11-8-2023
5,"WHITE,Sarah",*,20,2-5,0-1,2-2,1-3,4,1,5,5,0,3,6,Catholic,Catholic_Trinity Washington_11-8-2023
10,"FLAHERTY,Kerry",*,19,2-5,1-3,0-0,2-1,3,3,0,0,0,1,5,Catholic,Catholic_Trinity Washington_11-8-2023
22,"MULVANEY,Carly",*,25,2-10,0-3,0-0,2-2,4,1,2,2,0,3,4,Catholic,Catholic_Trinity Washington_11-8-2023
15,"AROMANDO,Molly",,14,4-5,2-3,0-0,0-0,0,0,5,1,0,0,10,Catholic,Catholic_Trinity Washington_11-8-2023
30,"FERNANDEZ,Tori",,11,4-6,2-3,0-0,1-0,1,1,2,4,0,2,10,Catholic,Catholic_Trinity Washington_11-8-2023
4,"MCLAUGHLIN,Molly",,8,4-4,0-0,0-0,0-1,1,0,0,0,1,1,8,Catholic,Catholic_Trinity Washington_11-8-2023
50,"DRAGONE,Angelina",,6,3-4,0-0,0-0,1-0,1,2,0,0,0,0,6,Catholic,Catholic_Trinity Washington_11-8-2023
20,"BEIRNE,Kaleigh",,4,2-3,0-0,2-5,0-1,1,0,0,0,1,0,6,Catholic,Catholic_Trinity Washington_11-8-2023
24,"KENAH,Alexa",,6,2-2,0-0,0-0,1-0,1,1,0,0,1,1,4,Catholic,Catholic_Trinity Washington_11-8-2023
2,"MELCHIONNI,Anna",,4,0-0,0-0,2-4,0-1,1,0,0,1,0,0,2,Catholic,Catholic_Trinity Washington_11-8-2023
21,"CRONIN,Sophie",,3,0-1,0-0,2-2,0-0,0,0,0,0,0,1,2,Catholic,Catholic_Trinity Washington_11-8-2023
34,"HUGHES,Maggie",,3,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Catholic,Catholic_Trinity Washington_11-8-2023
11,"KENNEDY,Amelia",,16,0-0,0-0,0-0,0-5,5,2,4,0,0,2,0,Catholic,Catholic_Trinity Washington_11-8-2023
3,"TRAVIESO,Sofia",,4,0-1,0-1,0-0,0-0,0,0,0,1,0,1,0,Catholic,Catholic_Trinity Washington_11-8-2023
23,"REDCROSS,Lauryn",,3,0-3,0-0,0-0,0-0,0,1,0,1,0,0,0,Catholic,Catholic_Trinity Washington_11-8-2023
25,"IACONE,Ella",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_Trinity Washington_11-8-2023
12,"HANLEY,Sydney",,0,0-0,0-0,0-0,1-1,2,0,0,1,0,0,0,Catholic,Catholic_Trinity Washington_11-8-2023
3,"FORD,Brenae",*,38,10-21,3-6,0-0,0-3,3,2,2,3,0,1,23,Trinity Washington,Catholic_Trinity Washington_11-8-2023
20,"MURDOCK,Victoria",*,27,2-6,0-1,2-3,1-1,2,1,1,3,0,2,6,Trinity Washington,Catholic_Trinity Washington_11-8-2023
11,"BEASLEY,J'Kaylah",*,31,1-5,0-0,2-2,1-2,3,4,1,3,0,1,4,Trinity Washington,Catholic_Trinity Washington_11-8-2023
4,"YANCEY,Taryn",*,29,1-7,0-3,2-2,0-3,3,4,3,12,0,1,4,Trinity Washington,Catholic_Trinity Washington_11-8-2023
5,"SHIMELS,Hermela",*,35,1-3,0-0,1-2,0-2,2,2,0,4,0,0,3,Trinity Washington,Catholic_Trinity Washington_11-8-2023
12,"HARRIS,Danet",,15,1-3,0-1,1-1,0-1,1,1,0,5,0,3,3,Trinity Washington,Catholic_Trinity Washington_11-8-2023
10,"OKORO,Millicent",,2,1-2,1-2,0-0,0-0,0,0,0,2,0,0,3,Trinity Washington,Catholic_Trinity Washington_11-8-2023
24,"MANFUL,Lynette",,15,0-1,0-0,1-2,0-1,1,1,0,1,0,0,1,Trinity Washington,Catholic_Trinity Washington_11-8-2023
22,"COOPER,Keisha",,0,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,Trinity Washington,Catholic_Trinity Washington_11-8-2023
