##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,Ashlie Louden,*,29,6-11,3-7,2-2,0-2,2,3,1,3,0,1,17,Chatham,Chatham_Elizabethtown_12-20-2023
15,Alyssa Laukus,*,31,4-9,0-0,5-7,5-5,10,4,6,2,0,1,13,Chatham,Chatham_Elizabethtown_12-20-2023
02,Aurielle Brunner,*,35,1-6,1-3,0-0,0-4,4,1,5,3,0,4,3,Chatham,Chatham_Elizabethtown_12-20-2023
14,Charjae Brock,*,17,1-4,0-2,0-0,0-0,0,2,2,4,0,1,2,Chatham,Chatham_Elizabethtown_12-20-2023
24,Keegan McConahy,*,7,0-0,0-0,0-0,1-1,2,1,0,2,0,1,0,Chatham,Chatham_Elizabethtown_12-20-2023
30,Hannah Chenault,,27,6-9,4-7,3-4,0-2,2,1,1,2,0,0,19,Chatham,Chatham_Elizabethtown_12-20-2023
03,Zelimar Rodriguez,,19,5-12,2-6,0-0,4-2,6,3,1,0,0,1,12,Chatham,Chatham_Elizabethtown_12-20-2023
10,Emily Durkee,,19,3-5,2-4,2-4,1-1,2,2,1,1,0,2,10,Chatham,Chatham_Elizabethtown_12-20-2023
21,Samantha Hardy,,10,0-0,0-0,2-2,0-0,0,2,1,1,0,0,2,Chatham,Chatham_Elizabethtown_12-20-2023
12,Kaitlyn Fertig,,6,0-1,0-0,0-0,0-1,1,1,0,0,0,0,0,Chatham,Chatham_Elizabethtown_12-20-2023
25,Summer McNulty,*,35,8-18,1-5,6-6,1-3,4,2,2,5,0,3,23,Elizabethtown,Chatham_Elizabethtown_12-20-2023
30,Jessica King,*,37,6-15,0-0,3-3,7-5,12,2,2,1,2,4,15,Elizabethtown,Chatham_Elizabethtown_12-20-2023
04,Cyleigh Wilson,*,30,3-7,3-5,0-0,0-3,3,3,2,2,0,2,9,Elizabethtown,Chatham_Elizabethtown_12-20-2023
02,Makenna Mummert,*,23,3-8,0-0,3-4,3-1,4,3,2,1,0,1,9,Elizabethtown,Chatham_Elizabethtown_12-20-2023
34,DaniRae Renno,*,15,2-5,0-0,3-5,3-0,3,0,1,1,0,0,7,Elizabethtown,Chatham_Elizabethtown_12-20-2023
05,Ella Gordon,,23,2-3,2-3,1-2,0-2,2,2,0,0,0,0,7,Elizabethtown,Chatham_Elizabethtown_12-20-2023
03,Lindsay Boyd,,26,0-4,0-2,2-4,0-4,4,3,5,3,0,1,2,Elizabethtown,Chatham_Elizabethtown_12-20-2023
31,Allyia Kennedy,,6,1-1,0-0,0-0,1-0,1,1,0,1,0,0,2,Elizabethtown,Chatham_Elizabethtown_12-20-2023
35,Cass Peris,,5,0-0,0-0,0-0,1-0,1,0,0,1,0,0,0,Elizabethtown,Chatham_Elizabethtown_12-20-2023
