##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
15,"Fan,Sondra",*,13,4-9,1-4,3-4,0-1,1,1,2,0,0,4,12,Chris. Newport,Chris. Newport_Goucher_11-13-2021
02,"Ng,Julia",*,11,3-3,0-0,1-2,0-5,5,1,0,2,0,1,7,Chris. Newport,Chris. Newport_Goucher_11-13-2021
32,"Simmons,Anaya",*,11,3-5,0-0,1-6,2-1,3,0,0,0,1,1,7,Chris. Newport,Chris. Newport_Goucher_11-13-2021
00,"McInnis,Phylicia",*,14,2-5,1-3,0-0,1-1,2,0,1,1,0,0,5,Chris. Newport,Chris. Newport_Goucher_11-13-2021
03,"San Diego,Gabbi",*,13,1-3,0-1,0-0,0-0,0,3,2,0,0,2,2,Chris. Newport,Chris. Newport_Goucher_11-13-2021
30,"Rader,Katy",,28,7-10,3-5,0-0,3-0,3,1,1,2,1,2,17,Chris. Newport,Chris. Newport_Goucher_11-13-2021
21,"Orloff,Hannah",,17,7-8,0-0,3-4,3-5,8,4,0,3,5,4,17,Chris. Newport,Chris. Newport_Goucher_11-13-2021
22,"Winkey,Jovia",,13,5-6,1-1,5-6,0-0,0,2,3,0,0,2,16,Chris. Newport,Chris. Newport_Goucher_11-13-2021
24,"Giles,Alivia",,18,5-9,0-0,0-0,3-5,8,0,1,1,0,2,10,Chris. Newport,Chris. Newport_Goucher_11-13-2021
04,"White,Lexi",,20,1-2,0-1,7-8,0-3,3,1,2,1,0,1,9,Chris. Newport,Chris. Newport_Goucher_11-13-2021
23,"Kaloi,Hannah",,23,3-9,1-3,1-2,3-2,5,4,0,1,1,0,8,Chris. Newport,Chris. Newport_Goucher_11-13-2021
01,"Foster,Jessica",,19,1-3,1-3,0-0,0-0,0,0,3,0,0,1,3,Chris. Newport,Chris. Newport_Goucher_11-13-2021
04,"Williams,Anise",*,25,4-14,2-5,1-4,1-5,6,3,3,6,0,2,11,Goucher,Chris. Newport_Goucher_11-13-2021
21,"McFadden,Alayna",*,31,3-12,0-2,0-0,1-4,5,2,2,7,1,0,6,Goucher,Chris. Newport_Goucher_11-13-2021
23,"Quarles,Kyani",*,14,2-5,0-0,2-3,2-0,2,4,0,1,0,0,6,Goucher,Chris. Newport_Goucher_11-13-2021
32,"Flynn,Claire",*,14,1-2,0-1,0-0,0-1,1,2,0,3,0,0,2,Goucher,Chris. Newport_Goucher_11-13-2021
34,"Cavoli,Julia",*,32,0-3,0-0,0-0,1-1,2,3,0,5,0,1,0,Goucher,Chris. Newport_Goucher_11-13-2021
15,"Kees,Ta'Niya",,10,1-1,0-0,7-8,1-1,2,1,0,1,0,0,9,Goucher,Chris. Newport_Goucher_11-13-2021
10,"Carini,Belle",,22,3-6,0-0,0-0,1-1,2,0,1,3,0,0,6,Goucher,Chris. Newport_Goucher_11-13-2021
22,"Nwuli,Sydney",,18,1-2,0-0,0-2,1-1,2,3,0,0,0,0,2,Goucher,Chris. Newport_Goucher_11-13-2021
12,"Haggins,Briyah",,15,0-1,0-0,0-0,0-0,0,1,0,5,0,0,0,Goucher,Chris. Newport_Goucher_11-13-2021
05,"Gonzales,Serrena",,8,0-1,0-0,0-0,0-0,0,1,0,2,0,0,0,Goucher,Chris. Newport_Goucher_11-13-2021
30,"Cox,Ava",,8,0-2,0-0,0-0,0-0,0,2,0,0,0,0,0,Goucher,Chris. Newport_Goucher_11-13-2021
25,"Bailey,Lydia",,3,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0,Goucher,Chris. Newport_Goucher_11-13-2021
