##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Orloff,Hannah",*,14,5-6,0-0,1-1,0-1,1,1,0,2,2,2,11,Chris. Newport,Chris. Newport_Moravian_12-30-2024
05,"Malagar,Camille",*,11,5-9,0-4,0-0,0-1,1,0,5,2,0,0,10,Chris. Newport,Chris. Newport_Moravian_12-30-2024
34,"Creed,Elizabeth",*,14,3-8,1-2,0-0,2-2,4,1,1,1,0,0,7,Chris. Newport,Chris. Newport_Moravian_12-30-2024
02,"Kellogg,Hailey",*,17,0-1,0-0,2-2,0-1,1,1,3,1,0,4,2,Chris. Newport,Chris. Newport_Moravian_12-30-2024
25,"Lindsey,Alexia",*,10,1-3,0-2,0-0,2-1,3,1,1,1,0,5,2,Chris. Newport,Chris. Newport_Moravian_12-30-2024
42,"Pritz,Sarah",,16,6-7,2-3,2-2,4-1,5,3,1,5,1,0,16,Chris. Newport,Chris. Newport_Moravian_12-30-2024
01,"Wilson,Mia",,18,4-7,2-3,0-0,1-2,3,0,1,1,0,0,10,Chris. Newport,Chris. Newport_Moravian_12-30-2024
24,"O'Connor,Emma",,14,3-8,0-0,2-2,0-3,3,0,4,1,0,4,8,Chris. Newport,Chris. Newport_Moravian_12-30-2024
15,"McKenzie,Madison",,14,2-3,0-1,1-2,1-2,3,3,1,1,1,2,5,Chris. Newport,Chris. Newport_Moravian_12-30-2024
20,"Dakos,Katerina",,14,2-4,0-1,1-5,0-0,0,1,1,4,1,1,5,Chris. Newport,Chris. Newport_Moravian_12-30-2024
33,"Crump,Caitlin",,12,1-3,1-2,2-2,1-0,1,3,2,1,0,4,5,Chris. Newport,Chris. Newport_Moravian_12-30-2024
00,"Snively,McKenna",,9,2-3,1-2,0-2,0-1,1,0,0,2,0,0,5,Chris. Newport,Chris. Newport_Moravian_12-30-2024
32,"Elliott,Aliyah",,15,0-1,0-0,1-4,0-2,2,2,1,3,0,1,1,Chris. Newport,Chris. Newport_Moravian_12-30-2024
04,"Sherman,Sydney",,11,0-3,0-0,1-2,2-2,4,1,0,0,0,0,1,Chris. Newport,Chris. Newport_Moravian_12-30-2024
50,"Dornak,Jessica",,11,0-3,0-0,0-0,2-2,4,2,0,2,0,0,0,Chris. Newport,Chris. Newport_Moravian_12-30-2024
24,"Lustig,Lizzie",*,32,6-11,1-2,5-6,3-1,4,0,1,2,0,0,18,Moravian,Chris. Newport_Moravian_12-30-2024
22,"Vassallo,Juliana",*,29,5-14,3-7,0-1,1-6,7,2,2,4,0,1,13,Moravian,Chris. Newport_Moravian_12-30-2024
10,"Guarente,Brielle",*,20,4-10,0-2,0-0,1-1,2,3,3,6,0,2,8,Moravian,Chris. Newport_Moravian_12-30-2024
01,"Osorio,Sam",*,24,2-7,0-0,3-4,3-1,4,3,0,6,0,4,7,Moravian,Chris. Newport_Moravian_12-30-2024
12,"Anderson,Mikayla",*,20,1-3,0-1,0-0,2-4,6,2,0,2,0,0,2,Moravian,Chris. Newport_Moravian_12-30-2024
04,"Cartagena,Jayda",,12,2-4,0-0,0-0,0-1,1,4,1,6,0,2,4,Moravian,Chris. Newport_Moravian_12-30-2024
25,"Lew,Bellisima",,6,1-2,0-0,2-2,1-1,2,2,0,0,0,0,4,Moravian,Chris. Newport_Moravian_12-30-2024
11,"Squizziato,Sofia",,15,1-2,0-0,0-0,0-1,1,3,3,5,0,0,2,Moravian,Chris. Newport_Moravian_12-30-2024
00,"Altmire,Emma",,10,1-3,0-1,0-0,0-0,0,1,0,2,0,0,2,Moravian,Chris. Newport_Moravian_12-30-2024
23,"Cabana,Kylie",,7,1-3,0-0,0-0,1-0,1,1,0,2,0,1,2,Moravian,Chris. Newport_Moravian_12-30-2024
14,"Pukszyn,Emma",,3,0-0,0-0,1-2,1-0,1,0,1,0,0,0,1,Moravian,Chris. Newport_Moravian_12-30-2024
20,"Herbert,Lanie",,12,0-2,0-0,0-0,1-3,4,0,1,1,0,0,0,Moravian,Chris. Newport_Moravian_12-30-2024
03,"Sena,Allie",,4,0-0,0-0,0-0,0-0,0,0,1,2,0,0,0,Moravian,Chris. Newport_Moravian_12-30-2024
05,"Wallbillich,Ellie",,3,0-0,0-0,0-0,0-0,0,0,1,3,0,0,0,Moravian,Chris. Newport_Moravian_12-30-2024
42,"Ohlhoff,Brynn",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Chris. Newport_Moravian_12-30-2024
