##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
34,"Singleton,Elizabeth",*,40,8-17,0-1,7-11,1-3,4,2,4,7,0,2,23,Clarks Summit,Clarks Summit_Scranton_1-10-2022
13,"McLeod,Michaela",*,36,5-13,3-6,2-3,1-1,2,1,2,0,0,0,15,Clarks Summit,Clarks Summit_Scranton_1-10-2022
32,"Traxler,Randie",*,37,4-10,2-6,0-0,0-8,8,3,1,0,0,0,10,Clarks Summit,Clarks Summit_Scranton_1-10-2022
14,"Laman,Torri",*,37,2-7,0-1,1-2,1-1,2,3,1,3,0,3,5,Clarks Summit,Clarks Summit_Scranton_1-10-2022
23,"Aten,Alison",*,40,1-9,1-8,0-0,1-4,5,3,0,2,0,1,3,Clarks Summit,Clarks Summit_Scranton_1-10-2022
04,"McKee,Katie",,5,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Clarks Summit,Clarks Summit_Scranton_1-10-2022
31,"Morgan,Querida",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Clarks Summit,Clarks Summit_Scranton_1-10-2022
25,"Winkel,Caraline",,2,0-1,0-1,0-0,1-0,1,0,0,0,0,0,0,Clarks Summit,Clarks Summit_Scranton_1-10-2022
01,"Anderson,Abby",*,24,5-10,1-3,5-7,4-4,8,3,2,2,0,2,16,Scranton,Clarks Summit_Scranton_1-10-2022
13,"Hartnett,Maddie",*,30,5-11,3-6,0-0,0-2,2,3,5,2,0,3,13,Scranton,Clarks Summit_Scranton_1-10-2022
32,"Walsh,Sara",*,25,4-6,1-3,2-2,2-4,6,1,0,2,1,1,11,Scranton,Clarks Summit_Scranton_1-10-2022
00,"Angelini,Hannah",*,30,4-13,0-4,1-2,2-5,7,3,9,2,0,0,9,Scranton,Clarks Summit_Scranton_1-10-2022
21,"Ryan,Maddy",*,18,0-1,0-0,0-0,5-2,7,1,1,3,0,0,0,Scranton,Clarks Summit_Scranton_1-10-2022
20,"Shurina,Emily",,22,3-11,1-6,0-0,3-9,12,3,0,1,1,0,7,Scranton,Clarks Summit_Scranton_1-10-2022
02,"Bender,Ashlyn",,10,2-6,2-5,0-0,1-2,3,1,0,2,1,0,6,Scranton,Clarks Summit_Scranton_1-10-2022
23,"Larrabee,Jenna",,11,0-2,0-0,4-4,1-0,1,1,0,1,0,0,4,Scranton,Clarks Summit_Scranton_1-10-2022
05,"Heineman,Carly",,11,1-2,1-2,0-0,1-1,2,1,1,0,0,0,3,Scranton,Clarks Summit_Scranton_1-10-2022
03,"Brewer,Morgan",,12,0-3,0-3,0-0,0-2,2,0,0,2,0,0,0,Scranton,Clarks Summit_Scranton_1-10-2022
30,"Steele,Mackenzie",,7,0-1,0-0,0-0,2-1,3,0,0,0,0,0,0,Scranton,Clarks Summit_Scranton_1-10-2022
