##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,"Lusk,Joleen",*,21,5-14,0-3,2-2,0-3,3,0,1,3,2,1,12,Cortland,Cortland_Scranton_11-11-2024
13,"Funk,Jackie",*,25,3-6,1-3,2-2,0-1,1,2,1,3,2,0,9,Cortland,Cortland_Scranton_11-11-2024
22,"Campbell,Kayla",*,24,3-9,0-1,0-0,0-2,2,2,0,5,1,3,6,Cortland,Cortland_Scranton_11-11-2024
01,"Huss,Mariah",*,15,1-2,1-1,1-1,1-2,3,1,2,2,0,1,4,Cortland,Cortland_Scranton_11-11-2024
10,"Tillotson,Brooke",*,24,1-9,0-1,0-0,1-1,2,1,1,2,1,0,2,Cortland,Cortland_Scranton_11-11-2024
20,"McAnally,Kaeli",,24,3-7,0-1,0-0,1-3,4,1,0,2,1,1,6,Cortland,Cortland_Scranton_11-11-2024
21,"Zingoni,Bella",,19,1-2,1-2,0-0,0-1,1,3,1,0,0,0,3,Cortland,Cortland_Scranton_11-11-2024
14,"Potenza,Haley",,6,1-2,0-1,0-0,0-0,0,0,1,0,0,0,2,Cortland,Cortland_Scranton_11-11-2024
15,"Santiago,Ashley",,6,0-1,0-1,2-2,0-0,0,1,0,2,0,1,2,Cortland,Cortland_Scranton_11-11-2024
12,"Dembinsky,Alex",,4,0-0,0-0,2-2,0-1,1,1,0,0,0,0,2,Cortland,Cortland_Scranton_11-11-2024
32,"Bissaillon,Sophie",,19,0-3,0-2,0-0,1-6,7,3,2,2,0,1,0,Cortland,Cortland_Scranton_11-11-2024
11,"Woodis,Lily",,12,0-1,0-1,0-0,0-1,1,0,0,1,0,1,0,Cortland,Cortland_Scranton_11-11-2024
03,"Boyd,Katie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Cortland,Cortland_Scranton_11-11-2024
11,"Kranson,Kaci",*,29,7-19,2-7,5-7,1-7,8,2,0,2,0,0,21,Scranton,Cortland_Scranton_11-11-2024
20,"Lamanna,Meghan",*,25,4-10,1-5,1-2,0-7,7,2,3,1,0,3,10,Scranton,Cortland_Scranton_11-11-2024
33,"Quigley,Kyra",*,17,3-5,0-0,2-2,0-2,2,1,2,1,1,0,8,Scranton,Cortland_Scranton_11-11-2024
01,"Romanowski,Kaeli",*,23,2-9,0-2,0-0,2-5,7,0,5,4,0,2,4,Scranton,Cortland_Scranton_11-11-2024
13,"Hartnett,Maddie",*,30,1-3,1-2,0-0,2-5,7,3,3,3,1,2,3,Scranton,Cortland_Scranton_11-11-2024
05,"Gorski,Katie",,22,4-6,2-2,1-1,0-2,2,2,1,3,2,2,11,Scranton,Cortland_Scranton_11-11-2024
15,"Bennett,Elizabeth",,22,3-7,0-2,1-2,3-1,4,0,0,1,0,1,7,Scranton,Cortland_Scranton_11-11-2024
14,"Stoupakis,Natalie",,10,2-5,1-3,0-0,1-1,2,0,1,1,0,0,5,Scranton,Cortland_Scranton_11-11-2024
00,"Cieszko,Selena",,10,0-1,0-0,0-0,0-1,1,1,1,0,0,1,0,Scranton,Cortland_Scranton_11-11-2024
10,"Lynch,Allie",,7,0-2,0-1,0-0,1-0,1,2,1,1,0,3,0,Scranton,Cortland_Scranton_11-11-2024
02,"Bender,Ashlyn",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Cortland_Scranton_11-11-2024
03,"Brewer,Morgan",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Cortland_Scranton_11-11-2024
23,"Montgomery,Elyse",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Cortland_Scranton_11-11-2024
24,"Francione,Marisa",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Cortland_Scranton_11-11-2024
30,"Kraker,Sabrina",,1,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0,Scranton,Cortland_Scranton_11-11-2024
