##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,Joey Meyers,*,27,7-10,1-4,5-7,1-7,8,3,2,3,0,5,20,DREW,DREW_Juniata Women's Basketball_2-21-2021
20,Erin Frederick,*,26,5-8,0-0,4-6,0-2,2,3,3,0,2,2,14,DREW,DREW_Juniata Women's Basketball_2-21-2021
33,Sekya Campbell,*,18,4-5,0-0,4-4,1-3,4,5,0,2,0,2,12,DREW,DREW_Juniata Women's Basketball_2-21-2021
13,Kyra Mann,*,26,4-7,0-1,0-0,1-1,2,2,1,3,2,0,8,DREW,DREW_Juniata Women's Basketball_2-21-2021
12,Julia Ramos,*,24,1-5,0-2,3-4,0-2,2,2,6,2,0,3,5,DREW,DREW_Juniata Women's Basketball_2-21-2021
04,Katrina Wojtowicz,,19,4-8,2-5,0-0,0-4,4,2,0,3,2,1,10,DREW,DREW_Juniata Women's Basketball_2-21-2021
05,Micela Genua,,10,1-3,0-1,3-4,1-2,3,0,0,2,0,0,5,DREW,DREW_Juniata Women's Basketball_2-21-2021
02,Gwen Alberici,,10,0-3,0-0,4-6,0-0,0,2,1,0,0,1,4,DREW,DREW_Juniata Women's Basketball_2-21-2021
44,Kaitlin McGrotty,,11,1-1,0-0,0-0,1-1,2,2,0,1,0,1,2,DREW,DREW_Juniata Women's Basketball_2-21-2021
22,Brooke Timinski,,13,0-3,0-3,0-0,0-1,1,1,1,0,0,0,0,DREW,DREW_Juniata Women's Basketball_2-21-2021
25,Jamie Struble,,9,0-2,0-0,0-0,0-4,4,0,1,0,0,0,0,DREW,DREW_Juniata Women's Basketball_2-21-2021
50,Sam Antin,,4,0-1,0-0,0-0,1-1,2,1,0,1,1,0,0,DREW,DREW_Juniata Women's Basketball_2-21-2021
03,Caitlin O'Connor,,3,0-1,0-1,0-0,1-1,2,0,0,0,0,1,0,DREW,DREW_Juniata Women's Basketball_2-21-2021
33,Gracie Stauffer,*,29,6-13,0-0,3-4,5-3,8,4,0,0,1,2,15,Juniata Women's Basketball,DREW_Juniata Women's Basketball_2-21-2021
22,Madison Colyer,*,35,6-19,0-0,2-2,6-6,12,3,1,6,0,3,14,Juniata Women's Basketball,DREW_Juniata Women's Basketball_2-21-2021
30,Averie Hess,*,32,4-12,0-1,2-2,2-2,4,4,2,8,0,0,10,Juniata Women's Basketball,DREW_Juniata Women's Basketball_2-21-2021
23,Cassie Mock,*,33,3-8,1-3,2-6,2-4,6,4,10,3,1,1,9,Juniata Women's Basketball,DREW_Juniata Women's Basketball_2-21-2021
11,Grace Long,*,31,3-6,1-3,1-2,1-5,6,2,2,0,0,0,8,Juniata Women's Basketball,DREW_Juniata Women's Basketball_2-21-2021
21,Jamie Mahigel,,11,1-6,1-3,0-0,1-1,2,0,0,0,0,0,3,Juniata Women's Basketball,DREW_Juniata Women's Basketball_2-21-2021
03,Kynnedy Miller,,20,0-6,0-2,0-2,1-0,1,0,1,2,0,1,0,Juniata Women's Basketball,DREW_Juniata Women's Basketball_2-21-2021
42,Taylor Vrabel,,9,0-1,0-0,0-0,0-2,2,2,0,4,0,2,0,Juniata Women's Basketball,DREW_Juniata Women's Basketball_2-21-2021
