##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Reese,Mikaela",*,38,10-15,0-0,6-8,2-2,4,2,1,3,3,6,26,DeSales,DeSales_Moravian_11-21-2023
22,"Bealer,Megan",*,33,5-9,2-5,5-8,2-3,5,3,3,4,0,4,17,DeSales,DeSales_Moravian_11-21-2023
24,"Welsh,Lindsey",*,29,2-10,1-8,2-2,1-3,4,3,6,3,3,2,7,DeSales,DeSales_Moravian_11-21-2023
33,"Donmoyer,Mikaili",*,19,1-3,0-2,5-6,1-1,2,3,0,2,0,1,7,DeSales,DeSales_Moravian_11-21-2023
12,"Scotti,Olivia",*,33,2-5,1-2,0-0,3-8,11,1,1,4,0,0,5,DeSales,DeSales_Moravian_11-21-2023
14,"Saunders,Amelia",,16,3-9,2-5,0-0,1-1,2,0,1,1,0,2,8,DeSales,DeSales_Moravian_11-21-2023
23,"Lang,Lillirose",,12,1-1,0-0,0-0,0-0,0,2,1,1,0,1,2,DeSales,DeSales_Moravian_11-21-2023
31,"Finnan,Katie",,9,0-2,0-1,0-0,0-1,1,0,0,2,0,0,0,DeSales,DeSales_Moravian_11-21-2023
40,"Hiller,Cadence",,7,0-0,0-0,0-0,0-0,0,2,1,0,0,0,0,DeSales,DeSales_Moravian_11-21-2023
20,"Sterner,Morgan",,2,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,DeSales,DeSales_Moravian_11-21-2023
25,"White,Sammi",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,DeSales,DeSales_Moravian_11-21-2023
01,"Osorio,Sam",*,28,7-17,0-0,2-4,2-5,7,2,2,6,1,1,16,Moravian,DeSales_Moravian_11-21-2023
21,"Steffen,Grace",*,23,2-5,0-0,5-5,7-1,8,3,0,3,0,2,9,Moravian,DeSales_Moravian_11-21-2023
10,"Guarente,Brielle",*,28,3-9,0-1,0-0,3-2,5,2,2,4,1,3,6,Moravian,DeSales_Moravian_11-21-2023
24,"Lustig,Lizzie",*,21,2-7,0-0,0-0,1-0,1,2,1,1,0,2,4,Moravian,DeSales_Moravian_11-21-2023
14,"Flannery,Reganne",*,17,0-0,0-0,0-0,0-2,2,2,4,1,0,1,0,Moravian,DeSales_Moravian_11-21-2023
04,"Cartagena,Jayda",,17,2-7,0-1,3-3,1-3,4,0,2,3,0,2,7,Moravian,DeSales_Moravian_11-21-2023
22,"Vassallo,Juliana",,23,2-9,2-4,0-0,2-3,5,2,0,2,0,2,6,Moravian,DeSales_Moravian_11-21-2023
20,"Herbert,Lanie",,15,1-3,0-0,2-2,0-3,3,1,0,1,0,0,4,Moravian,DeSales_Moravian_11-21-2023
12,"Anderson,Mikayla",,19,1-2,0-0,0-0,1-1,2,3,2,3,3,2,2,Moravian,DeSales_Moravian_11-21-2023
00,"Altmire,Emma",,7,0-3,0-2,0-0,0-0,0,2,1,1,0,0,0,Moravian,DeSales_Moravian_11-21-2023
11,"Fernandez,Yarian",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,DeSales_Moravian_11-21-2023
