##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Reese, Mikaela",*,38+,8-15,1-2,3-4,4-2,6,5,3,2,0,3,20,DeSales,DeSales_Scranton_11-14-2021
3,"Jordan, Averi",*,36+,8-20,2-5,1-1,0-4,4,2,1,2,0,2,19,DeSales,DeSales_Scranton_11-14-2021
33,"Rittenhouse, Rylie",*,21+,2-6,2-5,4-4,0-0,0,3,3,0,0,0,10,DeSales,DeSales_Scranton_11-14-2021
22,"Bealer, Megan",*,23+,2-4,1-1,1-2,0-5,5,3,4,1,2,0,6,DeSales,DeSales_Scranton_11-14-2021
23,"Newsome, Maria",*,26+,1-2,1-1,1-2,0-1,1,2,3,0,0,0,4,DeSales,DeSales_Scranton_11-14-2021
14,"Saunders, Amelia",,20+,2-6,1-3,0-0,0-4,4,0,0,1,0,1,5,DeSales,DeSales_Scranton_11-14-2021
24,"Welsh, Lindsey",,20+,0-3,0-0,4-4,0-2,2,2,2,0,1,1,4,DeSales,DeSales_Scranton_11-14-2021
31,"Kelleher, Grace",,14+,0-2,0-0,0-0,0-0,0,1,1,1,0,0,0,DeSales,DeSales_Scranton_11-14-2021
32,"Early, Kate",,2+,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,DeSales,DeSales_Scranton_11-14-2021
35,"Coltenback, Bianca",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,DeSales,DeSales_Scranton_11-14-2021
24,"Monaghan, Bridget",*,37+,9-21,8-12,4-5,0-4,4,1,2,2,0,3,30,Scranton,DeSales_Scranton_11-14-2021
1,"Anderson, Abby",*,37+,7-18,1-7,6-7,1-4,5,3,5,4,3,0,21,Scranton,DeSales_Scranton_11-14-2021
20,"Shurina, Emily",*,35+,3-10,2-5,1-2,3-7,10,1,0,2,0,0,9,Scranton,DeSales_Scranton_11-14-2021
0,"Angelini, Hannah",*,33+,3-5,1-2,0-0,3-3,6,0,2,4,0,0,7,Scranton,DeSales_Scranton_11-14-2021
40,"McCurdy, Danielle",*,21+,0-0,0-0,0-0,2-3,5,2,4,1,4,0,0,Scranton,DeSales_Scranton_11-14-2021
33,"Quigley, Kyra",,22+,2-4,0-0,0-0,3-5,8,4,2,0,3,1,4,Scranton,DeSales_Scranton_11-14-2021
13,"Hartnett, Maddie",,10+,1-2,1-2,0-0,0-0,0,1,0,2,0,0,3,Scranton,DeSales_Scranton_11-14-2021
10,"Lynch, Allie",,5+,0-2,0-2,0-0,0-0,0,1,2,0,0,0,0,Scranton,DeSales_Scranton_11-14-2021
