##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,"Sterner,Morgan",*,33,5-17,3-7,0-0,1-1,2,0,2,0,0,6,13,DeSales,DeSales_Scranton_12-17-2024
33,"Donmoyer,Mikaili",*,32,4-15,0-7,2-3,0-0,0,4,0,4,0,1,10,DeSales,DeSales_Scranton_12-17-2024
10,"LaVerghetta,Marissa",*,36,1-5,0-0,1-2,0-3,3,1,3,0,0,3,3,DeSales,DeSales_Scranton_12-17-2024
25,"White,Sammi",*,27,1-4,0-1,0-0,1-4,5,2,1,0,2,0,2,DeSales,DeSales_Scranton_12-17-2024
03,"Berger,Alexis",*,14,0-1,0-1,0-0,0-1,1,2,0,4,0,0,0,DeSales,DeSales_Scranton_12-17-2024
13,"Bednarek,Lindsay",,23,2-7,0-0,0-2,1-3,4,0,0,3,0,0,4,DeSales,DeSales_Scranton_12-17-2024
23,"Lang,Lillirose",,11,1-4,0-2,1-2,0-1,1,0,1,0,1,1,3,DeSales,DeSales_Scranton_12-17-2024
24,"Ishigami,Kayla",,8,0-0,0-0,2-2,0-2,2,1,0,0,0,0,2,DeSales,DeSales_Scranton_12-17-2024
32,"Stock,Mia",,9,0-0,0-0,0-0,0-2,2,1,0,1,0,0,0,DeSales,DeSales_Scranton_12-17-2024
14,"Pollard,Aubrey",,4,0-1,0-0,0-2,1-0,1,0,0,2,0,0,0,DeSales,DeSales_Scranton_12-17-2024
05,"Pyne,Emma",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,DeSales,DeSales_Scranton_12-17-2024
01,"Romanowski,Kaeli",*,31,7-9,2-4,0-0,1-4,5,3,3,2,1,2,16,Scranton,DeSales_Scranton_12-17-2024
11,"Kranson,Kaci",*,29,5-11,2-2,4-4,1-1,2,1,1,3,0,0,16,Scranton,DeSales_Scranton_12-17-2024
13,"Hartnett,Maddie",*,23,3-7,2-5,0-0,1-5,6,2,4,3,2,0,8,Scranton,DeSales_Scranton_12-17-2024
20,"Lamanna,Meghan",*,31,2-9,2-7,0-0,1-1,2,0,1,1,2,0,6,Scranton,DeSales_Scranton_12-17-2024
33,"Quigley,Kyra",*,27,2-4,0-0,2-2,2-10,12,0,4,6,2,4,6,Scranton,DeSales_Scranton_12-17-2024
15,"Bennett,Elizabeth",,12,2-5,1-1,0-0,0-0,0,0,1,2,0,0,5,Scranton,DeSales_Scranton_12-17-2024
12,"Sloan,Jenna",,14,1-2,0-0,0-0,0-6,6,3,3,2,0,2,2,Scranton,DeSales_Scranton_12-17-2024
05,"Gorski,Katie",,14,0-2,0-1,0-0,1-3,4,2,1,0,1,0,0,Scranton,DeSales_Scranton_12-17-2024
14,"Stoupakis,Natalie",,8,0-1,0-1,0-0,1-0,1,0,0,0,0,0,0,Scranton,DeSales_Scranton_12-17-2024
00,"Cieszko,Selena",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,DeSales_Scranton_12-17-2024
02,"Bender,Ashlyn",,2,0-0,0-0,0-0,0-2,2,0,0,1,0,0,0,Scranton,DeSales_Scranton_12-17-2024
03,"Brewer,Morgan",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,DeSales_Scranton_12-17-2024
23,"Montgomery,Elyse",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,DeSales_Scranton_12-17-2024
24,"Francione,Marisa",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,DeSales_Scranton_12-17-2024
10,"Lynch,Allie",,1,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Scranton,DeSales_Scranton_12-17-2024
