##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Welsh,Lindsey",*,36,5-11,1-1,3-6,1-4,5,3,2,6,1,9,14,DeSales,DeSales_Susquehanna_11-19-2023
22,"Bealer,Megan",*,28,6-11,2-5,0-2,0-2,2,3,1,2,0,6,14,DeSales,DeSales_Susquehanna_11-19-2023
21,"Reese,Mikaela",*,31,6-13,0-1,1-1,2-5,7,4,3,2,7,3,13,DeSales,DeSales_Susquehanna_11-19-2023
12,"Scotti,Olivia",*,40,3-10,0-2,0-2,1-6,7,2,2,3,2,1,6,DeSales,DeSales_Susquehanna_11-19-2023
33,"Donmoyer,Mikaili",*,26,2-4,1-2,1-2,0-2,2,2,2,2,0,1,6,DeSales,DeSales_Susquehanna_11-19-2023
31,"Finnan,Katie",,10,1-3,0-0,0-0,0-0,0,2,2,1,0,0,2,DeSales,DeSales_Susquehanna_11-19-2023
23,"Lang,Lillirose",,5,1-2,0-0,0-0,0-1,1,0,0,0,0,0,2,DeSales,DeSales_Susquehanna_11-19-2023
25,"White,Sammi",,9,0-2,0-0,1-2,0-0,0,2,0,1,0,0,1,DeSales,DeSales_Susquehanna_11-19-2023
20,"Sterner,Morgan",,11,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0,DeSales,DeSales_Susquehanna_11-19-2023
14,"Saunders,Amelia",,4,0-3,0-2,0-0,1-1,2,4,0,0,0,0,0,DeSales,DeSales_Susquehanna_11-19-2023
00,"Pinckert,Julia",*,36,5-7,2-2,3-4,0-9,9,1,1,4,0,2,15,Susquehanna,DeSales_Susquehanna_11-19-2023
30,"Lynch,Kaitlyn",*,28,0-5,0-2,5-6,1-7,8,1,2,5,1,0,5,Susquehanna,DeSales_Susquehanna_11-19-2023
24,"Maffei,Zoie",*,23,2-4,0-0,1-2,0-2,2,3,1,5,0,0,5,Susquehanna,DeSales_Susquehanna_11-19-2023
05,"Klein,Lauren",*,15,1-4,0-1,0-0,0-0,0,2,0,4,0,0,2,Susquehanna,DeSales_Susquehanna_11-19-2023
21,"Roth,Julia",*,16,0-6,0-0,1-2,2-1,3,4,1,5,0,1,1,Susquehanna,DeSales_Susquehanna_11-19-2023
03,"Selvaggi,Kenzie",,33,2-8,1-3,3-5,0-3,3,3,0,3,0,2,8,Susquehanna,DeSales_Susquehanna_11-19-2023
15,"Greek,Annie",,13,1-4,0-2,3-4,0-1,1,3,0,2,0,1,5,Susquehanna,DeSales_Susquehanna_11-19-2023
12,"George,Carly",,20,0-0,0-0,0-2,2-3,5,2,0,3,2,2,0,Susquehanna,DeSales_Susquehanna_11-19-2023
20,"Staver,Elke",,10,0-3,0-1,0-0,0-1,1,0,0,2,0,0,0,Susquehanna,DeSales_Susquehanna_11-19-2023
01,"Weyant,Sydney",,6,0-0,0-0,0-0,0-1,1,1,1,0,0,0,0,Susquehanna,DeSales_Susquehanna_11-19-2023
