##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Maisie Neuber,*,38,8-10,0-0,2-2,1-4,5,0,2,4,2,1,18,Delaware Valley,Delaware Valley_Elizabethtown_12-17-2022
44,Taylor Richardson,*,31,6-9,0-0,3-3,2-3,5,4,3,0,0,1,15,Delaware Valley,Delaware Valley_Elizabethtown_12-17-2022
12,Haley Keenan,*,32,3-7,1-2,2-4,0-0,0,1,2,1,1,0,9,Delaware Valley,Delaware Valley_Elizabethtown_12-17-2022
05,Sophie Chevres,*,28,1-6,0-1,0-0,0-1,1,4,2,10,0,4,2,Delaware Valley,Delaware Valley_Elizabethtown_12-17-2022
25,Jenna Schiessl,*,22,0-3,0-2,1-2,1-0,1,1,1,1,0,2,1,Delaware Valley,Delaware Valley_Elizabethtown_12-17-2022
34,Alexis Wright,,18,6-11,0-1,2-2,2-2,4,4,0,1,0,0,14,Delaware Valley,Delaware Valley_Elizabethtown_12-17-2022
14,Ciana Feliciano,,11,0-0,0-0,0-0,0-2,2,2,2,3,0,0,0,Delaware Valley,Delaware Valley_Elizabethtown_12-17-2022
13,Aubrey Ennis,,10,0-3,0-1,0-0,0-0,0,0,2,1,0,1,0,Delaware Valley,Delaware Valley_Elizabethtown_12-17-2022
20,Tori Bockrath,,10,0-3,0-2,0-0,0-0,0,0,1,1,1,0,0,Delaware Valley,Delaware Valley_Elizabethtown_12-17-2022
25,Summer McNulty,*,18,6-7,2-3,1-1,0-1,1,1,1,4,0,0,15,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
34,DaniRae Renno,*,16,7-12,0-0,0-0,3-2,5,1,0,0,1,0,14,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
04,Cyleigh Wilson,*,16,2-4,2-4,0-0,1-3,4,1,6,1,0,2,6,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
30,Jessica King,*,16,2-4,0-0,1-2,1-2,3,0,1,0,0,0,5,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
03,Lindsay Boyd,*,12,2-5,0-2,0-0,1-2,3,1,2,2,0,1,4,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
33,Clare Marchese,,24,4-9,1-4,0-0,0-0,0,0,3,3,0,1,9,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
24,Ellie Fasick,,18,4-11,0-0,1-1,5-3,8,2,0,0,0,0,9,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
02,Makenna Mummert,,18,4-9,0-0,0-0,1-1,2,3,2,2,0,1,8,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
31,Allyia Kennedy,,15,3-4,0-0,0-0,1-3,4,0,2,0,0,0,6,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
14,Kaeli Romanowski,,15,1-2,0-0,2-2,0-1,1,2,3,1,0,5,4,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
35,Cass Peris,,15,1-3,0-0,0-0,3-1,4,3,0,0,0,0,2,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
12,Georgia Panopoulos,,9,1-1,0-0,0-0,1-2,3,0,0,1,0,1,2,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
05,Megan Desmet,,8,0-4,0-1,0-0,2-2,4,2,0,1,0,0,0,Elizabethtown,Delaware Valley_Elizabethtown_12-17-2022
