##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,Clair Marion,*,30,5-14,4-8,2-2,0-0,0,4,1,3,0,3,16,Dickinson,Dickinson_Elizabethtown_11-11-2023
05,Lindsey Hollenshead,*,31,4-7,1-2,2-4,2-4,6,5,1,2,0,1,11,Dickinson,Dickinson_Elizabethtown_11-11-2023
40,Mia Chapman,*,34,4-7,0-0,0-2,3-5,8,3,0,3,1,0,8,Dickinson,Dickinson_Elizabethtown_11-11-2023
21,Jenna Weinstein,*,24,2-7,0-1,2-2,1-2,3,2,0,0,3,1,6,Dickinson,Dickinson_Elizabethtown_11-11-2023
04,Caitlin Blackman,*,33,2-11,0-1,1-2,2-4,6,4,5,4,0,0,5,Dickinson,Dickinson_Elizabethtown_11-11-2023
11,Victoria Zerbe,,29,4-11,0-0,0-0,2-4,6,1,2,1,0,3,8,Dickinson,Dickinson_Elizabethtown_11-11-2023
34,Indatou Ali-Goukoye,,10,1-2,0-0,0-0,0-0,0,1,1,1,0,0,2,Dickinson,Dickinson_Elizabethtown_11-11-2023
43,Abby John,,4,0-1,0-0,0-0,1-0,1,1,0,0,0,0,0,Dickinson,Dickinson_Elizabethtown_11-11-2023
03,Clare Cronley,,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Dickinson,Dickinson_Elizabethtown_11-11-2023
24,Molly Heron,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Dickinson,Dickinson_Elizabethtown_11-11-2023
25,Summer McNulty,*,37,6-16,0-2,6-6,1-1,2,0,5,6,0,2,18,Elizabethtown,Dickinson_Elizabethtown_11-11-2023
02,Makenna Mummert,*,36,5-10,0-2,4-4,0-2,2,3,2,2,0,2,14,Elizabethtown,Dickinson_Elizabethtown_11-11-2023
04,Cyleigh Wilson,*,34,5-10,2-4,2-2,0-5,5,3,2,3,0,0,14,Elizabethtown,Dickinson_Elizabethtown_11-11-2023
34,DaniRae Renno,*,38,2-7,0-0,4-4,1-9,10,1,0,5,0,2,8,Elizabethtown,Dickinson_Elizabethtown_11-11-2023
30,Jessica King,*,30,1-3,0-0,3-3,3-5,8,3,2,2,0,2,5,Elizabethtown,Dickinson_Elizabethtown_11-11-2023
05,Ella Gordon,,11,1-1,1-1,0-0,0-0,0,2,0,1,0,0,3,Elizabethtown,Dickinson_Elizabethtown_11-11-2023
31,Allyia Kennedy,,13,0-0,0-0,1-4,0-4,4,2,0,1,0,1,1,Elizabethtown,Dickinson_Elizabethtown_11-11-2023
24,Ellie Fasick,,1,0-1,0-0,1-2,1-0,1,1,0,0,0,0,1,Elizabethtown,Dickinson_Elizabethtown_11-11-2023
