##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,Jennifer Kremp,*,26,4-10,1-4,7-9,0-3,3,2,1,0,0,2,16,Dickinson,Dickinson_Moravian_11-10-2021
23,Kate Montgomery,*,22,6-13,0-0,4-4,4-4,8,1,3,5,0,0,16,Dickinson,Dickinson_Moravian_11-10-2021
5,Lindsey Hollenshead,*,20,1-3,1-1,2-2,1-4,5,1,3,3,1,1,5,Dickinson,Dickinson_Moravian_11-10-2021
3,Mia Kolb,*,31,2-5,0-0,0-1,4-5,9,1,3,0,0,2,4,Dickinson,Dickinson_Moravian_11-10-2021
15,Gina Neigel,*,17,2-9,0-1,0-0,3-3,6,4,1,2,1,2,4,Dickinson,Dickinson_Moravian_11-10-2021
4,Caitlin Blackman,,20,4-9,3-3,0-0,0-6,6,4,2,1,0,1,11,Dickinson,Dickinson_Moravian_11-10-2021
12,Clair Marion,,20,3-11,0-0,0-0,4-0,4,2,1,1,0,1,6,Dickinson,Dickinson_Moravian_11-10-2021
43,Abby John,,11,1-4,0-0,0-2,2-3,5,2,0,0,0,1,2,Dickinson,Dickinson_Moravian_11-10-2021
21,Jenna Weinstein,,10,1-3,0-0,0-1,2-0,2,2,1,1,0,1,2,Dickinson,Dickinson_Moravian_11-10-2021
32,Kayla Rose,,15,0-1,0-0,0-0,1-1,2,0,0,1,0,2,0,Dickinson,Dickinson_Moravian_11-10-2021
22,Ella Smith,,8,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0,Dickinson,Dickinson_Moravian_11-10-2021
TM,TMTeam,,0,0-0,0-0,0-0,4-4,8,0,0,0,0,0,0,Dickinson,Dickinson_Moravian_11-10-2021
2,Kayla Yoegel,*,17,2-11,1-3,3-6,1-3,4,4,2,6,1,0,8,Moravian,Dickinson_Moravian_11-10-2021
1,Sam Osorio,*,18,2-5,0-0,0-0,0-6,6,2,0,1,1,0,4,Moravian,Dickinson_Moravian_11-10-2021
23,Madison Amy,*,29,1-11,1-6,0-2,0-2,2,3,0,2,0,0,3,Moravian,Dickinson_Moravian_11-10-2021
24,Morgan Amy,*,28,1-6,1-4,0-0,0-0,0,1,5,1,0,1,3,Moravian,Dickinson_Moravian_11-10-2021
5,Emily Markowski,*,20,0-2,0-0,0-2,1-3,4,1,0,1,0,0,0,Moravian,Dickinson_Moravian_11-10-2021
4,Jackie Kelly,,22,1-5,1-4,4-6,0-0,0,3,0,0,1,1,7,Moravian,Dickinson_Moravian_11-10-2021
30,Gracie Hezel,,10,2-3,0-0,2-2,3-0,3,2,1,0,1,0,6,Moravian,Dickinson_Moravian_11-10-2021
10,Brielle Guarente,,23,1-3,0-0,1-2,1-4,5,4,0,5,0,1,3,Moravian,Dickinson_Moravian_11-10-2021
14,Reganne Flannery,,12,1-2,0-1,0-0,2-0,2,1,1,1,0,0,2,Moravian,Dickinson_Moravian_11-10-2021
25,Ashley Robinson,,5,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Moravian,Dickinson_Moravian_11-10-2021
40,Sara Geary,,5,0-2,0-0,0-0,0-0,0,0,0,0,1,0,0,Moravian,Dickinson_Moravian_11-10-2021
11,Brielle Smith,,4,0-0,0-0,0-0,0-0,0,1,0,1,0,1,0,Moravian,Dickinson_Moravian_11-10-2021
22,Meghan Ansel,,4,0-0,0-0,0-2,1-1,2,0,0,1,0,0,0,Moravian,Dickinson_Moravian_11-10-2021
3,Vicky Donovan,,2,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Moravian,Dickinson_Moravian_11-10-2021
12,Mikayla Anderson,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Dickinson_Moravian_11-10-2021
TM,TMTeam,,0,0-0,0-0,0-0,4-2,6,0,0,0,0,0,0,Moravian,Dickinson_Moravian_11-10-2021
