##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Montgomery, Kate",*,34+,4-10,0-1,3-4,7-5,12,0,0,3,0,1,11,Dickinson,Dickinson_Scranton_12-22-2021
10,"Kremp, Jennifer",*,26+,1-12,1-9,5-6,1-5,6,2,1,4,0,1,8,Dickinson,Dickinson_Scranton_12-22-2021
5,"Hollenshead, Lindsey",*,21,2-2,1-1,0-0,0-3,3,4,2,3,2,0,5,Dickinson,Dickinson_Scranton_12-22-2021
3,"Kolb, Mia",*,34+,2-7,0-3,0-4,2-2,4,1,2,0,0,3,4,Dickinson,Dickinson_Scranton_12-22-2021
15,"Neigel, Gina",*,11+,1-3,0-0,1-2,0-1,1,2,0,1,0,0,3,Dickinson,Dickinson_Scranton_12-22-2021
12,"Marion, Clair",,21+,4-9,1-2,0-0,1-3,4,4,1,1,0,0,9,Dickinson,Dickinson_Scranton_12-22-2021
4,"Blackman, Caitlin",,30+,1-9,0-4,0-0,0-2,2,3,2,1,0,2,2,Dickinson,Dickinson_Scranton_12-22-2021
34,"Ali-Goukoye, Indatou",,3+,1-1,0-0,0-0,0-0,0,1,0,0,0,0,2,Dickinson,Dickinson_Scranton_12-22-2021
32,"Rose, Kayla",,11+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Dickinson,Dickinson_Scranton_12-22-2021
21,"Weinstein, Jenna",,9+,0-1,0-0,0-0,0-1,1,1,0,1,0,3,0,Dickinson,Dickinson_Scranton_12-22-2021
24,"Monaghan, Bridget",*,36+,5-15,1-1,4-4,0-2,2,1,4,1,0,1,15,Scranton,Dickinson_Scranton_12-22-2021
33,"Quigley, Kyra",*,17+,4-7,0-0,0-0,1-1,2,5,1,4,0,0,8,Scranton,Dickinson_Scranton_12-22-2021
0,"Angelini, Hannah",*,26+,1-4,0-1,2-2,2-4,6,0,1,4,1,2,4,Scranton,Dickinson_Scranton_12-22-2021
13,"Hartnett, Maddie",*,15+,1-3,0-1,0-0,0-1,1,1,0,0,0,1,2,Scranton,Dickinson_Scranton_12-22-2021
23,"Larrabee, Jenna",*,6+,0-2,0-0,0-0,1-1,2,1,0,0,0,1,0,Scranton,Dickinson_Scranton_12-22-2021
1,"Anderson, Abby",,25+,3-10,0-2,3-5,1-12,13,0,0,2,0,0,9,Scranton,Dickinson_Scranton_12-22-2021
10,"Lynch, Allie",,17+,3-6,3-6,0-0,1-1,2,2,0,0,0,0,9,Scranton,Dickinson_Scranton_12-22-2021
20,"Shurina, Emily",,18+,2-6,0-3,0-0,2-4,6,1,2,2,0,0,4,Scranton,Dickinson_Scranton_12-22-2021
21,"Ryan, Maddy",,7+,1-1,0-0,0-0,1-0,1,2,0,0,0,0,2,Scranton,Dickinson_Scranton_12-22-2021
40,"McCurdy, Danielle",,17,0-1,0-0,0-0,2-3,5,1,2,1,0,2,0,Scranton,Dickinson_Scranton_12-22-2021
5,"Heineman, Carly",,8+,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Scranton,Dickinson_Scranton_12-22-2021
32,"Walsh, Sara",,8+,0-3,0-1,0-0,0-2,2,0,0,1,0,0,0,Scranton,Dickinson_Scranton_12-22-2021
