##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,Erin Frederick,*,33,9-13,0-0,5-7,6-3,9,4,2,6,1,1,23,Drew University,Drew University_Moravian University_2-16-2022
23,Joey Meyers,*,39,5-13,1-4,2-2,0-8,8,3,1,5,0,0,13,Drew University,Drew University_Moravian University_2-16-2022
02,Gwen Alberici,*,30,1-7,0-1,2-4,2-3,5,3,5,7,0,0,4,Drew University,Drew University_Moravian University_2-16-2022
13,Kyra Mann,*,18,1-3,1-2,0-0,0-4,4,0,1,2,0,0,3,Drew University,Drew University_Moravian University_2-16-2022
15,Cecelia Kracht,*,25,1-2,0-0,0-0,1-3,4,3,1,1,5,1,2,Drew University,Drew University_Moravian University_2-16-2022
04,Katrina Wojtowicz,,21,1-4,1-2,0-0,0-0,0,2,0,0,2,0,3,Drew University,Drew University_Moravian University_2-16-2022
25,Jamie Struble,,19,1-1,0-0,1-2,1-4,5,0,2,1,3,1,3,Drew University,Drew University_Moravian University_2-16-2022
22,Brooke Timinski,,2,1-2,1-2,0-0,0-0,0,0,0,0,0,0,3,Drew University,Drew University_Moravian University_2-16-2022
05,Micela Genua,,8,0-0,0-0,1-2,0-0,0,0,0,2,0,1,1,Drew University,Drew University_Moravian University_2-16-2022
11,Lauren Cruse,,3,0-0,0-0,1-2,0-0,0,0,0,0,0,0,1,Drew University,Drew University_Moravian University_2-16-2022
03,Izzy Lalo,,2,0-1,0-0,0-0,0-0,0,0,1,1,0,0,0,Drew University,Drew University_Moravian University_2-16-2022
1,Sam Osorio,*,27,6-15,0-0,6-8,4-4,8,3,0,3,3,2,18,Moravian University,Drew University_Moravian University_2-16-2022
2,Kayla Yoegel,*,33,7-18,1-3,0-0,4-1,5,2,0,1,1,0,15,Moravian University,Drew University_Moravian University_2-16-2022
24,Morgan Amy,*,37,4-10,3-5,3-4,0-1,1,2,9,3,0,4,14,Moravian University,Drew University_Moravian University_2-16-2022
5,Emily Markowski,*,29,3-5,0-0,3-3,2-2,4,4,1,2,0,0,9,Moravian University,Drew University_Moravian University_2-16-2022
23,Madison Amy,*,28,1-5,1-5,0-0,0-1,1,2,4,0,0,3,3,Moravian University,Drew University_Moravian University_2-16-2022
25,Ashley Robinson,,10,1-4,0-0,1-2,1-0,1,0,0,1,0,0,3,Moravian University,Drew University_Moravian University_2-16-2022
10,Brielle Guarente,,16,1-3,0-0,0-0,1-2,3,3,1,1,0,1,2,Moravian University,Drew University_Moravian University_2-16-2022
30,Gracie Hezel,,10,1-5,0-0,0-2,0-0,0,3,0,0,0,1,2,Moravian University,Drew University_Moravian University_2-16-2022
12,Mikayla Anderson,,10,0-0,0-0,0-0,0-2,2,1,1,0,0,2,0,Moravian University,Drew University_Moravian University_2-16-2022
