##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,Erin Frederick,*,26,7-12,0-0,3-3,2-4,6,2,1,1,0,0,17,Drew,Drew_Catholic_1-15-2022
23,Joey Meyers,*,34,4-13,1-4,2-3,2-2,4,0,1,3,1,2,11,Drew,Drew_Catholic_1-15-2022
25,Jamie Struble,*,20,2-6,0-0,2-2,3-4,7,1,2,3,0,0,6,Drew,Drew_Catholic_1-15-2022
13,Kyra Mann,*,8,1-5,0-1,0-0,1-1,2,1,0,0,0,0,2,Drew,Drew_Catholic_1-15-2022
02,Gwen Alberici,*,34,0-2,0-0,0-2,1-4,5,4,4,3,0,0,0,Drew,Drew_Catholic_1-15-2022
33,Sekya Campbell,,28,5-13,0-0,1-4,0-4,4,1,3,2,0,1,11,Drew,Drew_Catholic_1-15-2022
04,Katrina Wojtowicz,,16,2-5,1-4,0-0,0-1,1,0,0,3,1,0,5,Drew,Drew_Catholic_1-15-2022
15,Cecelia Kracht,,24,0-2,0-0,0-0,2-5,7,4,0,1,2,1,0,Drew,Drew_Catholic_1-15-2022
05,Micela Genua,,3,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Drew,Drew_Catholic_1-15-2022
11,Lauren Cruse,,3,0-0,0-0,0-0,1-0,1,1,1,0,0,0,0,Drew,Drew_Catholic_1-15-2022
03,Izzy Lalo,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Catholic_1-15-2022
22,Brooke Timinski,,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Catholic_1-15-2022
25,Erin Doherty,*,29,8-15,2-5,3-3,3-1,4,2,1,2,3,1,21,Catholic,Drew_Catholic_1-15-2022
01,Rachel Bussanich,*,32,2-13,0-1,7-11,6-6,12,2,0,2,0,1,11,Catholic,Drew_Catholic_1-15-2022
23,Amanda Johnson,*,32,1-6,1-3,1-2,3-9,12,2,2,3,2,2,4,Catholic,Drew_Catholic_1-15-2022
10,Amelia Baldo,*,24,1-4,0-0,1-2,0-0,0,2,1,1,0,2,3,Catholic,Drew_Catholic_1-15-2022
35,Luca Mamula,*,19,0-5,0-1,2-2,1-3,4,2,1,3,0,0,2,Catholic,Drew_Catholic_1-15-2022
04,Erin Thompson,,20,4-7,1-3,0-0,0-2,2,0,2,0,0,2,9,Catholic,Drew_Catholic_1-15-2022
22,Carly Mulvaney,,27,2-5,1-4,0-0,2-0,2,2,1,0,0,3,5,Catholic,Drew_Catholic_1-15-2022
12,Sammie McCarter,,11,1-4,1-2,0-0,0-4,4,0,0,2,0,0,3,Catholic,Drew_Catholic_1-15-2022
15,Molly Aromando,,7,0-1,0-1,0-0,0-0,0,0,1,0,0,0,0,Catholic,Drew_Catholic_1-15-2022
