##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,Joey Meyers,*,38,5-15,0-2,3-5,4-1,5,2,1,3,0,1,13,Drew,Drew_Elizabethtown_1-25-2023
02,Gwen Alberici,*,34,5-9,0-2,1-3,0-2,2,2,5,2,0,2,11,Drew,Drew_Elizabethtown_1-25-2023
25,Jamie Struble,*,33,4-7,0-0,0-0,1-7,8,2,4,3,1,0,8,Drew,Drew_Elizabethtown_1-25-2023
12,Madelyn Morgan,*,24,2-6,2-4,1-2,1-1,2,1,1,0,0,0,7,Drew,Drew_Elizabethtown_1-25-2023
42,Gianna Pica,*,8,0-3,0-0,1-2,1-0,1,0,0,0,1,0,1,Drew,Drew_Elizabethtown_1-25-2023
22,Gracie Hezel,,22,5-10,0-0,0-1,2-1,3,4,1,1,0,2,10,Drew,Drew_Elizabethtown_1-25-2023
13,Kyra Mann,,13,1-3,0-0,0-0,1-1,2,0,1,2,0,1,2,Drew,Drew_Elizabethtown_1-25-2023
04,Katrina Wojtowicz,,14,0-3,0-3,1-2,0-1,1,0,0,0,0,0,1,Drew,Drew_Elizabethtown_1-25-2023
33,Maddie Beyer,,9,0-0,0-0,0-0,0-1,1,0,1,1,0,0,0,Drew,Drew_Elizabethtown_1-25-2023
20,Brenna Hezel,,5,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Elizabethtown_1-25-2023
05,Ryane Wood,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Elizabethtown_1-25-2023
11,Beth Dobrich,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Elizabethtown_1-25-2023
34,DaniRae Renno,*,37,10-13,0-0,5-5,3-10,13,2,0,2,1,2,25,Elizabethtown,Drew_Elizabethtown_1-25-2023
25,Summer McNulty,*,34,7-12,1-2,3-4,0-2,2,1,9,1,0,0,18,Elizabethtown,Drew_Elizabethtown_1-25-2023
03,Lindsay Boyd,*,23,5-7,3-4,0-0,1-1,2,2,3,1,1,3,13,Elizabethtown,Drew_Elizabethtown_1-25-2023
04,Cyleigh Wilson,*,33,2-6,2-6,0-0,0-3,3,2,4,2,0,0,6,Elizabethtown,Drew_Elizabethtown_1-25-2023
30,Jessica King,*,31,3-7,0-0,0-0,1-9,10,1,3,3,0,1,6,Elizabethtown,Drew_Elizabethtown_1-25-2023
02,Makenna Mummert,,17,0-1,0-0,4-5,0-2,2,3,1,2,0,1,4,Elizabethtown,Drew_Elizabethtown_1-25-2023
35,Cass Peris,,11,1-1,0-0,0-0,1-2,3,1,0,2,0,0,2,Elizabethtown,Drew_Elizabethtown_1-25-2023
14,Kaeli Romanowski,,7,0-3,0-1,0-0,0-0,0,3,0,1,0,1,0,Elizabethtown,Drew_Elizabethtown_1-25-2023
13,Taylor Huyck,,6,0-0,0-0,0-0,0-0,0,1,1,0,0,1,0,Elizabethtown,Drew_Elizabethtown_1-25-2023
05,Megan Desmet,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Drew_Elizabethtown_1-25-2023
12,Georgia Panopoulos,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Drew_Elizabethtown_1-25-2023
31,Allyia Kennedy,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Drew_Elizabethtown_1-25-2023
33,Clare Marchese,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Drew_Elizabethtown_1-25-2023
