##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,"Struble,Jamie",*,34,7-16,0-0,4-5,3-6,9,4,1,4,0,4,18,Drew,Drew_FDU-Florham_12-16-2023
02,"Beyer,Maddie",*,33,6-11,2-4,0-0,2-2,4,3,0,4,0,4,14,Drew,Drew_FDU-Florham_12-16-2023
04,"Rachilla,Amy",*,25,5-10,1-2,2-2,5-2,7,3,2,6,0,2,13,Drew,Drew_FDU-Florham_12-16-2023
12,"Morgan,Maddy",*,25,4-15,1-4,1-2,0-1,1,3,2,1,0,1,10,Drew,Drew_FDU-Florham_12-16-2023
22,"Hezel,Gracie",*,23,1-6,0-0,0-0,2-3,5,2,3,1,0,0,2,Drew,Drew_FDU-Florham_12-16-2023
14,"Pica,Gianna",,17,4-10,0-1,0-0,5-5,10,2,0,0,0,0,8,Drew,Drew_FDU-Florham_12-16-2023
03,"Lalo,Izzy",,8,1-3,0-1,0-0,0-0,0,0,0,0,0,1,2,Drew,Drew_FDU-Florham_12-16-2023
05,"Smout,Sarah",,12,0-4,0-1,1-2,1-1,2,5,0,2,0,0,1,Drew,Drew_FDU-Florham_12-16-2023
30,"Diaz,Miabella",,6,0-0,0-0,1-2,1-0,1,0,1,1,0,0,1,Drew,Drew_FDU-Florham_12-16-2023
20,"Hezel,Brenna",,8,0-1,0-0,0-0,0-0,0,0,0,0,0,1,0,Drew,Drew_FDU-Florham_12-16-2023
24,"Altomare,Alice",,4,0-2,0-2,0-0,0-0,0,1,0,0,0,0,0,Drew,Drew_FDU-Florham_12-16-2023
01,"Wood,Ryane",,3,0-1,0-1,0-0,1-0,1,0,1,0,0,0,0,Drew,Drew_FDU-Florham_12-16-2023
11,"Dobrich,Beth",,2,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0,Drew,Drew_FDU-Florham_12-16-2023
15,"Aguilar,Neysa",*,40,8-13,3-5,10-11,0-6,6,2,5,4,0,3,29,FDU-Florham,Drew_FDU-Florham_12-16-2023
11,"Centeno,Christina",*,37,5-12,4-10,0-0,2-3,5,5,1,2,0,0,14,FDU-Florham,Drew_FDU-Florham_12-16-2023
05,"Walker,Gabrielle",*,36,5-9,0-0,4-8,2-2,4,3,4,6,0,3,14,FDU-Florham,Drew_FDU-Florham_12-16-2023
23,"Knight,Destiny",*,25,3-7,1-2,2-4,0-3,3,2,1,2,3,2,9,FDU-Florham,Drew_FDU-Florham_12-16-2023
14,"Tighe,Shannon",*,39,4-8,0-1,0-2,5-7,12,3,4,7,5,1,8,FDU-Florham,Drew_FDU-Florham_12-16-2023
21,"Seyfarth,Carla",,18,1-3,0-0,0-0,2-6,8,0,0,2,0,2,2,FDU-Florham,Drew_FDU-Florham_12-16-2023
24,"Rodriguez,Abigail",,5,0-0,0-0,0-0,0-1,1,0,0,3,0,0,0,FDU-Florham,Drew_FDU-Florham_12-16-2023
