##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Meyers,Joey",*,27,7-11,0-1,3-4,4-7,11,1,2,2,1,4,17,Drew,Drew_Goucher_12-12-2021
20,"Frederick,Erin",*,26,6-13,0-0,5-6,2-3,5,2,2,3,0,0,17,Drew,Drew_Goucher_12-12-2021
02,"Alberici,Gwen",*,21,0-1,0-0,5-6,0-2,2,1,4,5,0,2,5,Drew,Drew_Goucher_12-12-2021
13,"Mann,Kyra",*,20,2-5,1-2,0-0,0-0,0,1,1,1,0,1,5,Drew,Drew_Goucher_12-12-2021
25,"Struble,Jamie",*,21,2-4,0-0,0-0,0-3,3,1,0,1,1,3,4,Drew,Drew_Goucher_12-12-2021
22,"Timinski,Brooke",,15,5-10,2-5,0-0,1-1,2,2,1,3,0,0,12,Drew,Drew_Goucher_12-12-2021
05,"Genua,Micela",,14,3-3,0-0,2-4,0-2,2,1,3,0,0,0,8,Drew,Drew_Goucher_12-12-2021
03,"Lalo,Izzy",,12,2-3,2-2,0-0,0-0,0,1,0,3,0,1,6,Drew,Drew_Goucher_12-12-2021
04,"Wojtowicz,Katrina",,17,1-1,1-1,2-2,1-1,2,1,0,3,0,0,5,Drew,Drew_Goucher_12-12-2021
15,"Kracht,Cecelia",,18,0-2,0-0,2-2,1-3,4,0,1,1,2,3,2,Drew,Drew_Goucher_12-12-2021
50,"Antin,Sam",,5,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Drew,Drew_Goucher_12-12-2021
10,"Graff,Carlye",,4,0-0,0-0,0-0,0-1,1,0,0,1,1,0,0,Drew,Drew_Goucher_12-12-2021
21,"McFadden,Alayna",*,27,6-15,0-2,4-6,4-4,8,1,2,5,0,2,16,Goucher,Drew_Goucher_12-12-2021
10,"Carini,Belle",*,28,1-9,0-0,0-0,2-1,3,0,0,5,0,0,2,Goucher,Drew_Goucher_12-12-2021
34,"Cavoli,Julia",*,26,1-8,0-5,0-0,0-2,2,3,1,3,0,1,2,Goucher,Drew_Goucher_12-12-2021
05,"Gonzales,Serrena",*,17,0-1,0-0,2-2,0-0,0,2,0,3,0,1,2,Goucher,Drew_Goucher_12-12-2021
32,"Flynn,Claire",*,12,0-2,0-1,0-0,0-1,1,3,0,4,0,1,0,Goucher,Drew_Goucher_12-12-2021
15,"Kees,Ta'Niya",,13,1-5,0-1,4-5,2-2,4,1,1,2,0,0,6,Goucher,Drew_Goucher_12-12-2021
12,"Haggins,Briyah",,19,2-3,0-0,0-2,0-3,3,1,0,5,0,3,4,Goucher,Drew_Goucher_12-12-2021
22,"Nwuli,Sydney",,21,1-3,0-0,1-2,4-1,5,5,0,1,0,0,3,Goucher,Drew_Goucher_12-12-2021
03,"Avery,Jorryn",,12,1-2,1-1,0-0,0-0,0,2,0,2,0,0,3,Goucher,Drew_Goucher_12-12-2021
30,"Cox,Ava",,14,0-4,0-0,0-0,1-1,2,0,0,1,0,0,0,Goucher,Drew_Goucher_12-12-2021
25,"Bailey,Lydia",,11,0-2,0-0,0-0,1-0,1,3,0,1,0,0,0,Goucher,Drew_Goucher_12-12-2021
