##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,Jamie Struble,*,33,3-12,0-0,2-4,3-1,4,1,3,5,2,1,8,Drew,Drew_JOHNJAYW_11-15-2023
05,Sarah Smout,*,29,3-11,1-7,0-0,1-2,3,1,1,3,1,5,7,Drew,Drew_JOHNJAYW_11-15-2023
04,Amy Rachilla,*,29,2-5,1-1,0-0,1-0,1,3,4,1,0,2,5,Drew,Drew_JOHNJAYW_11-15-2023
12,Maddy Morgan,*,25,1-7,0-5,3-6,2-6,8,1,0,1,0,0,5,Drew,Drew_JOHNJAYW_11-15-2023
22,Gracie Hezel,*,19,2-3,0-0,0-0,1-3,4,3,0,3,0,0,4,Drew,Drew_JOHNJAYW_11-15-2023
30,Miabella Diaz,,19,3-6,1-3,2-3,1-1,2,3,2,1,1,1,9,Drew,Drew_JOHNJAYW_11-15-2023
11,Beth Dobrich,,7,1-2,0-0,1-2,0-3,3,1,1,0,0,1,3,Drew,Drew_JOHNJAYW_11-15-2023
24,Alice Altomare,,6,1-4,1-3,0-0,0-1,1,1,0,1,0,0,3,Drew,Drew_JOHNJAYW_11-15-2023
03,Izzy Lalo,,4,1-2,1-1,0-0,0-0,0,0,0,0,0,1,3,Drew,Drew_JOHNJAYW_11-15-2023
14,Gianna Pica,,14,1-3,0-0,0-0,0-3,3,0,1,0,0,3,2,Drew,Drew_JOHNJAYW_11-15-2023
20,Brenna Hezel,,8,0-0,0-0,0-0,0-1,1,1,1,1,0,0,0,Drew,Drew_JOHNJAYW_11-15-2023
02,Maddie Beyer,,6,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0,Drew,Drew_JOHNJAYW_11-15-2023
01,Ryane Wood,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_JOHNJAYW_11-15-2023
11,Chayanne Kelly,*,36,9-19,3-4,2-2,1-4,5,2,2,6,0,3,23,JOHNJAYW,Drew_JOHNJAYW_11-15-2023
13,Kamryn Hammond,*,34,5-10,3-8,2-3,0-9,9,1,4,4,2,1,15,JOHNJAYW,Drew_JOHNJAYW_11-15-2023
03,Ayanna Edwards,*,33,4-5,0-0,2-2,1-0,1,2,2,4,0,1,10,JOHNJAYW,Drew_JOHNJAYW_11-15-2023
20,Ashley Zeolla,*,34,3-9,0-0,1-4,3-5,8,2,2,3,0,2,7,JOHNJAYW,Drew_JOHNJAYW_11-15-2023
32,Hannah Ruberto,*,25,0-3,0-0,1-2,4-3,7,3,1,0,0,0,1,JOHNJAYW,Drew_JOHNJAYW_11-15-2023
23,Tiffany Bogle,,21,1-4,0-0,0-2,0-1,1,3,0,3,0,2,2,JOHNJAYW,Drew_JOHNJAYW_11-15-2023
12,Natalie Simonds,,8,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,JOHNJAYW,Drew_JOHNJAYW_11-15-2023
21,Hadja Bah,,6,0-0,0-0,0-0,0-2,2,2,0,2,0,0,0,JOHNJAYW,Drew_JOHNJAYW_11-15-2023
02,Sarah Granados,,3,0-2,0-0,0-0,0-0,0,0,0,0,0,0,0,JOHNJAYW,Drew_JOHNJAYW_11-15-2023
