##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
14,Gianna Pica,*,27,7-14,4-6,1-4,0-6,6,3,1,2,1,1,19,Drew,Drew_Juniata_2-8-2025
2,Maddie Beyer,*,32,4-8,2-5,2-2,1-1,2,2,1,1,0,1,12,Drew,Drew_Juniata_2-8-2025
4,Amy Rachilla,*,28,4-9,0-0,2-2,3-0,3,2,4,4,0,2,10,Drew,Drew_Juniata_2-8-2025
30,Miabella Diaz,*,29,1-2,1-1,2-2,2-2,4,0,1,1,0,0,5,Drew,Drew_Juniata_2-8-2025
20,Brenna Hezel,*,26,0-5,0-0,0-0,0-4,4,1,2,1,1,0,0,Drew,Drew_Juniata_2-8-2025
24,Alice Altomare,,12,2-3,2-3,0-0,0-1,1,1,0,1,0,0,6,Drew,Drew_Juniata_2-8-2025
11,Jocelyn Kingsley,,14,2-5,0-0,0-1,1-2,3,3,1,2,0,1,4,Drew,Drew_Juniata_2-8-2025
22,Gracie Hezel,,14,2-5,0-0,0-0,0-2,2,2,1,1,0,0,4,Drew,Drew_Juniata_2-8-2025
3,Isabelle Lalo,,5,1-2,0-0,0-0,1-0,1,0,0,0,0,1,2,Drew,Drew_Juniata_2-8-2025
23,Olivia Aliotta,,13,0-1,0-1,0-0,0-3,3,3,1,3,0,0,0,Drew,Drew_Juniata_2-8-2025
TM,TMTeam,,0,0-0,0-0,0-0,1-5,6,0,0,0,0,0,0,Drew,Drew_Juniata_2-8-2025
13,Haily Sherman,*,29,8-16,0-2,3-3,1-3,4,2,0,1,0,2,19,Juniata,Drew_Juniata_2-8-2025
21,Bri Bodtorf,*,36,8-16,1-6,0-0,1-7,8,3,7,2,1,1,17,Juniata,Drew_Juniata_2-8-2025
31,Laney Gerdich,*,27,4-8,0-0,1-2,4-8,12,1,1,2,0,1,9,Juniata,Drew_Juniata_2-8-2025
4,Steph Emert,*,12,4-7,0-0,0-0,1-2,3,0,0,1,0,1,8,Juniata,Drew_Juniata_2-8-2025
11,Olivia Berg,*,29,1-4,0-3,0-0,1-1,2,2,2,1,1,0,2,Juniata,Drew_Juniata_2-8-2025
43,Emily McCann,,19,1-5,0-2,0-0,2-1,3,4,1,2,0,0,2,Juniata,Drew_Juniata_2-8-2025
35,Sarah Betts,,12,0-1,0-0,1-2,0-0,0,1,1,3,0,0,1,Juniata,Drew_Juniata_2-8-2025
23,Deja Gillo,,23,0-3,0-3,0-2,0-1,1,1,1,0,0,0,0,Juniata,Drew_Juniata_2-8-2025
24,Emma Coolidge,,13,0-0,0-0,0-2,1-1,2,3,1,2,0,0,0,Juniata,Drew_Juniata_2-8-2025
3,Michaela Owens,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Drew_Juniata_2-8-2025
TM,TMTeam,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0,Juniata,Drew_Juniata_2-8-2025
