##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,"Struble,Jamie",*,30,5-10,0-0,4-6,4-3,7,4,0,2,0,2,14,Drew,Drew_Kean_12-30-2023
14,"Pica,Gianna",*,21,3-13,0-0,0-0,1-3,4,2,0,1,1,1,6,Drew,Drew_Kean_12-30-2023
12,"Morgan,Maddy",*,22,2-11,1-4,0-1,0-3,3,4,1,2,0,1,5,Drew,Drew_Kean_12-30-2023
04,"Rachilla,Amy",*,31,0-6,0-3,2-2,4-1,5,3,3,4,0,1,2,Drew,Drew_Kean_12-30-2023
02,"Beyer,Maddie",*,23,1-3,0-1,0-0,2-2,4,0,3,1,0,0,2,Drew,Drew_Kean_12-30-2023
22,"Hezel,Gracie",,16,3-10,0-0,1-2,2-4,6,2,1,1,1,1,7,Drew,Drew_Kean_12-30-2023
24,"Altomare,Alice",,19,2-12,2-11,0-0,1-3,4,1,0,3,1,0,6,Drew,Drew_Kean_12-30-2023
23,"Aliotta,Olivia",,9,0-7,0-2,1-2,3-1,4,1,1,0,0,0,1,Drew,Drew_Kean_12-30-2023
05,"Smout,Sarah",,7,0-0,0-0,0-0,1-0,1,1,0,0,0,2,0,Drew,Drew_Kean_12-30-2023
20,"Hezel,Brenna",,7,0-1,0-0,0-0,1-0,1,0,0,0,0,1,0,Drew,Drew_Kean_12-30-2023
30,"Diaz,Miabella",,6,0-1,0-0,0-0,1-0,1,1,0,2,0,0,0,Drew,Drew_Kean_12-30-2023
11,"Dobrich,Beth",,5,0-0,0-0,0-0,1-1,2,1,0,0,0,0,0,Drew,Drew_Kean_12-30-2023
03,"Lalo,Izzy",,3,0-2,0-0,0-0,1-0,1,0,1,0,0,0,0,Drew,Drew_Kean_12-30-2023
10,"Bass,Emily",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Kean_12-30-2023
05,"Edwards,Maya",*,35,5-15,1-5,6-8,2-5,7,2,2,5,0,1,17,Kean,Drew_Kean_12-30-2023
30,"Gamble,Gigi",*,38,6-13,1-4,2-2,0-2,2,0,3,3,0,2,15,Kean,Drew_Kean_12-30-2023
23,"Graff,Brittany",*,27,3-6,2-2,3-4,0-2,2,4,4,3,0,1,11,Kean,Drew_Kean_12-30-2023
11,"Seaman,Macy",*,33,5-8,0-0,0-0,3-12,15,2,0,2,3,1,10,Kean,Drew_Kean_12-30-2023
12,"Ahrens,Riley",*,30,1-6,0-3,4-5,2-7,9,2,0,1,2,1,6,Kean,Drew_Kean_12-30-2023
03,"Brennan,Christy",,2,2-2,0-0,1-1,0-0,0,0,0,0,0,0,5,Kean,Drew_Kean_12-30-2023
24,"McCoy,Cara",,12,1-3,0-0,2-3,2-0,2,3,0,2,0,0,4,Kean,Drew_Kean_12-30-2023
14,"Roseme-Hamilton,Aaliyah",,3,0-0,0-0,1-2,1-2,3,0,0,1,0,0,1,Kean,Drew_Kean_12-30-2023
10,"Keating,Jordyn",,11,0-2,0-2,0-0,0-1,1,4,0,2,0,0,0,Kean,Drew_Kean_12-30-2023
02,"Lefler,Sela",,9,0-3,0-1,0-0,0-2,2,1,0,1,0,0,0,Kean,Drew_Kean_12-30-2023
