##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
04,"Rachilla,Amy",*,32,4-4,1-1,2-2,2-1,3,1,7,5,1,3,11,Drew,Drew_Lycoming_1-27-2024
14,"Pica,Gianna",*,27,4-7,1-1,1-2,1-4,5,2,1,2,2,0,10,Drew,Drew_Lycoming_1-27-2024
25,"Struble,Jamie",*,34,2-5,0-0,4-6,3-5,8,3,1,5,1,1,8,Drew,Drew_Lycoming_1-27-2024
05,"Smout,Sarah",*,18,3-12,1-5,0-0,2-3,5,3,0,2,1,0,7,Drew,Drew_Lycoming_1-27-2024
12,"Morgan,Maddy",*,14,0-4,0-2,0-0,3-1,4,0,0,2,0,2,0,Drew,Drew_Lycoming_1-27-2024
02,"Beyer,Maddie",,18,4-9,2-4,2-2,2-1,3,1,3,1,0,1,12,Drew,Drew_Lycoming_1-27-2024
30,"Diaz,Miabella",,15,3-7,0-1,1-2,1-1,2,3,1,1,0,1,7,Drew,Drew_Lycoming_1-27-2024
23,"Aliotta,Olivia",,17,2-7,1-5,0-0,0-3,3,3,1,0,0,1,5,Drew,Drew_Lycoming_1-27-2024
22,"Hezel,Gracie",,7,2-3,0-1,0-0,1-2,3,2,0,0,0,0,4,Drew,Drew_Lycoming_1-27-2024
24,"Altomare,Alice",,3,1-1,1-1,0-0,1-0,1,0,0,0,1,0,3,Drew,Drew_Lycoming_1-27-2024
20,"Hezel,Brenna",,6,1-1,0-0,0-0,1-0,1,0,0,0,0,2,2,Drew,Drew_Lycoming_1-27-2024
03,"Lalo,Izzy",,3,0-1,0-0,2-4,0-0,0,0,0,0,0,0,2,Drew,Drew_Lycoming_1-27-2024
11,"Dobrich,Beth",,6,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Lycoming_1-27-2024
10,"Bass,Emily",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Lycoming_1-27-2024
21,"Yoh,Ashley",*,30,6-14,0-2,7-7,0-1,1,1,2,1,0,0,19,Lycoming,Drew_Lycoming_1-27-2024
22,"Lockard,Emily",*,31,5-14,0-0,2-2,7-3,10,1,2,2,0,2,12,Lycoming,Drew_Lycoming_1-27-2024
12,"Dufner,Meghan",*,32,4-9,1-4,2-3,1-4,5,5,5,2,0,3,11,Lycoming,Drew_Lycoming_1-27-2024
10,"Wetzel,Mya",*,17,3-7,3-7,1-2,0-2,2,4,2,0,1,2,10,Lycoming,Drew_Lycoming_1-27-2024
25,"Goldenziel,Alicia",*,32,2-3,0-0,2-2,1-4,5,2,0,3,3,1,6,Lycoming,Drew_Lycoming_1-27-2024
02,"Abdo,Kami",,28,2-8,1-2,1-2,1-0,1,2,1,6,0,3,6,Lycoming,Drew_Lycoming_1-27-2024
14,"McMurtrie,Ann-Marie",,14,0-2,0-1,0-0,1-1,2,3,1,2,0,0,0,Lycoming,Drew_Lycoming_1-27-2024
15,"Hartman,Makenna",,8,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Lycoming,Drew_Lycoming_1-27-2024
04,"Orich,Maddie",,4,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Lycoming,Drew_Lycoming_1-27-2024
20,"Pumputis,Jillian",,4,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Drew_Lycoming_1-27-2024
32,"Stone,Sydnie",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Drew_Lycoming_1-27-2024
