##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,"Struble,Jamie",*,29,5-7,0-0,5-6,1-3,4,3,1,5,1,0,15,Drew,Drew_Moravian_11-29-2023
04,"Rachilla,Amy",*,27,1-4,1-2,5-6,1-0,1,2,1,2,0,0,8,Drew,Drew_Moravian_11-29-2023
12,"Morgan,Maddy",*,26,2-9,1-2,2-2,0-2,2,4,1,2,0,4,7,Drew,Drew_Moravian_11-29-2023
22,"Hezel,Gracie",*,24,3-5,0-0,1-2,2-4,6,3,2,2,2,0,7,Drew,Drew_Moravian_11-29-2023
05,"Smout,Sarah",*,26,0-6,0-4,2-2,0-2,2,3,1,1,1,1,2,Drew,Drew_Moravian_11-29-2023
03,"Lalo,Izzy",,14,1-6,1-3,2-2,0-1,1,0,1,0,0,2,5,Drew,Drew_Moravian_11-29-2023
14,"Pica,Gianna",,11,2-3,0-0,0-2,0-1,1,1,0,1,0,3,4,Drew,Drew_Moravian_11-29-2023
24,"Altomare,Alice",,16,1-5,1-5,0-0,0-0,0,2,1,2,0,0,3,Drew,Drew_Moravian_11-29-2023
01,"Wood,Ryane",,3,0-1,0-0,1-2,1-0,1,0,0,1,0,0,1,Drew,Drew_Moravian_11-29-2023
20,"Hezel,Brenna",,13,0-0,0-0,0-0,0-0,0,1,1,2,0,0,0,Drew,Drew_Moravian_11-29-2023
30,"Diaz,Miabella",,7,0-1,0-1,0-0,1-0,1,2,1,0,0,1,0,Drew,Drew_Moravian_11-29-2023
11,"Dobrich,Beth",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Moravian_11-29-2023
10,"Bass,Emily",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Drew,Drew_Moravian_11-29-2023
10,"Guarente,Brielle",*,33,5-10,1-1,4-6,0-4,4,3,2,4,0,2,15,Moravian,Drew_Moravian_11-29-2023
01,"Osorio,Sam",*,19,5-5,0-0,5-6,2-3,5,4,0,2,0,0,15,Moravian,Drew_Moravian_11-29-2023
21,"Steffen,Grace",*,31,3-6,0-0,3-3,6-6,12,0,1,2,1,3,9,Moravian,Drew_Moravian_11-29-2023
14,"Flannery,Reganne",*,31,0-7,0-2,0-0,0-2,2,1,6,2,0,1,0,Moravian,Drew_Moravian_11-29-2023
12,"Anderson,Mikayla",*,18,0-0,0-0,0-0,0-2,2,2,0,1,0,0,0,Moravian,Drew_Moravian_11-29-2023
24,"Lustig,Lizzie",,25,4-7,1-2,5-6,3-1,4,2,3,4,0,0,14,Moravian,Drew_Moravian_11-29-2023
22,"Vassallo,Juliana",,18,2-6,1-3,3-4,1-3,4,3,0,2,0,2,8,Moravian,Drew_Moravian_11-29-2023
04,"Cartagena,Jayda",,16,2-7,0-3,0-0,1-1,2,2,2,3,0,2,4,Moravian,Drew_Moravian_11-29-2023
20,"Herbert,Lanie",,9,0-1,0-0,2-2,1-3,4,0,0,2,0,0,2,Moravian,Drew_Moravian_11-29-2023
11,"Fernandez,Yarian",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Drew_Moravian_11-29-2023
