##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,"Morgan,Maddy",*,32,7-13,2-2,4-9,1-3,4,3,1,5,0,7,20,Drew,Drew_Rhodes_12-19-2023
25,"Struble,Jamie",*,33,5-12,0-0,2-4,0-5,5,2,1,0,1,2,12,Drew,Drew_Rhodes_12-19-2023
14,"Pica,Gianna",*,28,4-9,0-0,1-3,1-2,3,1,2,1,0,3,9,Drew,Drew_Rhodes_12-19-2023
02,"Beyer,Maddie",*,30,3-8,2-4,0-0,1-0,1,0,2,1,0,1,8,Drew,Drew_Rhodes_12-19-2023
04,"Rachilla,Amy",*,19,0-9,0-1,0-0,0-1,1,0,0,1,0,2,0,Drew,Drew_Rhodes_12-19-2023
05,"Smout,Sarah",,14,2-6,0-2,0-0,1-0,1,3,1,2,0,0,4,Drew,Drew_Rhodes_12-19-2023
03,"Lalo,Izzy",,4,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Drew,Drew_Rhodes_12-19-2023
11,"Dobrich,Beth",,7,0-1,0-0,1-2,1-0,1,0,0,0,0,1,1,Drew,Drew_Rhodes_12-19-2023
30,"Diaz,Miabella",,11,0-1,0-0,0-0,3-0,3,2,2,2,0,2,0,Drew,Drew_Rhodes_12-19-2023
22,"Hezel,Gracie",,7,0-2,0-0,0-0,0-0,0,3,1,1,0,0,0,Drew,Drew_Rhodes_12-19-2023
20,"Hezel,Brenna",,5,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,Drew,Drew_Rhodes_12-19-2023
24,"Altomare,Alice",,5,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0,Drew,Drew_Rhodes_12-19-2023
10,"Bass,Emily",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Rhodes_12-19-2023
01,"Wood,Ryane",,1,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Drew,Drew_Rhodes_12-19-2023
15,"Debenedittis,Darcy",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Rhodes_12-19-2023
33,"Anderson,Harrison",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Rhodes_12-19-2023
10,"Marsh,Avery",*,32,3-7,0-2,5-7,0-4,4,4,6,5,3,0,11,Rhodes,Drew_Rhodes_12-19-2023
25,"Griffith,Audrey",*,22,3-7,3-7,0-0,0-1,1,3,1,1,0,3,9,Rhodes,Drew_Rhodes_12-19-2023
55,"Althoff,Catherine",*,21,4-7,0-0,1-1,2-4,6,1,3,4,1,0,9,Rhodes,Drew_Rhodes_12-19-2023
34,"Vlahakos,Giana",*,32,3-7,0-0,0-0,4-6,10,1,0,2,4,0,6,Rhodes,Drew_Rhodes_12-19-2023
21,"Donaldson,Saylor",*,13,0-1,0-1,0-0,0-2,2,1,1,0,0,1,0,Rhodes,Drew_Rhodes_12-19-2023
01,"Seay,Kearstyn",,26,5-6,2-3,2-3,2-1,3,2,2,1,0,0,14,Rhodes,Drew_Rhodes_12-19-2023
23,"Milam,AC",,21,3-6,2-3,0-0,0-1,1,0,0,3,1,0,8,Rhodes,Drew_Rhodes_12-19-2023
33,"Bongiovanni,Alyssa",,16,2-2,1-1,1-2,0-6,6,0,1,3,1,2,6,Rhodes,Drew_Rhodes_12-19-2023
22,"Howell,Juliet",,9,2-3,2-3,0-0,0-1,1,0,0,1,0,0,6,Rhodes,Drew_Rhodes_12-19-2023
15,"McKown,Mackenzie",,6,0-2,0-2,0-0,0-0,0,1,0,4,0,1,0,Rhodes,Drew_Rhodes_12-19-2023
20,"Willingham,Kelsey",,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Rhodes,Drew_Rhodes_12-19-2023
