##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,Joey Meyers,*,22,11-17,2-4,0-1,4-6,10,1,2,1,0,2,24,Drew,Drew_Rutgers University-Camden_11-9-2022
12,Madelyn Morgan,*,13,3-6,1-2,3-4,0-1,1,2,1,0,0,2,10,Drew,Drew_Rutgers University-Camden_11-9-2022
25,Jamie Struble,*,19,4-6,0-0,0-0,3-3,6,0,1,1,0,2,8,Drew,Drew_Rutgers University-Camden_11-9-2022
02,Gwen Alberici,*,10,2-5,0-0,0-0,1-1,2,2,1,1,0,1,4,Drew,Drew_Rutgers University-Camden_11-9-2022
20,Brenna Hezel,*,8,1-1,0-0,0-0,0-1,1,1,1,2,0,2,2,Drew,Drew_Rutgers University-Camden_11-9-2022
04,Katrina Wojtowicz,,21,5-8,1-3,0-0,1-4,5,0,1,0,0,1,11,Drew,Drew_Rutgers University-Camden_11-9-2022
22,Gracie Hezel,,17,4-7,0-1,0-0,5-3,8,1,4,2,0,1,8,Drew,Drew_Rutgers University-Camden_11-9-2022
33,Maddie Beyer,,14,3-3,1-1,0-0,0-1,1,0,1,1,0,1,7,Drew,Drew_Rutgers University-Camden_11-9-2022
13,Kyra Mann,,17,2-4,0-0,0-0,0-1,1,3,3,1,0,1,4,Drew,Drew_Rutgers University-Camden_11-9-2022
11,Beth Dobrich,,9,1-1,0-0,1-4,0-2,2,1,0,0,0,0,3,Drew,Drew_Rutgers University-Camden_11-9-2022
05,Ryane Wood,,10,1-5,0-2,0-0,0-0,0,0,1,0,0,1,2,Drew,Drew_Rutgers University-Camden_11-9-2022
50,Sam Antin,,6,1-1,0-0,0-0,0-1,1,1,0,0,0,0,2,Drew,Drew_Rutgers University-Camden_11-9-2022
42,Gianna Pica,,11,0-1,0-0,0-0,1-3,4,2,0,0,1,0,0,Drew,Drew_Rutgers University-Camden_11-9-2022
03,Izzy Lalo,,9,0-5,0-4,0-0,0-1,1,0,0,2,0,0,0,Drew,Drew_Rutgers University-Camden_11-9-2022
10,Carlye Graff,,7,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Rutgers University-Camden_11-9-2022
15,Brianna Schweitzer,,7,0-1,0-1,0-0,0-1,1,0,1,1,0,0,0,Drew,Drew_Rutgers University-Camden_11-9-2022
22,"Pitts,Jalissa",*,30,7-17,0-1,5-7,1-5,6,2,1,5,0,1,19,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
21,"Sampona,Abigail",*,27,3-7,0-0,0-0,2-3,5,1,2,6,0,1,6,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
24,"Galasso,Carleigh",*,22,3-8,0-1,0-0,2-4,6,1,0,0,0,0,6,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
04,"Pitts,Jania",*,31,1-4,0-1,1-2,1-0,1,0,0,3,0,1,3,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
02,"Blocker,Rahzirah",*,15,1-6,0-0,0-0,0-2,2,1,0,4,0,2,2,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
10,"Albizu,Catherine",,23,1-7,0-1,2-5,1-1,2,2,1,1,0,0,4,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
23,"Briggs,Deja",,26,1-4,0-1,0-0,0-0,0,0,2,1,0,0,2,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
11,"Garcia,Ariana",,14,1-3,0-0,0-0,0-1,1,1,0,0,0,0,2,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
01,"Eley,Amara",,4,0-1,0-0,0-0,1-1,2,0,0,0,0,0,0,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
14,"Savage,Keyani",,4,0-0,0-0,0-0,1-0,1,0,0,1,0,0,0,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
03,"Cellucci,Angelina",,3,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
05,"Birriel,Dynasty",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Rutgers University-Camden,Drew_Rutgers University-Camden_11-9-2022
