##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Meyers,Joey",*,38,8-14,3-6,1-3,3-2,5,1,4,6,0,1,20,Drew,Drew_Scranton_1-26-2022
20,"Frederick,Erin",*,36,7-20,0-1,6-6,1-5,6,0,2,1,0,1,20,Drew,Drew_Scranton_1-26-2022
33,"Campbell,Sekya",*,31,3-7,0-0,5-6,1-3,4,3,2,1,0,0,11,Drew,Drew_Scranton_1-26-2022
02,"Alberici,Gwen",*,18,0-2,0-0,0-0,0-4,4,2,0,1,0,1,0,Drew,Drew_Scranton_1-26-2022
15,"Kracht,Cecelia",*,14,0-0,0-0,0-0,0-3,3,2,0,2,1,1,0,Drew,Drew_Scranton_1-26-2022
25,"Struble,Jamie",,26,1-2,0-1,4-6,1-1,2,2,2,2,0,2,6,Drew,Drew_Scranton_1-26-2022
13,"Mann,Kyra",,26,2-7,1-5,0-0,1-2,3,2,2,3,0,0,5,Drew,Drew_Scranton_1-26-2022
04,"Wojtowicz,Katrina",,7,0-1,0-1,0-0,0-1,1,1,0,1,1,0,0,Drew,Drew_Scranton_1-26-2022
05,"Genua,Micela",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Scranton_1-26-2022
11,"Cruse,Lauren",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Scranton_1-26-2022
22,"Timinski,Brooke",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Scranton_1-26-2022
01,"Anderson,Abby",*,33,7-16,1-5,10-10,3-5,8,1,2,0,0,0,25,Scranton,Drew_Scranton_1-26-2022
24,"Monaghan,Bridget",*,36,6-18,6-12,2-2,2-4,6,1,1,2,0,4,20,Scranton,Drew_Scranton_1-26-2022
00,"Angelini,Hannah",*,32,5-8,1-2,1-1,0-4,4,2,5,2,1,3,12,Scranton,Drew_Scranton_1-26-2022
33,"Quigley,Kyra",*,24,4-5,0-0,0-0,3-3,6,5,3,4,2,0,8,Scranton,Drew_Scranton_1-26-2022
20,"Shurina,Emily",*,20,0-4,0-4,0-0,0-3,3,2,1,1,0,0,0,Scranton,Drew_Scranton_1-26-2022
40,"McCurdy,Danielle",,16,2-3,0-0,0-0,0-0,0,2,0,0,0,0,4,Scranton,Drew_Scranton_1-26-2022
13,"Hartnett,Maddie",,18,0-3,0-1,0-0,0-0,0,2,0,0,1,1,0,Scranton,Drew_Scranton_1-26-2022
21,"Ryan,Maddy",,12,0-0,0-0,0-0,0-0,0,1,0,1,1,0,0,Scranton,Drew_Scranton_1-26-2022
32,"Walsh,Sara",,5,0-0,0-0,0-0,0-0,0,1,0,2,0,0,0,Scranton,Drew_Scranton_1-26-2022
05,"Heineman,Carly",,2,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Scranton,Drew_Scranton_1-26-2022
25,"Duerr,Emma",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Drew_Scranton_1-26-2022
