##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,"Struble,Jamie",*,34,4-15,0-1,3-5,2-6,8,0,1,0,2,1,11,Drew,Drew_Susquehanna_2-20-2024
14,"Pica,Gianna",*,26,4-9,0-0,1-2,0-0,0,2,0,1,2,2,9,Drew,Drew_Susquehanna_2-20-2024
12,"Morgan,Maddy",*,22,2-5,1-3,3-6,3-1,4,2,3,3,0,0,8,Drew,Drew_Susquehanna_2-20-2024
04,"Rachilla,Amy",*,22,2-7,0-1,3-5,0-3,3,3,1,1,0,2,7,Drew,Drew_Susquehanna_2-20-2024
05,"Smout,Sarah",*,20,3-8,0-3,0-0,1-2,3,1,0,0,1,0,6,Drew,Drew_Susquehanna_2-20-2024
23,"Aliotta,Olivia",,16,3-8,0-1,0-2,1-2,3,5,0,2,1,1,6,Drew,Drew_Susquehanna_2-20-2024
30,"Diaz,Miabella",,14,1-2,0-1,1-2,1-3,4,2,0,0,0,1,3,Drew,Drew_Susquehanna_2-20-2024
11,"Dobrich,Beth",,1,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Drew,Drew_Susquehanna_2-20-2024
22,"Hezel,Gracie",,14,0-2,0-0,0-2,2-3,5,0,1,2,0,0,0,Drew,Drew_Susquehanna_2-20-2024
02,"Beyer,Maddie",,9,0-1,0-0,0-0,0-0,0,3,1,0,0,0,0,Drew,Drew_Susquehanna_2-20-2024
03,"Lalo,Izzy",,8,0-2,0-1,0-0,1-0,1,1,0,0,0,0,0,Drew,Drew_Susquehanna_2-20-2024
24,"Altomare,Alice",,7,0-2,0-1,0-0,0-1,1,0,0,0,0,0,0,Drew,Drew_Susquehanna_2-20-2024
20,"Hezel,Brenna",,5,0-1,0-0,0-0,1-0,1,0,0,1,0,0,0,Drew,Drew_Susquehanna_2-20-2024
01,"Wood,Ryane",,2,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Drew,Drew_Susquehanna_2-20-2024
21,"Roth,Julia",*,25,5-13,0-0,3-4,3-3,6,3,3,2,0,3,13,Susquehanna,Drew_Susquehanna_2-20-2024
00,"Pinckert,Julia",*,26,3-5,2-2,4-4,0-5,5,1,0,1,0,0,12,Susquehanna,Drew_Susquehanna_2-20-2024
12,"George,Carly",*,22,6-9,0-0,0-0,3-7,10,2,1,0,1,0,12,Susquehanna,Drew_Susquehanna_2-20-2024
03,"Selvaggi,Kenzie",*,21,4-6,1-2,0-0,0-2,2,3,3,1,1,0,9,Susquehanna,Drew_Susquehanna_2-20-2024
30,"Lynch,Kaitlyn",*,24,3-8,1-3,0-0,3-2,5,3,1,3,0,1,7,Susquehanna,Drew_Susquehanna_2-20-2024
01,"Weyant,Sydney",,12,3-7,2-4,2-2,1-1,2,0,0,0,0,0,10,Susquehanna,Drew_Susquehanna_2-20-2024
15,"Greek,Annie",,15,1-3,1-1,2-4,0-1,1,2,0,0,0,1,5,Susquehanna,Drew_Susquehanna_2-20-2024
05,"Klein,Lauren",,13,1-1,0-0,0-0,1-4,5,0,4,0,1,1,2,Susquehanna,Drew_Susquehanna_2-20-2024
24,"Maffei,Zoie",,13,1-5,0-0,0-0,0-1,1,2,0,1,1,1,2,Susquehanna,Drew_Susquehanna_2-20-2024
11,"Miller,Madison",,9,0-0,0-0,2-2,0-3,3,0,0,2,0,0,2,Susquehanna,Drew_Susquehanna_2-20-2024
20,"Staver,Elke",,10,0-3,0-0,1-2,1-0,1,2,1,2,2,0,1,Susquehanna,Drew_Susquehanna_2-20-2024
31,"Meehan,Grace",,10,0-1,0-0,0-0,0-4,4,2,1,2,0,0,0,Susquehanna,Drew_Susquehanna_2-20-2024
