##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
14,"Pica,Gianna",*,36,5-13,0-1,2-4,3-4,7,0,1,0,2,1,12,Drew,Drew_Wilkes_2-7-2024
04,"Rachilla,Amy",*,33,3-8,1-2,3-4,2-5,7,3,2,3,0,2,10,Drew,Drew_Wilkes_2-7-2024
20,"Hezel,Brenna",*,35,3-4,0-0,0-0,2-1,3,2,5,2,1,0,6,Drew,Drew_Wilkes_2-7-2024
02,"Beyer,Maddie",*,25,2-6,1-4,0-0,0-1,1,0,1,3,0,1,5,Drew,Drew_Wilkes_2-7-2024
12,"Morgan,Maddy",*,13,1-6,1-4,0-0,0-0,0,0,0,0,0,1,3,Drew,Drew_Wilkes_2-7-2024
30,"Diaz,Miabella",,24,4-14,1-3,5-8,0-3,3,3,1,0,0,6,14,Drew,Drew_Wilkes_2-7-2024
05,"Smout,Sarah",,19,3-6,1-2,3-3,3-2,5,2,0,2,0,2,10,Drew,Drew_Wilkes_2-7-2024
03,"Lalo,Izzy",,9,2-2,0-0,0-0,0-0,0,0,0,0,0,1,4,Drew,Drew_Wilkes_2-7-2024
23,"Aliotta,Olivia",,11,0-5,0-1,0-2,0-3,3,1,0,1,0,0,0,Drew,Drew_Wilkes_2-7-2024
22,"Hezel,Gracie",,8,0-2,0-0,0-0,1-0,1,0,0,1,0,0,0,Drew,Drew_Wilkes_2-7-2024
11,"Dobrich,Beth",,7,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Drew,Drew_Wilkes_2-7-2024
24,"Altomare,Alice",,5,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Wilkes_2-7-2024
05,"Babcock,Brenna",*,43,4-7,0-0,1-4,6-5,11,4,4,7,0,1,9,Wilkes,Drew_Wilkes_2-7-2024
21,"Shober,Erin",*,42,4-14,0-1,1-2,2-9,11,0,1,5,4,1,9,Wilkes,Drew_Wilkes_2-7-2024
10,"Evanosky,Nadia",*,35,4-9,0-3,0-0,1-3,4,2,1,3,3,4,8,Wilkes,Drew_Wilkes_2-7-2024
11,"Matos,Yamirelis",*,29,2-8,1-4,3-3,1-4,5,3,1,4,0,0,8,Wilkes,Drew_Wilkes_2-7-2024
02,"Marino,Julia",*,43,2-3,0-0,3-4,2-1,3,3,2,2,1,0,7,Wilkes,Drew_Wilkes_2-7-2024
12,"Simpson,Taylor",,24,4-11,2-8,0-0,0-1,1,1,0,1,0,0,10,Wilkes,Drew_Wilkes_2-7-2024
22,"Stout,Emma",,4,2-2,1-1,0-0,0-1,1,1,0,1,0,1,5,Wilkes,Drew_Wilkes_2-7-2024
04,"Robel,Madison",,3,0-1,0-0,0-0,0-0,0,2,0,1,0,0,0,Wilkes,Drew_Wilkes_2-7-2024
13,"Holden,Reagan",,2,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Wilkes,Drew_Wilkes_2-7-2024
