##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Meyers,Joey",*,42,9-26,1-5,1-2,5-3,8,3,3,0,0,2,20,Drew,Drew_Wm. Paterson_11-19-2022
25,"Struble,Jamie",*,45,6-12,0-0,3-3,2-6,8,2,2,0,0,0,15,Drew,Drew_Wm. Paterson_11-19-2022
22,"Hezel,Gracie",*,34,5-15,0-0,3-4,3-6,9,4,1,2,1,0,13,Drew,Drew_Wm. Paterson_11-19-2022
02,"Alberici,Gwen",*,45,2-6,1-2,4-4,0-5,5,5,3,6,1,7,9,Drew,Drew_Wm. Paterson_11-19-2022
12,"Morgan,Madelyn",*,35,3-10,1-5,0-0,1-2,3,2,4,4,0,2,7,Drew,Drew_Wm. Paterson_11-19-2022
20,"Hezel,Brenna",,11,0-0,0-0,4-6,1-2,3,2,1,2,1,1,4,Drew,Drew_Wm. Paterson_11-19-2022
04,"Wojtowicz,Katrina",,12,1-4,1-3,0-0,0-4,4,0,0,0,0,0,3,Drew,Drew_Wm. Paterson_11-19-2022
33,"Beyer,Maddie",,1,0-0,0-0,0-0,0-1,1,1,1,0,0,0,0,Drew,Drew_Wm. Paterson_11-19-2022
05,"Wood,Ryane",,0+,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Drew,Drew_Wm. Paterson_11-19-2022
11,"Dobrich,Beth",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Drew_Wm. Paterson_11-19-2022
04,"Smith,Brianna",*,42,6-14,3-6,8-11,0-6,6,4,6,3,0,1,23,Wm. Paterson,Drew_Wm. Paterson_11-19-2022
14,"Wells,Renee",*,29,5-9,1-2,4-4,0-4,4,3,2,0,0,1,15,Wm. Paterson,Drew_Wm. Paterson_11-19-2022
32,"Cabezas,Justina",*,32,6-13,1-1,0-0,5-5,10,3,2,4,1,1,13,Wm. Paterson,Drew_Wm. Paterson_11-19-2022
11,"Rosa,Yakira",*,30,3-6,0-1,0-0,0-3,3,4,2,5,1,0,6,Wm. Paterson,Drew_Wm. Paterson_11-19-2022
01,"Palladino,Victoria",*,30,2-5,1-2,0-0,1-4,5,2,0,2,0,1,5,Wm. Paterson,Drew_Wm. Paterson_11-19-2022
31,"McBride,Allison",,19,5-8,0-0,1-3,2-4,6,1,0,1,0,0,11,Wm. Paterson,Drew_Wm. Paterson_11-19-2022
10,"Kasbarian,Avery",,5,1-2,0-0,0-0,0-1,1,0,1,0,0,0,2,Wm. Paterson,Drew_Wm. Paterson_11-19-2022
12,"Martinez,Jade",,30,0-5,0-2,0-0,1-4,5,2,5,2,0,2,0,Wm. Paterson,Drew_Wm. Paterson_11-19-2022
34,"O'Brien,Mackenzie",,5,0-2,0-1,0-0,0-0,0,1,0,0,0,0,0,Wm. Paterson,Drew_Wm. Paterson_11-19-2022
22,"Kirby,Luna",,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Wm. Paterson,Drew_Wm. Paterson_11-19-2022
