##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,Payton Hicks,*,35,10-21,4-8,2-3,0-3,3,3,1,3,0,2,26,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
00,Michaela James,*,23,1-8,0-2,2-4,2-6,8,5,2,2,2,0,4,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
24,Hannah Matthews,*,20,2-2,0-0,0-0,2-4,6,4,1,2,1,0,4,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
04,Ashlynn Galvin,*,17,1-8,0-4,0-0,1-2,3,3,0,1,0,1,2,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
23,Tristan Smith,*,24,0-0,0-0,0-0,1-6,7,2,3,0,2,1,0,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
21,Jayla Hall,,15,4-8,0-0,1-2,1-3,4,4,1,1,0,1,9,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
02,Kadia Ward,,26,3-10,1-4,0-0,1-6,7,4,1,5,1,1,7,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
32,Sara Cowan,,6,1-2,1-1,0-0,0-0,0,0,0,0,0,0,3,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
03,Alexis Purcell,,24,0-3,0-1,0-0,0-1,1,3,1,2,0,1,0,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
11,Jada Clark,,8,0-2,0-0,0-0,0-0,0,0,0,0,0,0,0,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
22,Hannah Ayala,,2,0-0,0-0,0-0,0-0,0,1,0,1,1,0,0,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
33,Tiffany Bickford,,0+,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0,East Texas Baptist,East Texas Baptist_Elizabethtown_11-17-2023
25,Summer McNulty,*,36,6-10,0-0,5-9,0-1,1,2,3,4,0,1,17,Elizabethtown,East Texas Baptist_Elizabethtown_11-17-2023
34,DaniRae Renno,*,33,4-9,0-0,6-13,2-6,8,2,1,1,2,0,14,Elizabethtown,East Texas Baptist_Elizabethtown_11-17-2023
02,Makenna Mummert,*,29,3-11,1-3,1-2,1-4,5,1,2,2,1,1,8,Elizabethtown,East Texas Baptist_Elizabethtown_11-17-2023
04,Cyleigh Wilson,*,32,2-7,2-5,0-2,1-3,4,3,1,0,0,1,6,Elizabethtown,East Texas Baptist_Elizabethtown_11-17-2023
30,Jessica King,*,36,2-10,0-0,1-6,2-9,11,1,2,2,4,2,5,Elizabethtown,East Texas Baptist_Elizabethtown_11-17-2023
05,Ella Gordon,,8,0-0,0-0,6-6,0-0,0,4,0,3,0,0,6,Elizabethtown,East Texas Baptist_Elizabethtown_11-17-2023
35,Cass Peris,,10,0-3,0-1,2-2,0-1,1,0,0,0,0,0,2,Elizabethtown,East Texas Baptist_Elizabethtown_11-17-2023
03,Lindsay Boyd,,14,0-3,0-1,0-0,0-1,1,2,0,0,1,1,0,Elizabethtown,East Texas Baptist_Elizabethtown_11-17-2023
31,Allyia Kennedy,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,East Texas Baptist_Elizabethtown_11-17-2023
