##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Bess,Wynter",*,29,6-15,2-5,0-0,0-2,2,3,1,3,1,1,14,Eastern,Eastern_Catholic_12-18-2023
20,"Sosa,Camila",*,30,4-9,2-5,2-2,0-4,4,4,3,3,0,1,12,Eastern,Eastern_Catholic_12-18-2023
44,"Woodson,Taryn",*,29,5-8,0-0,1-4,3-7,10,2,1,3,0,0,11,Eastern,Eastern_Catholic_12-18-2023
15,"Liebtag,Miranda",*,30,3-8,1-4,0-0,2-3,5,0,1,0,0,0,7,Eastern,Eastern_Catholic_12-18-2023
24,"Upton,Trinity",*,16,1-2,0-0,1-3,1-0,1,4,2,2,0,2,3,Eastern,Eastern_Catholic_12-18-2023
05,"Johnson,Jeriyah",,27,4-12,2-6,0-0,0-5,5,3,2,4,1,0,10,Eastern,Eastern_Catholic_12-18-2023
01,"Moyet,Damiyae",,2,1-1,1-1,0-0,0-1,1,0,0,0,0,0,3,Eastern,Eastern_Catholic_12-18-2023
12,"Holland,Jakaylah",,17,0-3,0-0,0-2,3-0,3,1,1,3,0,0,0,Eastern,Eastern_Catholic_12-18-2023
11,"Jarvis,Tyerra",,8,0-0,0-0,0-0,0-0,0,0,2,1,0,0,0,Eastern,Eastern_Catholic_12-18-2023
10,"White,Stephanie",,7,0-0,0-0,0-0,0-1,1,1,1,0,0,0,0,Eastern,Eastern_Catholic_12-18-2023
02,"Hmel,Brooklyn",,5,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0,Eastern,Eastern_Catholic_12-18-2023
10,"Flaherty,Kerry",*,24,8-13,6-9,1-2,1-1,2,0,1,0,0,0,23,Catholic,Eastern_Catholic_12-18-2023
33,"Douglas,Keegan",*,27,5-11,0-1,0-0,1-1,2,2,5,3,1,1,10,Catholic,Eastern_Catholic_12-18-2023
13,"Scoblick,Anna",*,26,3-7,0-0,2-4,0-2,2,1,1,2,2,3,8,Catholic,Eastern_Catholic_12-18-2023
22,"Mulvaney,Carly",*,23,2-7,1-3,1-1,1-4,5,1,1,0,0,1,6,Catholic,Eastern_Catholic_12-18-2023
05,"White,Sarah",*,21,2-6,1-3,0-0,1-2,3,3,2,2,0,1,5,Catholic,Eastern_Catholic_12-18-2023
20,"Beirne,Kaleigh",,16,4-6,0-1,0-0,1-5,6,1,3,1,3,1,8,Catholic,Eastern_Catholic_12-18-2023
11,"Kennedy,Amelia",,12,2-4,1-1,3-4,0-0,0,2,1,0,0,0,8,Catholic,Eastern_Catholic_12-18-2023
24,"Kenah,Alexa",,21,3-5,1-1,0-2,4-3,7,0,1,0,2,1,7,Catholic,Eastern_Catholic_12-18-2023
15,"Aromando,Molly",,7,1-2,0-0,0-0,0-1,1,1,1,0,0,0,2,Catholic,Eastern_Catholic_12-18-2023
50,"Dragone,Angelina",,2,1-1,0-0,0-0,0-0,0,1,0,0,0,0,2,Catholic,Eastern_Catholic_12-18-2023
30,"Fernandez,Tori",,16,0-3,0-1,0-0,1-1,2,1,3,2,1,0,0,Catholic,Eastern_Catholic_12-18-2023
03,"Travieso,Sofia",,2,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Catholic,Eastern_Catholic_12-18-2023
04,"McLaughlin,Molly",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Eastern_Catholic_12-18-2023
34,"Hughes,Maggie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Eastern_Catholic_12-18-2023
