##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,"Johnson,Jeriyah",*,35,10-28,4-13,0-0,1-5,6,4,1,4,0,0,24,Eastern,Eastern_Susquehanna_11-13-2024
00,"Geiger,Dominique",*,32,4-10,0-0,0-2,3-6,9,1,1,4,1,0,8,Eastern,Eastern_Susquehanna_11-13-2024
11,"Jarvis,Tyerra",*,30,2-5,0-0,1-2,6-4,10,3,0,2,0,2,5,Eastern,Eastern_Susquehanna_11-13-2024
10,"White,Stephanie",*,18,1-6,0-1,0-0,0-3,3,5,2,1,1,0,2,Eastern,Eastern_Susquehanna_11-13-2024
12,"Worsley-Wooten,Kayla",*,31,0-8,0-4,0-0,0-2,2,0,2,0,0,0,0,Eastern,Eastern_Susquehanna_11-13-2024
01,"Moyet,Damiyae",,32,2-10,1-5,0-2,1-6,7,4,1,0,1,0,5,Eastern,Eastern_Susquehanna_11-13-2024
03,"Leister,Amelia",,15,0-1,0-1,0-0,0-2,2,3,2,0,0,0,0,Eastern,Eastern_Susquehanna_11-13-2024
30,"Gaither,Hope",,7,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Eastern,Eastern_Susquehanna_11-13-2024
00,"Pinckert,Julia",*,25,5-8,1-2,2-2,2-5,7,1,2,3,0,0,13,Susquehanna,Eastern_Susquehanna_11-13-2024
05,"Klein,Lauren",*,25,2-7,0-1,2-2,2-2,4,1,3,1,1,1,6,Susquehanna,Eastern_Susquehanna_11-13-2024
24,"Maffei,Zoie",*,23,3-7,0-0,0-0,0-8,8,2,3,2,0,0,6,Susquehanna,Eastern_Susquehanna_11-13-2024
14,"Meehan,Grace",*,21,1-3,0-0,3-4,0-4,4,1,0,1,0,0,5,Susquehanna,Eastern_Susquehanna_11-13-2024
11,"Weyant,Sydney",*,24,1-7,1-4,0-0,1-1,2,1,3,1,1,0,3,Susquehanna,Eastern_Susquehanna_11-13-2024
12,"George,Carly",,18,6-10,0-0,2-2,4-8,12,3,1,1,1,0,14,Susquehanna,Eastern_Susquehanna_11-13-2024
15,"Greek,Annie",,22,2-8,2-6,3-4,0-1,1,0,2,1,0,1,9,Susquehanna,Eastern_Susquehanna_11-13-2024
33,"Dorsey,Bri",,10,2-5,0-0,0-0,0-2,2,0,0,0,1,0,4,Susquehanna,Eastern_Susquehanna_11-13-2024
32,"Servitto,Greta",,6,1-2,0-0,1-3,1-3,4,0,0,0,0,0,3,Susquehanna,Eastern_Susquehanna_11-13-2024
03,"Selvaggi,Kenzie",,20,1-5,0-4,0-0,0-3,3,0,1,0,0,0,2,Susquehanna,Eastern_Susquehanna_11-13-2024
25,"Pukszyn,Emma",,6,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Eastern_Susquehanna_11-13-2024
