##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,Summer McNulty,*,36,10-16,3-3,2-3,4-0,4,2,3,1,1,0,25,Elizabethtown College,Elizabethtown College_Moravian University_2-5-2022
22,Veronica Christ,*,35,5-15,2-3,8-8,1-5,6,2,1,2,1,1,20,Elizabethtown College,Elizabethtown College_Moravian University_2-5-2022
21,Emily Prowell,*,32,4-7,0-1,0-0,3-4,7,3,4,3,1,1,8,Elizabethtown College,Elizabethtown College_Moravian University_2-5-2022
30,Jessica King,*,27,3-4,0-0,0-0,2-7,9,0,2,2,3,2,6,Elizabethtown College,Elizabethtown College_Moravian University_2-5-2022
04,Cyleigh Wilson,*,21,1-3,1-3,2-4,0-1,1,2,3,1,0,0,5,Elizabethtown College,Elizabethtown College_Moravian University_2-5-2022
35,Cassandra Peris,,17,5-6,0-0,2-3,1-4,5,3,2,0,0,0,12,Elizabethtown College,Elizabethtown College_Moravian University_2-5-2022
05,Jillian Nagy,,19,3-7,0-1,0-1,0-1,1,3,6,0,0,0,6,Elizabethtown College,Elizabethtown College_Moravian University_2-5-2022
13,Taylor Huyck,,13,2-3,1-1,0-0,0-2,2,0,1,2,0,0,5,Elizabethtown College,Elizabethtown College_Moravian University_2-5-2022
24,Morgan Amy,*,37,4-12,1-6,5-8,2-3,5,2,4,1,0,1,14,Moravian University,Elizabethtown College_Moravian University_2-5-2022
23,Madison Amy,*,36,4-14,2-10,4-4,1-1,2,4,5,3,0,0,14,Moravian University,Elizabethtown College_Moravian University_2-5-2022
2,Kayla Yoegel,*,29,6-10,2-2,0-1,1-1,2,3,1,0,1,0,14,Moravian University,Elizabethtown College_Moravian University_2-5-2022
1,Sam Osorio,*,20,5-9,0-0,0-2,2-6,8,3,1,2,0,0,10,Moravian University,Elizabethtown College_Moravian University_2-5-2022
5,Emily Markowski,*,33,3-7,0-1,3-4,4-2,6,2,2,1,1,1,9,Moravian University,Elizabethtown College_Moravian University_2-5-2022
30,Gracie Hezel,,19,6-9,0-0,0-0,1-4,5,0,0,1,0,0,12,Moravian University,Elizabethtown College_Moravian University_2-5-2022
10,Brielle Guarente,,11,2-2,0-0,1-2,1-1,2,2,1,0,0,1,5,Moravian University,Elizabethtown College_Moravian University_2-5-2022
25,Ashley Robinson,,13,0-4,0-0,0-0,1-2,3,2,2,1,0,1,0,Moravian University,Elizabethtown College_Moravian University_2-5-2022
12,Mikayla Anderson,,2,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,Moravian University,Elizabethtown College_Moravian University_2-5-2022
