##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,Summer McNulty,*,41,8-14,1-4,4-5,3-2,5,3,3,6,0,1,21,Elizabethtown,Elizabethtown_Catholic_1-31-2022
34,DaniRae Renno,*,34,6-9,0-0,4-4,4-4,8,4,0,2,1,1,16,Elizabethtown,Elizabethtown_Catholic_1-31-2022
22,Veronica Christ,*,36,4-17,1-6,2-3,0-4,4,4,0,5,1,0,11,Elizabethtown,Elizabethtown_Catholic_1-31-2022
04,Cyleigh Wilson,*,26,2-3,1-2,0-0,0-1,1,0,2,3,0,1,5,Elizabethtown,Elizabethtown_Catholic_1-31-2022
30,Jessica King,*,33,1-3,0-0,1-4,1-7,8,0,3,1,0,1,3,Elizabethtown,Elizabethtown_Catholic_1-31-2022
21,Emily Prowell,,22,2-2,0-0,2-2,0-1,1,1,2,2,0,1,6,Elizabethtown,Elizabethtown_Catholic_1-31-2022
05,Jillian Nagy,,20,2-4,2-4,0-0,0-2,2,0,1,0,0,1,6,Elizabethtown,Elizabethtown_Catholic_1-31-2022
13,Taylor Huyck,,6,1-3,0-0,2-2,1-0,1,1,0,0,0,0,4,Elizabethtown,Elizabethtown_Catholic_1-31-2022
03,Lindsay Boyd,,7,0-1,0-0,0-0,0-1,1,0,1,1,0,0,0,Elizabethtown,Elizabethtown_Catholic_1-31-2022
01,Rachel Bussanich,*,38,5-14,0-1,5-6,3-4,7,4,0,5,0,3,15,Catholic,Elizabethtown_Catholic_1-31-2022
23,Amanda Johnson,*,41,4-16,0-9,2-4,4-7,11,3,2,0,1,1,10,Catholic,Elizabethtown_Catholic_1-31-2022
25,Erin Doherty,*,20,3-9,0-4,0-0,1-2,3,0,0,4,0,1,6,Catholic,Elizabethtown_Catholic_1-31-2022
10,Amelia Baldo,*,33,1-8,0-1,0-0,3-2,5,3,4,0,0,2,2,Catholic,Elizabethtown_Catholic_1-31-2022
35,Luca Mamula,*,18,1-4,0-1,0-0,5-1,6,0,0,3,1,1,2,Catholic,Elizabethtown_Catholic_1-31-2022
22,Carly Mulvaney,,29,7-13,2-5,1-2,6-4,10,2,0,4,0,1,17,Catholic,Elizabethtown_Catholic_1-31-2022
12,Sammie McCarter,,24,3-6,1-1,0-0,1-1,2,4,3,0,0,3,7,Catholic,Elizabethtown_Catholic_1-31-2022
04,Erin Thompson,,12,2-3,0-0,0-0,0-0,0,0,0,0,0,0,4,Catholic,Elizabethtown_Catholic_1-31-2022
34,Maggie Bednarek,,10,0-0,0-0,0-0,0-1,1,3,1,1,0,1,0,Catholic,Elizabethtown_Catholic_1-31-2022
