##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,Summer McNulty,*,39,9-20,2-8,4-5,1-2,3,1,4,3,0,1,24,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
30,Jessica King,*,31,6-10,0-0,2-4,2-7,9,2,1,3,1,2,14,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
34,DaniRae Renno,*,39,6-10,0-0,0-0,4-6,10,1,1,0,2,2,12,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
04,Cyleigh Wilson,*,35,3-12,1-7,0-0,1-1,2,2,6,0,0,0,7,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
02,Makenna Mummert,*,19,2-3,0-0,3-5,0-0,0,3,3,2,0,1,7,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
03,Lindsay Boyd,,14,1-3,0-1,2-2,2-1,3,2,0,1,0,0,4,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
05,Ella Gordon,,9,0-2,0-0,0-0,0-1,1,0,0,2,0,0,0,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
31,Allyia Kennedy,,5,0-2,0-0,0-0,0-0,0,2,0,1,0,0,0,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
35,Cass Peris,,4,0-3,0-0,0-0,1-0,1,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
13,Taylor Huyck,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
20,Katie Haefner,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
24,Ellie Fasick,,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Elizabethtown,Elizabethtown_Chris. Newport_11-19-2023
05,Camille Malagar,*,27,8-15,0-2,1-2,1-3,4,0,1,2,0,2,17,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
24,Alivia Giles,*,29,6-8,0-0,3-6,5-7,12,1,2,1,0,1,15,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
02,Hailey Kellogg,*,25,1-4,1-4,1-2,0-1,1,1,2,0,0,2,4,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
21,Hannah Orloff,*,9,2-6,0-0,0-0,1-0,1,0,0,0,2,0,4,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
25,Alexia Lindsey,*,11,1-3,0-0,0-0,1-2,3,1,0,0,0,1,2,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
00,McKenna Snively,,23,4-9,3-8,0-0,0-1,1,1,2,1,1,1,11,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
33,Caitlin Crump,,21,4-7,2-4,0-0,1-4,5,2,4,0,1,0,10,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
03,Gabbi San Diego,,16,3-3,0-0,0-0,0-1,1,2,8,0,0,0,6,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
22,Faith Henderson,,14,1-2,0-0,2-2,0-1,1,2,1,2,0,0,4,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
20,Nicole Timko,,2,1-3,0-0,2-3,0-1,1,0,0,0,0,0,4,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
42,Ashley Steadman,,12,1-4,0-1,0-0,0-0,0,3,1,3,1,0,2,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
34,Elizabeth Creed,,8,1-1,0-0,0-0,0-1,1,3,0,0,2,1,2,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
01,Mia Wilson,,1,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
15,Julia Schutz,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
50,Jessica Dornak,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Chris. Newport,Elizabethtown_Chris. Newport_11-19-2023
