##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"McNulty,Summer",*,31,7-15,0-2,5-6,2-5,7,3,6,2,0,3,19,Elizabethtown,Elizabethtown_Drew_1-17-2022
22,"Christ,Veronica",*,36,7-19,2-4,0-0,2-4,6,3,2,2,0,1,16,Elizabethtown,Elizabethtown_Drew_1-17-2022
34,"Renno,DaniRae",*,36,7-17,0-0,2-4,7-5,12,2,1,1,1,1,16,Elizabethtown,Elizabethtown_Drew_1-17-2022
04,"Wilson,Cyleigh",*,29,3-4,1-2,0-1,0-1,1,1,1,2,0,0,7,Elizabethtown,Elizabethtown_Drew_1-17-2022
21,"Prowell,Emily",*,31,0-7,0-0,2-2,5-5,10,4,0,0,0,1,2,Elizabethtown,Elizabethtown_Drew_1-17-2022
13,"Huyck,Taylor",,8,2-4,0-0,0-0,1-0,1,0,0,1,0,1,4,Elizabethtown,Elizabethtown_Drew_1-17-2022
05,"Nagy,Jillian",,11,0-1,0-1,2-2,0-1,1,0,1,1,0,2,2,Elizabethtown,Elizabethtown_Drew_1-17-2022
03,"Boyd,Lindsay",,9,1-2,0-0,0-0,0-1,1,2,0,1,0,0,2,Elizabethtown,Elizabethtown_Drew_1-17-2022
35,"Peris,Cassandra",,9,1-2,0-0,0-0,2-0,2,2,0,0,0,0,2,Elizabethtown,Elizabethtown_Drew_1-17-2022
23,"Meyers,Joey",*,32,9-15,0-2,5-6,3-8,11,1,4,0,0,0,23,Drew,Elizabethtown_Drew_1-17-2022
20,"Frederick,Erin",*,33,6-16,0-0,1-2,1-1,2,2,1,6,3,0,13,Drew,Elizabethtown_Drew_1-17-2022
25,"Struble,Jamie",*,23,1-3,0-1,1-2,0-1,1,1,1,2,1,1,3,Drew,Elizabethtown_Drew_1-17-2022
13,"Mann,Kyra",*,16,1-4,1-2,0-0,0-3,3,1,1,0,0,0,3,Drew,Elizabethtown_Drew_1-17-2022
02,"Alberici,Gwen",*,17,0-1,0-0,0-0,0-1,1,5,2,1,0,2,0,Drew,Elizabethtown_Drew_1-17-2022
33,"Campbell,Sekya",,24,3-7,0-0,7-8,3-3,6,4,2,4,0,1,13,Drew,Elizabethtown_Drew_1-17-2022
15,"Kracht,Cecelia",,23,1-1,0-0,0-0,1-3,4,2,0,2,4,0,2,Drew,Elizabethtown_Drew_1-17-2022
22,"Timinski,Brooke",,5,1-2,0-1,0-0,0-0,0,0,0,0,0,0,2,Drew,Elizabethtown_Drew_1-17-2022
05,"Genua,Micela",,12,0-2,0-1,0-0,0-1,1,1,4,1,0,1,0,Drew,Elizabethtown_Drew_1-17-2022
04,"Wojtowicz,Katrina",,8,0-3,0-2,0-0,0-0,0,1,0,0,0,0,0,Drew,Elizabethtown_Drew_1-17-2022
03,"Lalo,Izzy",,7,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Drew,Elizabethtown_Drew_1-17-2022
11,"Cruse,Lauren",,0+,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Drew,Elizabethtown_Drew_1-17-2022
